t_s,z_peak,prominence_z,width_s,resid_peak_df
1.17964797640704,14.6324,19.06806,3.831225,18.78451
332.070905358582,3.377119,5.668075,22.43203,4.398769
497.614838047703,2.851324,5.475871,25.95043,3.726734
812.285935754281,2.532178,4.493429,21.82195,3.318822
1147.69917704602,2.858924,4.737616,10.4064,3.736448
1166.67184866656,2.53312,2.290404,4.394688,3.320027
1311.67024576659,2.549459,4.183739,12.81946,3.340909
1552.12182495756,2.511636,3.805614,5.054208,3.292567
1595.17897609642,3.271246,6.360123,17.26003,4.263451
1691.32028617359,3.184484,4.580178,7.73184,4.152556
1848.4100750318,3.071951,5.515483,15.83846,4.008724
2044.3299431134,3.508267,7.148773,26.0425,4.566395
3007.11929985761,2.958947,4.553346,7.31232,3.86429
3051.45440297091,3.23216,5.227255,9.422592,4.213492
3192.52064014959,3.071472,4.75513,9.37056,4.008112
3208.54419182912,2.670812,2.761994,7.699968,3.496016
3545.43199309136,3.770011,7.667114,28.8576,4.900938
3601.95679196086,2.706791,1.61745,2.108928,3.542002
3614.93291970134,3.406486,5.294683,22.8553,4.436304
4202.79082794418,2.612316,4.72756,12.14592,3.42125
4398.41578403168,2.674409,4.192896,5.545344,3.500613
4528.27536543449,2.878856,5.1389,21.15456,3.761923
4535.15664529687,2.561621,1.086937,4.912128,3.356455
4846.58371106833,2.69117,6.296792,31.84397,3.522035
5161.45141677097,2.939475,4.468551,13.91501,3.839402
5350.39170099217,2.855635,4.294704,11.06112,3.732243
5401.2148679757,3.503303,6.648741,9.55584,4.56005
5496.07822607844,2.511278,3.721103,9.921792,3.29211
5883.78919432422,2.527994,5.32448,24.74534,3.313475
5992.80832814383,3.029502,4.897748,14.0544,3.954469
6118.24422963511,3.316448,6.001183,18.94157,4.321224
6352.50265694995,2.660487,4.003611,5.711232,3.482819
6551.96146896077,2.552617,4.550609,14.68032,3.344947
7521.82871356343,3.336449,6.144001,13.24339,4.346788
7590.54320818913,3.173104,5.230851,22.72358,4.138011
7636.84439126311,2.781286,5.050692,14.37773,3.637216
7802.2900199542,2.611377,4.140005,12.00768,3.42005
7884.76707430466,2.512727,4.630801,27.6841,3.293961
8019.44355161113,3.454777,5.214972,14.01062,4.498027
8115.38825369223,2.904914,4.459586,11.60602,3.795228
8214.38037971239,4.136497,8.364254,20.63078,5.369355
8277.19663445607,2.830509,4.593668,8.452608,3.70013
8414.72392770552,2.631417,3.678087,11.5031,3.445663
8443.62530312749,2.787924,5.110497,22.16141,3.6457
8796.73326406533,2.559197,4.772484,11.79955,3.353356
8986.65658826687,2.5234,4.701768,12.32179,3.307604
9236.84026326319,2.666751,4.284038,7.19616,3.490824
9364.53715670926,2.586408,3.860912,6.918144,3.388136
9632.12063935759,2.896472,6.6377,22.92249,3.784439
9880.92805838144,2.753827,4.688449,19.11168,3.60212
10449.0268630195,3.133257,7.305816,33.8135,4.087082
10889.3304702134,2.647839,4.580712,11.5415,3.466653
10944.2824051144,2.67735,2.992492,7.543296,3.504372
10968.2685806346,3.128341,5.29043,15.74707,4.080799
11047.1083870578,2.657163,4.475375,8.782847,3.47857
11243.3231671335,2.553112,3.9886,10.69363,3.345579
11517.198105656,2.619152,3.889528,6.445056,3.429987
11582.8651763427,2.637892,2.679835,9.159168,3.453939
11603.7056239259,2.895002,6.003537,32.50637,3.78256
11860.6722747866,3.467584,6.170168,34.28045,4.514396
11986.0098722798,2.654194,3.75689,15.19027,3.474775
12099.3543820129,2.970025,4.313016,11.04768,3.878449
12725.747457485,2.761007,1.771859,2.27328,3.611296
12744.4252171115,3.184043,4.749645,26.74867,4.151993
12767.3300486534,2.843582,3.488345,7.289088,3.716838
12850.9867509803,3.125444,4.442746,8.509439,4.077095
12919.799549604,4.809404,9.217188,14.68723,6.22942
13009.4527958109,2.50054,3.454256,13.49222,3.278385
13081.2147143757,2.626727,3.666208,8.842752,3.439668
13668.1878866362,3.611888,8.036645,22.04006,4.698835
14763.9825527203,2.54673,5.671721,6.687744,3.337422
15244.5907991082,3.488376,5.973622,14.77018,4.540971
15403.7449719251,2.82441,4.255419,7.225344,3.692335
15560.7364567853,2.574466,4.012531,14.10355,3.372872
15808.5608358288,3.199815,5.100607,9.242112,4.172151
15974.2030725159,2.732379,4.01151,7.692288,3.574707
16065.4291826914,3.078608,4.48499,13.02374,4.017233
16084.6967663061,2.91943,3.268015,8.913408,3.813783
16733.2082413358,3.048193,4.865306,23.41171,3.978359
16794.3533281129,2.638417,3.695817,8.544767,3.45461
17040.1133231977,2.669091,3.88516,8.812032,3.493816
17117.3802656524,2.614267,3.636782,5.419008,3.423744
17348.5912690282,2.633741,3.968185,5.915136,3.448634
17773.6577565268,2.545216,4.370053,6.92736,3.335487
18000.5433839891,2.543952,1.749293,1.293312,3.333872
18004.0823279184,2.891911,4.104163,9.795072,3.778609
18097.6677340466,3.080523,4.231566,7.260672,4.01968
18196.5615560688,3.104788,4.610695,9.756672,4.050694
18253.3812669324,3.258012,5.257677,10.35571,4.246535
18413.3218717336,3.095967,4.253464,11.25888,4.03942
18535.7103492858,3.121199,4.426959,8.30208,4.07167
18765.5450966891,2.708329,5.179979,13.82246,3.543968
18991.251076175,2.746794,4.224081,4.302336,3.59313
19113.5412497292,2.932992,4.058448,6.4896,3.831117
19171.5406085692,3.290969,5.77148,8.707583,4.288659
19249.0041590199,3.05262,4.124666,6.98112,3.984017
19258.048126839,2.685368,2.385987,3.56352,3.514619
19335.6099812878,2.757383,4.141835,8.956416,3.606665
19429.8835154023,2.582535,4.05187,7.11168,3.383185
19497.4183620516,2.89917,4.50393,6.680064,3.787888
19649.3963430121,3.0715,4.239223,10.67674,4.008148
19694.5178781096,4.101275,6.959519,21.03398,5.324337
20123.6148295277,2.592021,4.938266,19.2983,3.39531
20339.6870172063,3.276487,5.645178,15.72864,4.270149
20510.047845799,2.720212,3.842216,9.305088,3.559155
20983.1849883363,2.650879,3.621205,7.974912,3.470539
21002.2559639549,3.084184,4.335032,6.78912,4.02436
21096.5294980694,3.618128,6.349189,14.94374,4.706811
21150.7933049841,2.602367,3.716479,9.364992,3.408533
21314.9609817008,3.159382,4.58066,17.25389,4.120473
21321.7439575651,2.926099,1.964285,5.689344,3.822306
21772.4677885506,2.992034,5.270037,19.73606,3.90658
21829.4841074103,2.637513,4.819298,12.98688,3.453455
22506.798653864,2.613174,1.688786,3.047424,3.422346
22524.6899815062,4.418246,8.04717,30.70925,5.729468
22791.5853361683,3.687233,5.171979,11.29114,4.795136
23143.7102571258,2.707784,5.010947,19.968,3.54327
23448.1577390368,2.635323,3.968261,17.51194,3.450655
23593.0578321388,2.505012,1.931319,2.254848,3.284101
23600.4306319914,4.583755,8.667767,40.92979,5.941011
23607.2136078557,3.741662,3.041317,5.200896,4.864704
24472.0921825582,3.611366,6.495474,11.98234,4.698168
24672.9272505415,2.680333,5.443066,7.074816,3.508185
24708.7099058258,2.696905,4.710634,14.90534,3.529366
24857.7387668452,2.526877,4.519304,11.91629,3.312048
24896.2739340745,3.152836,4.51832,17.20473,4.112106
24901.2874379742,3.059182,1.190925,3.753984,3.992404
25034.5876593082,3.371862,1.124739,3.419136,4.39205
25037.6350832473,4.05623,5.839251,19.43347,5.266763
25123.651081527,4.286798,7.805455,38.19878,5.56146
25481.0844183783,3.941414,5.618341,20.97562,5.120014
25486.5894422682,3.638122,1.245549,2.752512,4.732367
25894.1578181168,4.325629,1.34464,2.700288,5.611092
25899.0730180185,4.66518,8.072552,14.37389,6.045082
25973.5874485282,2.989265,4.283221,9.298944,3.903041
26089.9793822004,2.721303,3.810577,10.94554,3.56055
26196.9341320613,2.579033,3.51672,24.83712,3.37871
26235.4692992906,3.253704,4.936159,12.85939,4.241029
26296.8109940638,2.859876,4.107683,10.03622,3.737664
26688.650730227,2.503228,3.754296,8.948736,3.281821
26802.0935439581,2.668099,3.857199,7.179264,3.492548
26932.248037355,3.415916,5.415838,11.82413,4.448358
26991.6236521675,3.266602,4.158787,6.902784,4.257514
27344.0434851191,3.093836,5.069039,8.890368,4.036696
27446.5745550685,3.630616,5.637756,19.58093,4.722772
27882.9460023411,3.196947,5.183555,19.76218,4.168486
28437.4788552504,3.681343,5.907008,30.9719,4.787608
28635.5614112888,2.788523,4.17645,15.51974,3.646466
28710.9605777808,2.99359,5.119473,19.08634,3.908568
28810.9357437813,3.495297,6.090784,21.76512,4.549817
29081.0751303785,3.18597,5.582736,9.590784,4.154456
29250.9444389811,2.70332,4.20037,10.93325,3.537564
29597.7609440448,3.508685,5.610892,12.49997,4.566929
30056.1524868769,2.500351,3.819331,6.027264,3.278143
30305.9429458811,2.594032,3.661238,6.319104,3.39788
30405.0333758993,2.554958,3.441869,7.498752,3.347939
30473.747870525,3.209094,4.735756,9.725952,4.184011
31077.1378104572,5.174433,8.126421,26.12122,6.695975
31087.4597302508,2.969003,1.783157,1.864704,3.877143
31250.349454993,2.614751,5.031892,10.57382,3.424361
