bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
1,-1,,1,2,0,2,2,-10.54582,4.960999,25.28666,32.54829,20,3.985615,3.985631,0.02173138,0.01285675,20,-1.326407,,0
2,0,WAKE,2,3,1,3,2,6.023431,4.686329,1.572117,2.484278,20,3.963834,3.963851,0.02183223,0.01291515,20,-1.332432,,0
3,1,NREM,621,4,620,4,-616,2.963544,2.963544,0,0,1,1.260352,1.260352,0,0,1,NaN,,0
4,0,WAKE,735,5,734,5,-729,1.853,1.853,0,0,1,1.474211,1.474211,0,0,1,NaN,,0
5,1,NREM,764,6,763,6,-757,-0.5119308,-0.5119308,0,0,1,2.337496,2.337496,0,0,1,NaN,,0
6,0,WAKE,846,7,845,7,-838,1.294712,1.294712,0,0,1,1.448319,1.448319,0,0,1,NaN,,0
7,1,NREM,866,8,865,8,-857,-0.02340748,-0.02340748,0,0,1,0.5538213,0.5538213,0,0,1,NaN,,0
8,0,WAKE,889,9,888,9,-879,1.19644,1.19644,0,0,1,-0.03275147,-0.03275147,0,0,1,NaN,,0
9,1,NREM,895,10,894,10,-884,1.323102,1.323102,0,0,1,-0.1295817,-0.1295817,0,0,1,NaN,,0
10,0,WAKE,924,11,923,11,-912,1.147442,1.147442,0,0,1,-0.6356853,-0.6356853,0,0,1,NaN,,0
11,1,NREM,932,12,931,12,-919,1.918881,1.918881,0,0,1,-0.7756317,-0.7756317,0,0,1,NaN,,0
12,0,WAKE,1054,13,1053,13,-1040,-0.6048424,-0.6048424,0,0,1,-0.5463159,-0.5463159,0,0,1,NaN,,0
13,1,NREM,1057,14,1056,14,-1042,1.020446,1.020446,0,0,1,-0.4950802,-0.4950802,0,0,1,NaN,,0
14,2,REM,1104,15,1103,15,-1088,0.1859204,0.1859204,0,0,1,-0.2585408,-0.2585408,0,0,1,NaN,,0
15,0,WAKE,1178,16,1177,16,-1161,0.5445103,0.5445103,0,0,1,0.3994492,0.3994492,0,0,1,NaN,,0
16,1,NREM,1202,17,1201,17,-1184,-0.02130562,-0.02130562,0,0,1,0.6098338,0.6098338,0,0,1,NaN,,0
17,0,WAKE,1298,18,1297,18,-1279,6.537707,6.537707,0,0,1,1.193215,1.193215,0,0,1,NaN,,0
18,1,NREM,1303,19,1302,19,-1283,4.55408,4.55408,0,0,1,1.179515,1.179515,0,0,1,NaN,,0
19,0,WAKE,1344,20,1343,20,-1323,0.5015003,0.5015003,0,0,1,0.6146302,0.6146302,0,0,1,NaN,,0
20,1,NREM,1348,21,1347,21,-1326,3.817698,3.817698,0,0,1,0.510492,0.510492,0,0,1,NaN,,0
21,0,WAKE,1365,22,1364,22,-1342,1.55057,1.55057,0,0,1,0.07390037,0.07390037,0,0,1,NaN,,0
22,1,NREM,1438,23,1437,23,-1414,2.183257,2.183257,0,0,1,-0.4199939,-0.4199939,0,0,1,NaN,,0
23,2,REM,1513,24,1512,24,-1488,2.445776,2.445776,0,0,1,0.9195746,0.9195746,0,0,1,NaN,,0
24,0,WAKE,1614,25,1613,25,-1588,-0.6537205,-0.6537205,0,0,1,-0.3594447,-0.3594447,0,0,1,NaN,,0
25,1,NREM,1624,26,1623,26,-1597,-0.7087901,-0.7087901,0,0,1,-0.5997929,-0.5997929,0,0,1,NaN,,0
26,2,REM,1926,27,1925,27,-1898,-0.3813788,-0.3813788,0,0,1,-0.8984227,-0.8984227,0,0,1,NaN,,0
27,0,WAKE,2022,28,2021,28,-1993,0.1467316,0.1467316,0,0,1,0.03111953,0.03111953,0,0,1,NaN,,0
28,1,NREM,2032,29,2031,29,-2002,-0.005581005,-0.005581005,0,0,1,-0.1015042,-0.1015042,0,0,1,NaN,,0
29,0,WAKE,2172,30,2171,30,-2141,0.6129236,0.6129236,0,0,1,0.8008912,0.8008912,0,0,1,NaN,,0
30,1,NREM,2250,31,2249,31,-2218,2.305022,2.305022,0,0,1,2.045966,2.045966,0,0,1,NaN,,0
