t_s,z_peak,prominence_z,width_s,resid_peak_df
1.27795197444096,9.489702,16.31493,6.930433,12.78703
233.570299328594,2.882153,4.915426,12.57538,3.942168
251.363322972734,2.534138,2.729865,6.717864,3.476317
494.862326102753,2.645775,5.135173,9.561647,3.625754
694.321138113577,2.572927,4.730818,7.570176,3.528239
826.638319467234,2.563199,4.530991,13.75814,3.515217
1407.71325184573,2.632977,4.4346,17.02531,3.608623
1448.70601902588,3.256247,4.874908,15.57802,4.442931
1501.49526597009,3.479541,6.374812,9.777216,4.741833
1651.80207896396,3.650146,5.550598,21.96979,4.970204
2048.75362302493,2.801515,4.700508,12.58483,3.834227
2089.05826221883,2.544135,3.770758,7.39392,3.489697
2119.63080560738,2.706802,4.436076,9.616896,3.707444
2151.08808497824,2.90536,4.408579,7.964736,3.973233
2266.10376267792,4.548908,6.923819,23.54592,6.173287
2773.05748053885,5.546598,8.4971,27.9216,7.508796
2783.67431232651,4.489509,2.644026,2.47776,6.093775
2792.22676015546,4.556498,2.851743,3.34368,6.183447
2886.00877427982,3.287144,1.091611,1.564992,4.484291
2895.93747808125,4.540018,7.943967,29.3207,6.161387
2907.04582985908,3.471469,1.135414,1.59552,4.731028
2911.07629377847,3.521287,2.221378,2.29536,4.797713
2982.05178035896,4.409747,8.282756,16.65389,5.987006
2989.42458021151,4.236857,2.671905,5.83104,5.755576
3046.04768307905,3.666938,1.62577,1.398912,4.992682
3049.3900190122,4.701713,8.603933,16.92826,6.377831
3058.13907483722,3.585265,2.959747,1.886784,4.883355
4591.09162017817,2.916789,5.095408,11.71584,3.988532
4645.94525108109,2.529637,4.465576,7.865856,3.470292
5152.01423295971,2.870648,4.733642,31.76486,3.926769
5254.15208691696,3.308065,5.744914,21.89952,4.512295
5368.97115662058,2.520376,4.554555,15.98438,3.457894
5455.47867489043,2.847394,4.736577,17.17478,3.895641
5554.37249691255,3.64552,5.927671,17.6448,4.964012
5562.53172874937,3.280385,1.698304,3.913344,4.475242
5651.10363097793,3.321223,4.834398,22.54541,4.529908
5777.81748444365,2.648668,4.080698,13.98605,3.629625
5817.04077965918,2.731992,4.379058,14.20877,3.741164
5877.10452245791,3.737196,6.235667,8.43456,5.08673
5925.1751774965,2.718134,4.261488,8.61504,3.722614
6497.79596604408,2.651248,6.032477,27.4368,3.63308
6808.2399918352,2.561239,1.250246,5.53344,3.512594
6815.61279168774,2.566645,4.941797,27.10195,3.51983
7530.08624939827,2.661054,5.978099,14.89075,3.646207
7598.70244002595,2.911725,4.683427,17.25696,3.981753
7607.2548878549,2.57733,1.181612,3.66336,3.534133
7738.19581323608,3.89497,6.840072,23.5392,5.297926
7743.70083712598,3.603909,1.020465,1.296384,4.908312
7748.61603702768,3.567727,1.242627,1.575168,4.859879
7940.21052919579,3.609506,6.046845,24.99072,4.915803
