bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
1,-1,,1,1,0,1,1,-25.54084,-13.18044,65.09419,39.57231,10,-1.082627,-1.082629,0.007150173,0.004329713,10,-0.8728376,,0
2,0,WAKE,23,2,22,2,-20,-0.8145874,-0.8145874,0,0,1,-1.385899,-1.385899,0,0,1,NaN,,0
3,1,NREM,214,3,213,3,-210,-2.236778,-2.236778,0,0,1,-0.2881573,-0.2881573,0,0,1,NaN,,0
4,0,WAKE,244,4,243,4,-239,0.1084359,0.1084359,0,0,1,0.01397277,0.01397277,0,0,1,NaN,,0
5,1,NREM,245,5,244,5,-239,1.012657,1.012657,0,0,1,0.02546952,0.02546952,0,0,1,NaN,,0
6,0,WAKE,260,6,259,6,-253,0.2255477,0.2255477,0,0,1,0.1265245,0.1265245,0,0,1,NaN,,0
7,1,NREM,261,7,260,7,-253,-0.08129195,-0.08129195,0,0,1,0.1282835,0.1282835,0,0,1,NaN,,0
8,0,WAKE,273,8,272,8,-264,0.2369656,0.2369656,0,0,1,0.1665152,0.1665152,0,0,1,NaN,,0
9,1,NREM,274,9,273,9,-264,0.3842029,0.3842029,0,0,1,0.1749079,0.1749079,0,0,1,NaN,,0
10,0,WAKE,291,10,290,10,-280,0.1125715,0.1125715,0,0,1,0.5060287,0.5060287,0,0,1,NaN,,0
11,1,NREM,292,11,291,11,-280,-0.3557688,-0.3557688,0,0,1,0.5349419,0.5349419,0,0,1,NaN,,0
12,0,WAKE,306,12,305,12,-293,3.089396,3.089396,0,0,1,0.9708695,0.9708695,0,0,1,NaN,,0
13,1,NREM,309,13,308,13,-295,2.858422,2.858422,0,0,1,1.062124,1.062124,0,0,1,NaN,,0
14,0,WAKE,324,14,323,14,-309,2.320837,2.320837,0,0,1,1.446685,1.446685,0,0,1,NaN,,0
15,1,NREM,326,15,325,15,-310,0.8452192,0.8452192,0,0,1,1.489826,1.489826,0,0,1,NaN,,0
16,0,WAKE,335,16,334,16,-318,2.939638,2.939638,0,0,1,1.647213,1.647213,0,0,1,NaN,,0
17,1,NREM,336,17,335,17,-318,2.069594,2.069594,0,0,1,1.660904,1.660904,0,0,1,NaN,,0
18,0,WAKE,344,18,343,18,-325,1.828684,1.828684,0,0,1,1.737475,1.737475,0,0,1,NaN,,0
19,1,NREM,345,19,344,19,-325,2.82545,2.82545,0,0,1,1.742452,1.742452,0,0,1,NaN,,0
20,0,WAKE,352,20,351,20,-331,0.8768891,0.8768891,0,0,1,1.761088,1.761088,0,0,1,NaN,,0
21,1,NREM,354,21,353,21,-332,0.8408456,0.8408456,0,0,1,1.764229,1.764229,0,0,1,NaN,,0
22,0,WAKE,374,23,373,23,-350,0.9077576,0.9077576,0,0,1,1.870629,1.870629,0,0,1,NaN,,0
23,1,NREM,380,24,379,24,-355,3.483959,3.483959,0,0,1,1.9072,1.9072,0,0,1,NaN,,0
24,0,WAKE,408,25,407,25,-382,2.782215,2.782215,0,0,1,2.153008,2.153008,0,0,1,NaN,,0
25,1,NREM,410,26,409,26,-383,3.897183,3.897183,0,0,1,2.171556,2.171556,0,0,1,NaN,,0
26,0,WAKE,431,27,430,27,-403,1.169415,1.169415,0,0,1,2.226354,2.226354,0,0,1,NaN,,0
27,1,NREM,438,28,437,28,-409,2.934718,2.934718,0,0,1,2.162745,2.162745,0,0,1,NaN,,0
