MouseID,Genotype,Condition,sigma_mod_power,sigma_mod_peak_f,sigma_mod_peak_amp,theta_mod_power,theta_mod_peak_f,theta_mod_peak_amp
mouse1,APP,baseline,3.31282863710239e-11,0.0124176343282064,6.92936615196852e-10,8.78953776832336e-11,0.0124176343282064,2.42658660051562e-09
mouse2,WT,baseline,2.60160824754412e-11,0.0124176343282064,3.81356875162449e-10,1.00921267713578e-10,0.0124176343282064,3.90243320351952e-09
mouse1,APP,ambtemp,3.21584768086757e-11,0.0124176343282064,6.4088617550802e-10,1.11857772267714e-10,0.0173846880594889,3.19749426844142e-09
mouse8,WT,baseline,3.59132138155613e-11,0.0124176343282064,7.66306444276852e-10,1.30710696467848e-10,0.0124176343282064,5.58648390484242e-09
mouse4,WT,baseline,2.88259457354676e-11,0.0124176343282064,4.42651007764001e-10,1.15647020666994e-10,0.0124176343282064,2.92166037930032e-09
mouse4,WT,ambtemp,3.24451236790325e-11,0.0122542444028352,4.93367073383595e-10,1.18159717410265e-10,0.0147050932834023,2.63818276700631e-09
mouse10,APP,baseline,4.89775282097549e-11,0.0220576399251034,8.73116570842235e-10,1.73723213400829e-10,0.0122542444028352,5.18483562338547e-09
mouse10,APP,ambtemp,4.77437488810259e-11,0.0147050932834023,1.00401310372141e-09,1.95018739893718e-10,0.0122542444028352,7.37876905675828e-09
mouse3,APP,ambtemp,5.14301092210175e-11,0.0124176343282064,1.20274261217251e-09,1.45607642470024e-10,0.0298023223876953,3.63407496057007e-09
mouse3,APP,baseline,5.9492842728909e-11,0.0173846880594889,1.42220485319912e-09,1.72976927087001e-10,0.0149011611938477,3.79620434441249e-09
mouse12,WT,baseline,4.27530421985446e-11,0.0124176343282064,8.78804466394862e-10,1.23383268626104e-10,0.0124176343282064,3.46831113527692e-09
mouse11,WT,baseline,2.62173145452425e-11,0.0298023223876953,3.51572652537934e-10,1.60652231662767e-10,0.0198682149251302,4.54866359584097e-09
mouse11,WT,ambtemp,2.32471947646519e-11,0.0124176343282064,4.37407992031937e-10,6.96680867882378e-11,0.0173846880594889,1.87761528012791e-09
mouse1,APP,drugs,4.66851277396253e-11,0.0173846880594889,8.32505830798574e-10,1.51790700025419e-10,0.0149011611938477,4.6467478121864e-09
mouse2,WT,drugs,2.32080303147255e-11,0.0149011611938477,4.63714387998457e-10,6.29280724820778e-11,0.0124176343282064,1.7764375408687e-09
mouse4,WT,drugs,3.23680540132435e-11,0.0149011611938477,4.61635569073167e-10,1.57009098839582e-10,0.0173846880594889,3.32030921283433e-09
mouse3,APP,drugs,4.44092754864736e-11,0.0124176343282064,1.11173865327626e-09,1.55771554222611e-10,0.0248352686564128,3.20168423435401e-09
mouse10,APP,drugs,3.67814330738655e-11,0.0149011611938477,6.67409302244541e-10,1.78291588669263e-10,0.0124176343282064,5.2045785977885e-09
mouse12,WT,ambtemp,3.68455084306722e-11,0.0124176343282064,9.34609493828219e-10,1.29987842344387e-10,0.0124176343282064,4.04607202276705e-09
mouse12,WT,drugs,3.62984151431412e-11,0.0124176343282064,9.11275447305792e-10,1.31119820305933e-10,0.0223517417907715,2.78320865360989e-09
