MouseID,Genotype,Condition,State,Band,Power_dB
mouse1,APP,baseline,Wake,Delta,-92.7550501275012
mouse1,APP,baseline,Wake,Theta,-92.2021688518281
mouse1,APP,baseline,Wake,Sigma,-95.4498038783785
mouse1,APP,baseline,Wake,Beta,-93.987109892568
mouse1,APP,baseline,Wake,lGamma1,-96.84587499966
mouse1,APP,baseline,Wake,lGamma2,-102.858985519051
mouse1,APP,baseline,Wake,hGamma,-98.1917580519027
mouse1,APP,baseline,NREM,Delta,-92.6141183707712
mouse1,APP,baseline,NREM,Theta,-91.630322948293
mouse1,APP,baseline,NREM,Sigma,-93.9793054932939
mouse1,APP,baseline,NREM,Beta,-92.9991964903643
mouse1,APP,baseline,NREM,lGamma1,-97.1997173337908
mouse1,APP,baseline,NREM,lGamma2,-103.756423662973
mouse1,APP,baseline,NREM,hGamma,-98.708510150946
mouse1,APP,baseline,REM,Delta,-94.5026900382543
mouse1,APP,baseline,REM,Theta,-89.4324420455669
mouse1,APP,baseline,REM,Sigma,-93.834873057762
mouse1,APP,baseline,REM,Beta,-92.5121748647699
mouse1,APP,baseline,REM,lGamma1,-96.5769865845277
mouse1,APP,baseline,REM,lGamma2,-102.618018247743
mouse1,APP,baseline,REM,hGamma,-98.0111436178319
mouse2,WT,baseline,Wake,Delta,-92.6752164175151
mouse2,WT,baseline,Wake,Theta,-92.547232389857
mouse2,WT,baseline,Wake,Sigma,-96.1598904086146
mouse2,WT,baseline,Wake,Beta,-95.3075061300666
mouse2,WT,baseline,Wake,lGamma1,-98.1145288877144
mouse2,WT,baseline,Wake,lGamma2,-103.381094039453
mouse2,WT,baseline,Wake,hGamma,-97.5048533105347
mouse2,WT,baseline,NREM,Delta,-91.4649108616518
mouse2,WT,baseline,NREM,Theta,-92.1272883431216
mouse2,WT,baseline,NREM,Sigma,-94.4822288000631
mouse2,WT,baseline,NREM,Beta,-94.0932448563227
mouse2,WT,baseline,NREM,lGamma1,-98.8592005156617
mouse2,WT,baseline,NREM,lGamma2,-104.212421110685
mouse2,WT,baseline,NREM,hGamma,-98.1070620362867
mouse2,WT,baseline,REM,Delta,-95.7366752715251
mouse2,WT,baseline,REM,Theta,-89.5897457043251
mouse2,WT,baseline,REM,Sigma,-95.6567163196404
mouse2,WT,baseline,REM,Beta,-94.4423787264322
mouse2,WT,baseline,REM,lGamma1,-98.4889039882978
mouse2,WT,baseline,REM,lGamma2,-103.377932125319
mouse2,WT,baseline,REM,hGamma,-97.5225551976261
mouse1,APP,ambtemp,Wake,Delta,-91.4352508666991
mouse1,APP,ambtemp,Wake,Theta,-91.8694547589824
