state_code,start_s,end_s,dur_s
0,0,3041,3042
1,3042,3221,180
0,3222,3243,22
1,3244,3457,214
0,3458,3491,34
1,3492,3760,269
2,3761,3891,131
0,3892,4069,178
1,4070,4514,445
2,4515,4573,59
0,4574,4592,19
1,4593,4650,58
0,4651,4683,33
1,4684,5012,329
0,5013,5053,41
1,5054,5196,143
2,5197,5241,45
0,5242,5283,42
1,5284,5507,224
0,5508,5539,32
1,5540,5723,184
0,5724,5747,24
1,5748,5906,159
0,5907,5924,18
1,5925,6056,132
0,6057,6099,43
1,6100,6179,80
0,6180,6220,41
1,6221,6273,53
2,6274,6347,74
0,6348,6381,34
1,6382,6553,172
15,6554,6564,11
1,6565,6691,127
0,6692,6713,22
1,6714,6822,109
2,6823,7010,188
0,7011,7201,191
1,7202,7504,303
2,7505,7535,31
0,7536,7982,447
1,7983,8048,66
0,8049,8074,26
1,8075,8191,117
0,8192,8211,20
1,8212,8360,149
15,8361,8363,3
1,8364,8561,198
15,8562,8569,8
1,8570,8883,314
2,8884,8963,80
0,8964,9084,121
1,9085,9160,76
15,9161,9171,11
1,9172,9256,85
15,9257,9267,11
1,9268,9405,138
15,9406,9406,1
2,9407,9449,43
0,9450,9543,94
1,9544,9870,327
2,9871,9928,58
0,9929,9983,55
1,9984,10104,121
0,10105,10143,39
1,10144,10614,471
2,10615,10693,79
0,10694,10732,39
1,10733,11022,290
2,11023,11153,131
0,11154,11235,82
1,11236,11698,463
2,11699,11773,75
15,11774,11787,14
1,11788,11917,130
0,11918,11935,18
1,11936,12096,161
2,12097,12171,75
0,12172,12193,22
1,12194,12292,99
0,12293,12308,16
1,12309,12407,99
15,12408,12420,13
1,12421,12506,86
2,12507,12586,80
0,12587,12608,22
1,12609,12696,88
2,12697,12776,80
15,12777,12788,12
1,12789,12892,104
15,12893,12904,12
1,12905,13058,154
2,13059,13208,150
0,13209,13344,136
1,13345,13492,148
15,13493,13507,15
1,13508,13661,154
0,13662,13707,46
1,13708,14199,492
2,14200,14261,62
0,14262,14375,114
1,14376,14697,322
0,14698,15876,1179
1,15877,16625,749
0,16626,16697,72
1,16698,16998,301
0,16999,17039,41
1,17040,17389,350
0,17390,17613,224
1,17614,17696,83
15,17697,17709,13
1,17710,17744,35
0,17745,19413,1669
1,19414,19691,278
15,19692,19692,1
2,19693,19825,133
0,19826,19851,26
1,19852,20176,325
2,20177,20271,95
15,20272,20283,12
1,20284,20957,674
2,20958,21042,85
15,21043,21056,14
1,21057,21493,437
0,21494,21510,17
1,21511,21738,228
0,21739,21781,43
1,21782,22061,280
15,22062,22062,1
1,22063,22127,65
0,22128,24126,1999
1,24127,24247,121
0,24248,24267,20
1,24268,24403,136
0,24404,24423,20
1,24424,24546,123
0,24547,24576,30
1,24577,24700,124
0,24701,24728,28
1,24729,24858,130
0,24859,24878,20
1,24879,25077,199
0,25078,25168,91
1,25169,25338,170
2,25339,25434,96
0,25435,25450,16
1,25451,25795,345
15,25796,25796,1
2,25797,25854,58
0,25855,25950,96
1,25951,26301,351
2,26302,26492,191
0,26493,26664,172
1,26665,27036,372
2,27037,27144,108
0,27145,27632,488
1,27633,28058,426
0,28059,28077,19
1,28078,28414,337
0,28415,28530,116
1,28531,28713,183
0,28714,30182,1469
1,30183,30781,599
2,30782,30828,47
0,30829,30851,23
1,30852,31334,483
0,31335,31350,16
1,31351,31606,256
2,31607,31688,82
0,31689,31959,271
1,31960,32253,294
0,32254,32279,26
1,32280,32394,115
2,32395,32481,87
0,32482,32497,16
1,32498,32611,114
0,32612,32635,24
1,32636,32891,256
2,32892,33023,132
0,33024,34079,1056
