state_code,start_s,end_s,dur_s
0,0,619,620
1,620,733,114
0,734,762,29
1,763,844,82
0,845,864,20
1,865,887,23
15,888,893,6
1,894,922,29
15,923,930,8
1,931,1052,122
15,1053,1055,3
1,1056,1102,47
2,1103,1176,74
0,1177,1200,24
1,1201,1296,96
15,1297,1301,5
1,1302,1342,41
15,1343,1346,4
1,1347,1363,17
0,1364,1436,73
1,1437,1511,75
2,1512,1612,101
15,1613,1622,10
1,1623,1924,302
2,1925,2020,96
15,2021,2030,10
1,2031,2170,140
0,2171,2248,78
1,2249,2328,80
15,2329,2334,6
1,2335,2350,16
2,2351,2426,76
0,2427,2491,65
1,2492,2724,233
2,2725,2754,30
0,2755,3089,335
1,3090,3163,74
15,3164,3169,6
1,3170,3287,118
15,3288,3295,8
1,3296,3321,26
15,3322,3327,6
1,3328,3379,52
15,3380,3385,6
1,3386,3420,35
2,3421,3439,19
15,3440,3449,10
1,3450,3484,35
15,3485,3497,13
1,3498,3547,50
15,3548,3553,6
1,3554,3753,200
0,3754,3771,18
1,3772,3888,117
15,3889,3897,9
1,3898,3944,47
15,3945,3951,7
1,3952,4065,114
0,4066,4839,774
1,4840,4955,116
15,4956,4967,12
1,4968,5030,63
15,5031,5036,6
1,5037,5078,42
15,5079,5082,4
1,5083,5115,33
15,5116,5120,5
1,5121,5185,65
0,5186,5208,23
1,5209,5278,70
15,5279,5282,4
1,5283,5312,30
15,5313,5317,5
1,5318,5339,22
15,5340,5343,4
1,5344,5430,87
2,5431,5457,27
15,5458,5468,11
1,5469,5513,45
15,5514,5519,6
1,5520,5551,32
15,5552,5556,5
1,5557,5629,73
15,5630,5636,7
1,5637,5696,60
15,5697,5704,8
1,5705,5773,69
2,5774,5891,118
15,5892,5899,8
1,5900,5992,93
15,5993,6000,8
1,6001,6012,12
15,6013,6017,5
1,6018,6044,27
15,6045,6049,5
1,6050,6097,48
15,6098,6104,7
1,6105,6138,34
15,6139,6143,5
1,6144,6212,69
15,6213,6220,8
1,6221,6266,46
0,6267,6284,18
1,6285,6386,102
15,6387,6398,12
1,6399,6445,47
15,6446,6452,7
1,6453,6476,24
2,6477,6614,138
0,6615,6638,24
1,6639,6698,60
15,6699,6706,8
1,6707,6790,84
15,6791,6804,14
1,6805,6846,42
0,6847,7154,308
1,7155,7231,77
15,7232,7239,8
1,7240,7292,53
15,7293,7304,12
1,7305,7331,27
2,7332,7363,32
0,7364,7728,365
1,7729,7819,91
15,7820,7827,8
1,7828,7869,42
0,7870,7890,21
1,7891,8107,217
0,8108,8254,147
1,8255,8335,81
15,8336,8339,4
1,8340,8411,72
15,8412,8419,8
1,8420,8528,109
15,8529,8542,14
1,8543,8713,171
0,8714,8741,28
1,8742,8816,75
15,8817,8823,7
1,8824,8869,46
15,8870,8880,11
1,8881,8918,38
15,8919,8930,12
1,8931,9065,135
15,9066,9072,7
1,9073,9109,37
15,9110,9121,12
1,9122,9137,16
15,9138,9143,6
1,9144,9195,52
2,9196,9226,31
15,9227,9232,6
1,9233,9262,30
15,9263,9269,7
1,9270,9288,19
15,9289,9296,8
1,9297,9341,45
15,9342,9348,7
1,9349,9446,98
15,9447,9456,10
1,9457,9491,35
15,9492,9494,3
1,9495,9549,55
2,9550,9672,123
0,9673,10010,338
1,10011,10106,96
15,10107,10110,4
1,10111,10220,110
15,10221,10225,5
1,10226,10262,37
15,10263,10270,8
1,10271,10302,32
15,10303,10307,5
1,10308,10467,160
2,10468,10542,75
0,10543,10823,281
1,10824,10906,83
15,10907,10912,6
1,10913,11014,102
0,11015,11372,358
1,11373,11422,50
15,11423,11426,4
1,11427,11455,29
15,11456,11458,3
1,11459,11485,27
15,11486,11498,13
1,11499,11551,53
15,11552,11557,6
1,11558,11574,17
15,11575,11579,5
1,11580,11602,23
15,11603,11607,5
1,11608,11630,23
15,11631,11639,9
1,11640,11658,19
0,11659,11785,127
1,11786,11930,145
15,11931,11937,7
1,11938,12053,116
0,12054,12072,19
1,12073,12179,107
0,12180,12196,17
1,12197,12287,91
2,12288,12338,51
0,12339,12392,54
1,12393,12428,36
15,12429,12432,4
1,12433,12482,50
15,12483,12487,5
1,12488,12609,122
15,12610,12613,4
1,12614,12691,78
15,12692,12696,5
1,12697,12780,84
2,12781,12924,144
0,12925,13597,673
1,13598,13650,53
15,13651,13655,5
1,13656,13735,80
15,13736,13739,4
1,13740,13852,113
0,13853,14613,761
1,14614,14642,29
15,14643,14646,4
1,14647,14707,61
15,14708,14711,4
1,14712,14733,22
15,14734,14738,5
1,14739,14808,70
15,14809,14811,3
1,14812,14853,42
15,14854,14856,3
1,14857,14919,63
2,14920,14945,26
0,14946,14982,37
1,14983,15157,175
0,15158,15173,16
1,15174,15228,55
15,15229,15236,8
1,15237,15312,76
15,15313,15317,5
1,15318,15369,52
2,15370,15460,91
0,15461,15490,30
1,15491,15501,11
15,15502,15505,4
1,15506,15539,34
15,15540,15543,4
1,15544,15595,52
15,15596,15604,9
1,15605,15651,47
0,15652,15683,32
1,15684,15734,51
0,15735,15764,30
1,15765,15841,77
15,15842,15848,7
1,15849,15911,63
2,15912,15942,31
15,15943,15947,5
1,15948,15963,16
15,15964,15966,3
1,15967,15997,31
15,15998,16001,4
1,16002,16115,114
2,16116,16189,74
0,16190,16215,26
1,16216,16305,90
15,16306,16314,9
1,16315,16353,39
15,16354,16355,2
1,16356,16401,46
15,16402,16413,12
1,16414,16477,64
15,16478,16488,11
1,16489,16524,36
