state_code,start_s,end_s,dur_s
1,0,147,148
0,148,3495,3348
1,3496,3532,37
15,3533,3534,2
1,3535,3583,49
15,3584,3585,2
1,3586,3611,26
15,3612,3613,2
1,3614,3653,40
15,3654,3655,2
1,3656,3698,43
15,3699,3700,2
1,3701,3761,61
15,3762,3766,5
1,3767,3797,31
15,3798,3799,2
1,3800,3815,16
15,3816,3818,3
1,3819,3856,38
15,3857,3862,6
1,3863,3926,64
15,3927,3930,4
1,3931,3941,11
15,3942,3943,2
1,3944,3984,41
15,3985,3988,4
1,3989,4016,28
15,4017,4019,3
1,4020,4031,12
15,4032,4033,2
1,4034,4042,9
0,4043,4063,21
1,4064,4148,85
15,4149,4157,9
1,4158,4191,34
15,4192,4202,11
1,4203,4269,67
0,4270,4309,40
1,4310,4319,10
15,4320,4322,3
1,4323,4368,46
15,4369,4371,3
1,4372,4415,44
15,4416,4420,5
1,4421,4429,9
15,4430,4433,4
1,4434,4477,44
15,4478,4484,7
1,4485,4576,92
0,4577,4609,33
1,4610,4635,26
15,4636,4640,5
1,4641,4675,35
15,4676,4682,7
1,4683,4704,22
15,4705,4706,2
1,4707,4739,33
0,4740,4768,29
1,4769,4801,33
15,4802,4803,2
1,4804,4821,18
15,4822,4824,3
1,4825,4844,20
15,4845,4846,2
1,4847,4853,7
2,4854,4902,49
0,4903,4919,17
1,4920,4992,73
15,4993,4996,4
1,4997,5012,16
15,5013,5014,2
1,5015,5040,26
15,5041,5042,2
1,5043,5091,49
15,5092,5095,4
1,5096,5142,47
15,5143,5145,3
1,5146,5178,33
15,5179,5180,2
1,5181,5232,52
15,5233,5237,5
1,5238,5251,14
2,5252,5293,42
0,5294,5397,104
1,5398,5449,52
0,5450,6505,1056
1,6506,6599,94
15,6600,6609,10
1,6610,6673,64
0,6674,6702,29
1,6703,6735,33
0,6736,6769,34
1,6770,6927,158
2,6928,6956,29
0,6957,7137,181
1,7138,7216,79
0,7217,7244,28
1,7245,7326,82
15,7327,7330,4
1,7331,7371,41
15,7372,7376,5
1,7377,7398,22
2,7399,7476,78
0,7477,9355,1879
1,9356,9428,73
15,9429,9441,13
1,9442,9491,50
15,9492,9495,4
1,9496,9562,67
15,9563,9572,10
1,9573,9658,86
15,9659,9665,7
1,9666,9699,34
15,9700,9707,8
1,9708,9769,62
2,9770,9840,71
15,9841,9854,14
1,9855,9918,64
15,9919,9921,3
1,9922,9952,31
15,9953,9958,6
1,9959,10001,43
15,10002,10004,3
1,10005,10101,97
15,10102,10108,7
1,10109,10160,52
15,10161,10163,3
1,10164,10222,59
0,10223,10265,43
1,10266,10368,103
15,10369,10379,11
1,10380,10458,79
15,10459,10464,6
1,10465,10543,79
2,10544,10608,65
