state_code,start_s,end_s,dur_s
0,0,937,938
1,938,1131,194
0,1132,1873,742
1,1874,2462,589
0,2463,3361,899
1,3362,3413,52
0,3414,3602,189
1,3603,3679,77
15,3680,3682,3
1,3683,3711,29
0,3712,3762,51
1,3763,3933,171
15,3934,3940,7
1,3941,4038,98
15,4039,4043,5
1,4044,4159,116
15,4160,4163,4
1,4164,4250,87
0,4251,4751,501
1,4752,4892,141
0,4893,4953,61
1,4954,5197,244
15,5198,5206,9
1,5207,5222,16
0,5223,5870,648
1,5871,5974,104
15,5975,5977,3
1,5978,5999,22
15,6000,6007,8
1,6008,6032,25
0,6033,6789,757
1,6790,6905,116
2,6906,6939,34
0,6940,7027,88
1,7028,7163,136
15,7164,7175,12
1,7176,7296,121
15,7297,7302,6
1,7303,7400,98
15,7401,7406,6
1,7407,7481,75
0,7482,7526,45
1,7527,7571,45
15,7572,7578,7
1,7579,7656,78
15,7657,7663,7
1,7664,7700,37
2,7701,7767,67
0,7768,7819,52
1,7820,7936,117
15,7937,7940,4
1,7941,7969,29
15,7970,7972,3
1,7973,8074,102
0,8075,8095,21
1,8096,8134,39
0,8135,8151,17
1,8152,8185,34
15,8186,8192,7
1,8193,8223,31
15,8224,8229,6
1,8230,8312,83
0,8313,8356,44
1,8357,8382,26
15,8383,8387,5
1,8388,8433,46
15,8434,8437,4
1,8438,8467,30
15,8468,8471,4
1,8472,8499,28
2,8500,8552,53
0,8553,8610,58
1,8611,8648,38
15,8649,8654,6
1,8655,8706,52
15,8707,8713,7
1,8714,8773,60
15,8774,8779,6
1,8780,8847,68
15,8848,8853,6
1,8854,8900,47
15,8901,8908,8
1,8909,8952,44
2,8953,8996,44
0,8997,9029,33
1,9030,9071,42
15,9072,9077,6
1,9078,9126,49
2,9127,9242,116
0,9243,9292,50
1,9293,9347,55
15,9348,9353,6
1,9354,9403,50
15,9404,9410,7
1,9411,9442,32
15,9443,9447,5
1,9448,9505,58
15,9506,9520,15
1,9521,9581,61
15,9582,9593,12
1,9594,9693,100
2,9694,9736,43
0,9737,9757,21
1,9758,9832,75
15,9833,9847,15
1,9848,9907,60
0,9908,9927,20
1,9928,9995,68
15,9996,10003,8
1,10004,10022,19
15,10023,10034,12
1,10035,10205,171
0,10206,12102,1897
