state_code,start_s,end_s,dur_s
0,0,3708,3709
1,3709,3939,231
0,3940,4126,187
1,4127,4205,79
15,4206,4210,5
1,4211,4297,87
15,4298,4306,9
1,4307,4469,163
15,4470,4474,5
1,4475,4574,100
2,4575,4615,41
0,4616,4643,28
1,4644,4724,81
15,4725,4730,6
1,4731,4816,86
15,4817,4823,7
1,4824,4857,34
15,4858,4868,11
1,4869,4970,102
15,4971,4976,6
1,4977,5042,66
15,5043,5051,9
1,5052,5103,52
15,5104,5109,6
1,5110,5170,61
15,5171,5181,11
1,5182,5248,67
2,5249,5341,93
15,5342,5354,13
1,5355,5418,64
15,5419,5426,8
1,5427,5502,76
0,5503,6707,1205
1,6708,6802,95
15,6803,6808,6
1,6809,6933,125
15,6934,6940,7
1,6941,6992,52
15,6993,7000,8
1,7001,7045,45
15,7046,7052,7
1,7053,7060,8
15,7061,7065,5
1,7066,7122,57
2,7123,7249,127
0,7250,7352,103
1,7353,7401,49
15,7402,7406,5
1,7407,7512,106
15,7513,7518,6
1,7519,7652,134
15,7653,7658,6
1,7659,7729,71
0,7730,7910,181
1,7911,7996,86
15,7997,8003,7
1,8004,8054,51
15,8055,8060,6
1,8061,8141,81
15,8142,8149,8
1,8150,8192,43
15,8193,8198,6
1,8199,8246,48
0,8247,8683,437
1,8684,8751,68
15,8752,8758,7
1,8759,8835,77
15,8836,8840,5
1,8841,8894,54
15,8895,8899,5
1,8900,8959,60
15,8960,8964,5
1,8965,8980,16
0,8981,11351,2371
1,11352,11427,76
15,11428,11433,6
1,11434,11673,240
0,11674,12515,842
1,12516,12537,22
15,12538,12540,3
1,12541,12632,92
15,12633,12637,5
1,12638,12717,80
0,12718,12741,24
1,12742,12824,83
0,12825,12840,16
1,12841,12890,50
15,12891,12896,6
1,12897,12979,83
15,12980,12985,6
1,12986,13136,151
2,13137,13220,84
0,13221,13367,147
1,13368,13423,56
15,13424,13431,8
1,13432,13505,74
15,13506,13511,6
1,13512,13671,160
15,13672,13681,10
1,13682,13731,50
15,13732,13740,9
1,13741,13818,78
15,13819,13825,7
1,13826,13883,58
15,13884,13889,6
1,13890,13910,21
15,13911,13917,7
1,13918,13937,20
15,13938,13942,5
1,13943,14008,66
15,14009,14017,9
1,14018,14053,36
2,14054,14089,36
0,14090,15123,1034
1,15124,15164,41
15,15165,15168,4
1,15169,15236,68
15,15237,15244,8
1,15245,15290,46
15,15291,15294,4
1,15295,15326,32
15,15327,15330,4
1,15331,15362,32
15,15363,15366,4
1,15367,15406,40
0,15407,15430,24
1,15431,15454,24
15,15455,15458,4
1,15459,15488,30
15,15489,15495,7
1,15496,15528,33
15,15529,15533,5
1,15534,15558,25
15,15559,15563,5
1,15564,15582,19
2,15583,15650,68
0,15651,15675,25
1,15676,15699,24
15,15700,15704,5
1,15705,15752,48
15,15753,15758,6
1,15759,15802,44
15,15803,15809,7
1,15810,15847,38
15,15848,15852,5
1,15853,15882,30
15,15883,15886,4
1,15887,15914,28
2,15915,16088,174
0,16089,16180,92
1,16181,16233,53
15,16234,16238,5
1,16239,16275,37
15,16276,16283,8
1,16284,16303,20
0,16304,16319,16
1,16320,16357,38
15,16358,16365,8
1,16366,16376,11
15,16377,16383,7
1,16384,16452,69
15,16453,16464,12
1,16465,16632,168
15,16633,16645,13
1,16646,16663,18
15,16664,16672,9
1,16673,16698,26
15,16699,16704,6
1,16705,16807,103
0,16808,16832,25
1,16833,16890,58
2,16891,16951,61
15,16952,16960,9
1,16961,16998,38
15,16999,17003,5
1,17004,17034,31
15,17035,17040,6
1,17041,17072,32
0,17073,17089,17
1,17090,17143,54
15,17144,17150,7
1,17151,17293,143
0,17294,17322,29
1,17323,17433,111
15,17434,17443,10
1,17444,17494,51
15,17495,17501,7
1,17502,17567,66
15,17568,17578,11
1,17579,17636,58
2,17637,17778,142
15,17779,17791,13
1,17792,17904,113
15,17905,17911,7
1,17912,18030,119
15,18031,18042,12
1,18043,18101,59
15,18102,18113,12
1,18114,18200,87
0,18201,18222,22
1,18223,18234,12
15,18235,18240,6
1,18241,18332,92
15,18333,18346,14
1,18347,18451,105
0,18452,18519,68
1,18520,18589,70
15,18590,18593,4
1,18594,18612,19
15,18613,18616,4
1,18617,18669,53
2,18670,18724,55
0,18725,18774,50
1,18775,18835,61
15,18836,18850,15
1,18851,18962,112
2,18963,19001,39
0,19002,19045,44
1,19046,19058,13
15,19059,19062,4
1,19063,19084,22
15,19085,19091,7
1,19092,19130,39
15,19131,19138,8
1,19139,19156,18
15,19157,19165,9
1,19166,19213,48
15,19214,19219,6
1,19220,19259,40
2,19260,19293,34
0,19294,20519,1226
1,20520,20575,56
15,20576,20583,8
1,20584,20644,61
15,20645,20653,9
1,20654,20683,30
15,20684,20689,6
1,20690,20712,23
0,20713,20775,63
1,20776,20850,75
15,20851,20854,4
1,20855,20872,18
15,20873,20878,6
1,20879,20893,15
15,20894,20904,11
1,20905,20941,37
15,20942,20946,5
1,20947,21009,63
15,21010,21024,15
1,21025,21120,96
2,21121,21382,262
0,21383,21493,111
1,21494,21575,82
15,21576,21581,6
1,21582,21647,66
15,21648,21652,5
1,21653,21717,65
0,21718,21733,16
1,21734,21883,150
15,21884,21890,7
1,21891,21964,74
15,21965,21970,6
1,21971,22007,37
15,22008,22013,6
1,22014,22046,33
15,22047,22052,6
1,22053,22088,36
15,22089,22095,7
1,22096,22127,32
15,22128,22132,5
1,22133,22179,47
15,22180,22185,6
1,22186,22238,53
0,22239,22292,54
1,22293,22386,94
0,22387,22636,250
1,22637,22654,18
15,22655,22659,5
1,22660,22707,48
15,22708,22713,6
1,22714,22752,39
15,22753,22759,7
1,22760,22801,42
15,22802,22806,5
1,22807,22820,14
15,22821,22824,4
1,22825,22845,21
15,22846,22851,6
1,22852,22872,21
15,22873,22879,7
1,22880,22930,51
15,22931,22936,6
1,22937,22983,47
2,22984,23094,111
0,23095,23144,50
1,23145,23405,261
15,23406,23413,8
1,23414,23438,25
15,23439,23451,13
1,23452,23483,32
15,23484,23490,7
1,23491,23520,30
15,23521,23524,4
1,23525,23563,39
2,23564,23598,35
1,23599,23667,69
15,23668,23680,13
1,23681,23719,39
15,23720,23728,9
1,23729,23795,67
2,23796,23866,71
15,23867,23877,11
1,23878,23904,27
15,23905,23912,8
1,23913,23930,18
15,23931,23937,7
1,23938,23981,44
2,23982,24048,67
0,24049,24073,25
1,24074,24125,52
15,24126,24133,8
1,24134,24163,30
15,24164,24174,11
1,24175,24298,124
2,24299,24488,190
15,24489,24498,10
1,24499,24547,49
15,24548,24553,6
1,24554,24588,35
15,24589,24598,10
1,24599,24622,24
0,24623,24640,18
1,24641,24649,9
15,24650,24654,5
1,24655,24723,69
15,24724,24727,4
1,24728,24782,55
0,24783,24819,37
1,24820,24891,72
15,24892,24906,15
1,24907,24988,82
2,24989,25038,50
0,25039,25148,110
