state,n_bouts,total_dur_s,mean_bout_dur_s,file,date,condition,mouse,genotype
WK,61,14400,236.065573770492,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
NREM,74,16972,229.351351351351,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
REM,28,2555,91.25,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
WK,59,13959,236.593220338983,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
NREM,92,12919,140.423913043478,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
REM,19,2191,115.315789473684,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
WK,38,14865,391.184210526316,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
NREM,72,14288,198.444444444444,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
REM,21,2130,101.428571428571,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
WK,93,15731,169.150537634409,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
NREM,152,17060,112.236842105263,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
REM,21,2374,113.047619047619,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
WK,62,12403,200.048387096774,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
NREM,108,17530,162.314814814815,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
REM,20,1523,76.15,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
WK,61,10766,176.491803278689,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
NREM,263,15846,60.2509505703422,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
REM,39,3107,79.6666666666667,20251007-ambtemp-mouse4-WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
WK,66,12731,192.893939393939,20251007-baseline-mouse10-APP_scored_scores_1Hz.csv,20251007,baseline,mouse10,APP
NREM,395,13024,32.9721518987342,20251007-baseline-mouse10-APP_scored_scores_1Hz.csv,20251007,baseline,mouse10,APP
REM,41,3676,89.6585365853659,20251007-baseline-mouse10-APP_scored_scores_1Hz.csv,20251007,baseline,mouse10,APP
WK,51,14101,276.490196078431,20251008-ambtemp-mouse10-APP_scored_scores_1Hz.csv,20251008,ambtemp,mouse10,APP
NREM,334,15030,45,20251008-ambtemp-mouse10-APP_scored_scores_1Hz.csv,20251008,ambtemp,mouse10,APP
REM,36,3553,98.6944444444444,20251008-ambtemp-mouse10-APP_scored_scores_1Hz.csv,20251008,ambtemp,mouse10,APP
WK,56,12400,221.428571428571,20251009-ambtemp-mouse3-APP_scored_scores_1Hz.csv,20251009,ambtemp,mouse3,APP
NREM,292,13405,45.9075342465753,20251009-ambtemp-mouse3-APP_scored_scores_1Hz.csv,20251009,ambtemp,mouse3,APP
REM,25,2174,86.96,20251009-ambtemp-mouse3-APP_scored_scores_1Hz.csv,20251009,ambtemp,mouse3,APP
WK,29,10766,371.241379310345,20251011-baseline-mouse3-APP_scored_scores_1Hz.csv,20251011,baseline,mouse3,APP
NREM,201,10149,50.4925373134328,20251011-baseline-mouse3-APP_scored_scores_1Hz.csv,20251011,baseline,mouse3,APP
REM,27,1907,70.6296296296296,20251011-baseline-mouse3-APP_scored_scores_1Hz.csv,20251011,baseline,mouse3,APP
WK,64,12268,191.6875,20251012-baseline-mouse12-WT_scored_scores_1Hz.csv,20251012,baseline,mouse12,WT
NREM,215,14674,68.2511627906977,20251012-baseline-mouse12-WT_scored_scores_1Hz.csv,20251012,baseline,mouse12,WT
REM,34,3430,100.882352941176,20251012-baseline-mouse12-WT_scored_scores_1Hz.csv,20251012,baseline,mouse12,WT
WK,66,13612,206.242424242424,20251013-baseline-mouse11-WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT
NREM,161,14264,88.5962732919255,20251013-baseline-mouse11-WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT
REM,27,2185,80.9259259259259,20251013-baseline-mouse11-WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT
WK,40,8308,207.7,20251014-ambtemp-mouse11-WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT
NREM,206,11309,54.8980582524272,20251014-ambtemp-mouse11-WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT
REM,23,1948,84.695652173913,20251014-ambtemp-mouse11-WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT
WK,37,12500,337.837837837838,20251022-drugs-mouse1-APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP
NREM,189,14330,75.8201058201058,20251022-drugs-mouse1-APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP
REM,31,2757,88.9354838709677,20251022-drugs-mouse1-APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP
WK,41,11442,279.073170731707,20251022-drugs-mouse2-WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT
NREM,239,15091,63.1422594142259,20251022-drugs-mouse2-WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT
REM,32,2779,86.84375,20251022-drugs-mouse2-WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT
WK,35,12656,361.6,20251022-drugs-mouse4-WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT
NREM,162,9836,60.7160493827161,20251022-drugs-mouse4-WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT
REM,19,1740,91.5789473684211,20251022-drugs-mouse4-WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT
WK,64,12011,187.671875,20251023-drugs-mouse3-APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP
NREM,241,12044,49.9751037344398,20251023-drugs-mouse3-APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP
REM,20,1381,69.05,20251023-drugs-mouse3-APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP
WK,64,9556,149.3125,20251024-drugs-mouse10-APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP
NREM,290,15914,54.8758620689655,20251024-drugs-mouse10-APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP
REM,32,3119,97.46875,20251024-drugs-mouse10-APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP
WK,24,10665,444.375,20251025-ambtemp-mouse12-WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT
NREM,76,17277,227.328947368421,20251025-ambtemp-mouse12-WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT
REM,25,3187,127.48,20251025-ambtemp-mouse12-WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT
WK,52,12363,237.75,20251926-drugs-mouse12-WT_scored_scores_1Hz.csv,20251926,drugs,mouse12,WT
NREM,163,15152,92.9570552147239,20251926-drugs-mouse12-WT_scored_scores_1Hz.csv,20251926,drugs,mouse12,WT
REM,30,3130,104.333333333333,20251926-drugs-mouse12-WT_scored_scores_1Hz.csv,20251926,drugs,mouse12,WT
