hour_idx,hour_start_s,dur_s,bouts_per_h,mean_bout_dur_s,state,file,date,condition,mouse,genotype
0,0,3098,3,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,716,13,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,843,8,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,456,8,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,1771,5,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,1457,2,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,2251,8,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,993,7,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,1719,4,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,1096,3,NaN,WK,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,502,3,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,2376,13,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,2432,13,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,2425,13,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,1816,5,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,1803,5,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,1348,9,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,2153,6,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,1747,5,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,370,2,NaN,NREM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,0,0,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,497,5,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,291,5,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,653,7,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,0,0,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,313,3,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,0,0,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,453,4,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,134,3,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,214,1,NaN,REM,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,0,0,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,11,1,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,34,5,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,66,5,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,13,1,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,27,3,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,1,1,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,1,1,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,0,0,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,0,0,NaN,MA,20251001-baseline-mouse1-APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,3600,1,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
1,3600,523,11,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
2,7200,1880,1,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
3,10800,1550,7,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
4,14400,1197,11,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
5,18000,494,6,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
6,21600,1997,11,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
7,25200,2189,11,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
8,28800,529,0,NaN,WK,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
0,0,0,0,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
1,3600,2690,33,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
2,7200,1359,2,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
3,10800,1849,8,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
4,14400,2097,13,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
5,18000,2483,12,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
6,21600,1233,14,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
7,25200,1208,10,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
8,28800,0,0,NaN,NREM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
0,0,0,0,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
1,3600,276,3,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
2,7200,361,1,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
3,10800,186,2,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
4,14400,280,3,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
5,18000,549,5,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
6,21600,336,3,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
7,25200,203,2,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
8,28800,0,0,NaN,REM,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
0,0,0,0,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
1,3600,111,22,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
2,7200,0,0,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
3,10800,15,1,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
4,14400,26,2,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
5,18000,74,7,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
6,21600,34,3,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
7,25200,0,0,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
8,28800,0,0,NaN,MA,20251002-baseline-mouse2-WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
0,0,2760,2,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
1,3600,1313,3,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
2,7200,3299,1,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
3,10800,1279,6,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
4,14400,1250,6,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
5,18000,653,6,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
6,21600,1885,10,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
7,25200,1695,3,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
8,28800,731,1,NaN,WK,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
0,0,840,1,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
1,3600,2201,5,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
2,7200,301,1,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
3,10800,1826,8,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
4,14400,1830,10,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
5,18000,2446,19,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
6,21600,1618,15,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
7,25200,1478,11,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
8,28800,1748,2,NaN,NREM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
0,0,0,0,NaN,REM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
1,3600,83,2,NaN,REM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
2,7200,0,0,NaN,REM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
3,10800,467,4,NaN,REM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
4,14400,486,3,NaN,REM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
5,18000,367,6,NaN,REM,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
