cond,metric,n_WT,n_APP,mean_WT,mean_APP,p_ttest2
ambtemp,n_REM_total,5,3,33.6,41,0.141812967493717
ambtemp,propREM_long,5,3,0.255118967988533,0.260292203376659,0.300175479716448
ambtemp,total_REM_dur_s,5,3,3489.4,4186.66666666667,0.279607872321964
ambtemp,mean_REM_bout_len_s,5,3,103.798134097786,102.856084008471,0.948898022318176
ambtemp,REM_frag_bouts_per_min_REM,5,3,0.601310945294693,0.593764728167305,0.92965032103654
ambtemp,prop_cluster_shortonly,5,3,0.743603447807053,0.739707796623341,0.481563954480373
ambtemp,prop_cluster_shortlong,5,3,0,0,NaN
ambtemp,prop_cluster_longonly,5,3,0.256396552192947,0.260292203376659,0.481563954480366
baseline,n_REM_total,5,3,32.6,41.3333333333333,0.0878172144475457
baseline,propREM_long,5,3,0.277478430216767,0.250529100529101,0.0241192660341775
baseline,total_REM_dur_s,5,3,3229.2,3192,0.944109938501791
baseline,mean_REM_bout_len_s,5,3,98.4026190022133,76.9785233285233,0.0431280623554761
baseline,REM_frag_bouts_per_min_REM,5,3,0.618024587215965,0.787736590009915,0.0666970036317537
baseline,prop_cluster_shortonly,5,3,0.720242367504031,0.75296397628819,0.0269784237202975
baseline,prop_cluster_shortlong,5,3,0.00769230769230769,0.00980392156862745,0.87296961495296
baseline,prop_cluster_longonly,5,3,0.272065324803662,0.237232102143183,0.144118824237531
drugs,n_REM_total,4,3,27,29.6666666666667,0.505939463521801
drugs,propREM_long,4,3,0.256773399014778,0.247687604009443,0.465816275420814
drugs,total_REM_dur_s,4,3,2768.5,3001,0.730201244541636
drugs,mean_REM_bout_len_s,4,3,101.391820607553,100.198343589148,0.928753976476522
drugs,REM_frag_bouts_per_min_REM,4,3,0.594311610561224,0.616944208489689,0.806337031774951
drugs,prop_cluster_shortonly,4,3,0.741125760649087,0.752312395990557,0.443795432411403
drugs,prop_cluster_shortlong,4,3,0,0,NaN
drugs,prop_cluster_longonly,4,3,0.258874239350913,0.247687604009443,0.443795432411403
