mouse,geno,cond,dur_s,start_s,src_file
mouse?,GENO?,unknown,36,63,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,72,136,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,88,290,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,184,305,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,188,378,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,26,407,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,17,553,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,17,630,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,56,681,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,37,726,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,95,734,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,18,826,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,64,894,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,241,936,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,32,973,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,45,1017,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,16,1085,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,61,1100,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,77,1157,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,39,1337,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,216,1426,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,36,1444,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
