APP,WT
156,62
39,16
60,27
64,50
52,61
41,17
41,26
34,29
47,9
114,81
159,20
40,33
89,17
38,69
142,21
51,51
68,46
76,39
27,32
74,25
37,44
100,20
27,71
29,29
52,10
58,103
33,5
33,26
30,52
34,29
37,98
89,13
42,117
89,50
16,114
16,116
45,63
30,42
35,33
49,65
36,40
47,73
64,22
60,61
20,45
34,32
28,73
33,60
66,69
26,60
67,12
101,27
30,48
45,34
8,69
37,46
17,48
89,48
70,47
33,24
72,145
24,60
75,62
45,77
19,53
72,92
35,40
14,40
61,81
29,72
19,109
16,183
11,81
53,46
28,38
45,135
10,37
32,16
32,64
90,30
19,19
28,45
61,98
13,37
23,51
34,92
41,110
60,37
41,32
31,74
20,117
11,91
138,82
77,96
23,52
33,29
20,27
31,53
47,17
54,23
23,23
46,19
43,145
13,116
28,107
17,91
36,36
5,50
5,122
85,78
35,84
63,53
44,80
33,113
40,61
17,37
25,54
18,61
20,22
62,70
17,42
51,19
69,65
35,39
71,64
29,58
38,76
34,52
20,14
56,35
34,50
15,47
65,23
53,50
32,14
43,45
65,16
41,31
54,95
13,89
42,41
31,43
41,66
26,42
23,49
23,49
30,72
58,60
23,82
41,26
15,53
99,146
53,183
18,54
13,54
20,20
29,59
41,94
55,58
36,114
26,40
68,152
56,17
82,68
14,26
63,38
36,51
24,121
43,28
65,73
65,51
60,33
55,38
28,49
25,13
72,44
70,31
52,53
42,41
32,57
21,31
24,68
12,22
34,53
52,32
41,56
28,50
75,41
26,22
12,39
91,23
31,12
50,15
49,30
75,15
70,23
134,10
40,30
30,36
67,46
50,36
59,24
51,23
71,31
105,28
143,10
102,83
54,15
22,55
37,73
60,64
55,41
31,13
24,45
15,34
67,73
47,22
40,44
30,12
13,38
88,31
78,37
18,38
107,25
11,47
45,133
29,85
24,7
23,135
24,10
58,65
148,48
77,38
35,34
127,19
65,30
91,102
130,66
41,70
49,60
28,43
100,68
106,69
39,50
33,36
35,58
53,44
50,39
51,58
109,76
11,33
70,22
52,51
30,47
80,80
41,82
75,82
69,80
27,37
26,36
58,13
35,42
53,38
13,28
35,46
20,27
90,60
39,49
29,28
129,93
97,61
53,42
70,88
110,103
37,53
18,21
21,37
18,16
71,24
16,11
51,43
12,21
56,42
92,23
75,54
42,56
44,78
40,38
48,70
35,72
33,65
29,126
59,16
34,178
54,107
18,27
50,28
155,57
25,55
27,8
66,52
20,67
54,10
10,67
22,65
39,58
43,69
71,29
11,66
58,25
25,47
10,16
46,47
148,12
53,47
36,17
32,21
81,20
77,49
88,58
79,24
175,27
29,9
24,26
89,42
38,4
37,7
49,60
26,65
40,71
43,32
61,48
31,64
16,12
38,77
64,55
11,32
41,15
28,42
12,29
9,81
85,14
34,38
67,82
10,69
46,47
44,26
9,17
44,42
92,13
26,21
35,67
22,29
33,44
33,22
18,15
20,84
7,65
20,24
50,41
16,33
26,22
49,55
47,48
33,139
52,45
14,13
57,48
35,74
58,61
13,94
63,23
47,8
49,50
28,23
30,23
25,13
24,48
58,57
76,61
46,25
16,76
51,45
86,75
15,70
38,46
38,67
15,13
22,58
57,83
28,60
11,158
22,142
9,62
27,51
20,42
43,78
32,61
73,43
50,26
36,76
34,85
86,7
34,58
62,52
21,20
41,54
31,42
47,8
19,26
38,22
32,51
52,31
49,61
6,37
77,87
79,21
54,60
28,57
23,57
32,21
29,42
24,28
38,23
47,88
42,67
40,60
15,113
28,89
27,20
25,17
3,81
23,59
27,46
26,113
22,16
35,132
50,12
14,75
32,118
15,30
33,61
31,91
36,30
9,62
29,48
15,58
40,16
33,19
9,36
44,39
28,46
8,31
14,107
33,25
36,55
24,68
21,37
14,44
33,79
22,15
42,56
24,64
48,49
15,67
12,34
45,13
40,50
11,18
19,47
5,23
14,36
16,57
12,89
9,63
10,18
10,48
12,35
23,21
16,94
54,59
30,55
37,119
30,62
38,78
26,112
9,86
37,16
23,23
30,43
25,58
15,26
21,34
20,50
23,6
14,66
30,46
7,102
24,101
39,58
19,51
22,80
11,33
13,18
32,33
25,34
27,44
39,99
18,78
4,87
51,95
20,15
8,183
20,29
30,29
45,54
10,60
21,42
13,23
35,119
19,85
6,61
22,98
17,19
9,76
21,29
19,64
58,75
4,43
51,31
25,41
14,59
47,40
4,78
15,28
44,122
47,20
28,24
13,13
69,35
12,38
36,54
39,62
13,64
20,12
19,87
31,49
70,48
14,33
43,94
57,51
44,86
55,44
63,43
28,45
12,51
15,60
25,96
35,14
29,22
11,26
13,84
14,84
18,54
21,73
34,21
27,61
31,66
24,118
5,49
32,79
17,8
34,28
31,81
13,107
27,81
23,31
35,107
15,51
15,14
27,15
31,11
27,33
48,109
10,17
13,48
56,46
80,41
15,48
32,53
25,69
15,11
39,107
21,25
15,96
36,24
31,136
23,145
21,64
46,34
56,33
11,43
8,22
27,91
40,69
9,66
31,75
19,54
24,103
21,103
8,30
33,36
3,56
21,29
20,33
20,85
11,57
25,77
4,17
15,136
15,30
12,83
18,226
34,16
25,16
20,93
18,43
29,122
28,75
26,74
36,114
57,36
35,88
51,17
43,71
37,48
11,35
26,92
11,68
42,30
19,37
13,127
22,75
26,56
25,79
85,34
12,54
63,51
32,91
12,54
13,128
14,86
63,39
7,28
25,13
36,28
49,68
38,23
17,20
24,59
13,77
48,108
59,94
64,45
55,55
10,85
41,168
69,42
29,36
25,33
10,30
34,39
55,125
71,73
39,70
31,122
33,57
13,72
17,137
24,53
85,58
47,63
28,58
50,58
35,89
21,187
82,100
18,26
30,62
51,17
10,96
39,31
16,33
18,52
36,64
25,40
33,51
16,31
17,64
72,71
55,40
30,21
33,4
26,87
57,47
29,13
30,32
32,32
22,53
15,45
40,33
8,45
38,30
37,56
33,25
47,18
26,55
69,45
46,14
61,38
42,59
28,82
52,47
41,30
27,21
52,27
59,33
34,47
47,82
43,86
56,8
28,78
35,122
23,61
16,53
24,23
31,39
74,57
28,92
18,62
34,47
3,73
21,114
55,64
84,11
23,81
50,39
74,39
7,66
22,70
55,58
10,48
39,46
22,59
128,90
43,15
55,29
15,71
88,90
41,27
89,60
63,66
64,36
55,40
12,45
28,31
32,71
25,6
60,64
112,55
56,27
40,61
39,36
10,53
55,18
62,35
37,20
81,70
45,69
23,53
75,142
64,21
69,60
79,73
83,204
35,151
15,62
22,119
19,281
11,147
62,82
51,49
36,158
58,53
36,64
23,100
61,41
24,41
12,57
34,149
37,101
24,87
22,113
29,44
26,72
50,57
33,49
90,106
79,26
7,120
13,38
118,74
36,84
54,191
56,118
55,111
115,49
20,68
67,64
92,56
20,33
54,87
6,19
26,36
44,48
40,73
91,96
41,21
51,63
52,103
18,56
36,127
29,26
38,208
30,43
38,76
114,58
16,34
40,118
115,126
57,52
31,46
46,98
45,78
60,84
72,77
61,98
57,42
102,36
14,112
38,47
28,73
33,56
40,131
14,69
25,57
9,383
25,125
45,50
46,180
8,8
41,16
5,61
31,66
17,30
41,22
84,93
11,51
86,52
30,95
42,46
27,25
24,12
20,61
39,24
59,38
45,54
46,21
70,50
91,28
25,9
34,37
21,8
42,6
11,4
3,43
19,30
13,9
7,36
7,63
18,27
23,35
39,44
41,9
15,32
16,12
68,44
15,43
36,10
14,13
25,62
20,41
89,68
70,85
53,27
32,27
17,145
19,53
127,63
35,20
23,33
106,28
12,42
58,63
18,60
32,36
18,43
63,40
19,9
13,27
