APP,WT
36,36
36,72
65,88
35,56
22,241
55,86
64,77
66,25
169,195
113,52
188,115
30,146
101,181
61,19
82,123
87,163
34,51
247,144
57,70
210,91
97,139
149,93
55,69
72,296
77,24
66,115
123,123
24,49
51,85
49,36
83,64
40,78
36,73
47,360
89,128
52,119
175,111
46,242
166,148
62,177
233,36
142,251
143,21
49,115
42,48
29,82
78,260
71,181
38,46
90,81
38,21
234,90
15,120
68,197
230,68
186,205
88,49
100,85
21,66
163,84
31,156
135,126
255,108
62,74
74,276
181,92
114,83
48,139
290,45
66,77
25,164
47,285
130,78
79,140
31,195
124,60
98,55
47,145
188,109
189,144
58,119
39,84
19,44
55,64
154,24
61,33
69,40
14,34
28,61
19,235
275,32
43,98
48,76
133,54
121,86
87,156
74,45
63,66
35,22
175,171
172,177
82,12
34,73
233,23
261,80
118,28
154,220
153,63
191,30
257,28
226,221
86,46
115,26
222,54
36,87
264,118
21,41
54,36
82,77
379,111
74,95
101,21
86,90
NaN,97
NaN,37
NaN,57
NaN,33
NaN,191
NaN,36
NaN,56
NaN,223
NaN,39
NaN,85
NaN,77
NaN,109
NaN,100
NaN,43
NaN,214
NaN,76
NaN,28
NaN,29
NaN,149
NaN,63
NaN,112
NaN,55
NaN,96
NaN,123
NaN,118
NaN,142
NaN,184
NaN,72
NaN,119
NaN,123
NaN,143
NaN,125
NaN,125
NaN,85
NaN,137
NaN,161
NaN,158
NaN,86
NaN,152
NaN,187
NaN,39
NaN,233
NaN,168
NaN,148
NaN,96
