APP,WT
17,12
17,42
18,59
34,122
131,41
59,92
89,251
45,39
55,47
226,103
31,143
9,143
23,113
80,82
41,163
58,154
79,39
131,35
75,218
67,28
69,68
54,158
97,13
62,158
41,84
132,127
95,121
26,115
111,88
23,37
40,64
54,31
94,19
96,90
62,220
191,49
108,173
57,145
20,142
44,135
31,126
47,99
82,35
87,217
132,106
188,192
16,21
216,116
63,163
37,90
157,82
173,69
113,214
69,169
91,67
50,179
34,103
37,145
140,60
61,238
58,110
136,101
43,147
123,23
30,41
135,157
49,82
50,112
28,83
82,179
60,61
180,46
24,60
152,43
41,172
27,55
83,24
122,57
155,60
179,70
41,49
23,184
125,92
52,194
140,64
119,153
52,93
65,96
70,73
26,85
45,141
39,49
47,237
64,106
16,206
84,46
175,48
52,101
32,92
60,171
136,86
57,28
40,184
52,77
40,167
64,76
58,74
67,76
234,140
66,80
102,30
29,65
138,50
20,117
91,96
123,39
54,132
66,180
89,104
102,87
52,85
40,40
141,186
46,132
NaN,54
NaN,180
NaN,105
NaN,85
NaN,71
NaN,105
NaN,150
NaN,46
NaN,105
NaN,178
NaN,41
NaN,93
NaN,34
NaN,67
NaN,53
NaN,44
NaN,116
NaN,43
NaN,72
NaN,102
NaN,101
NaN,157
NaN,61
NaN,68
NaN,23
NaN,162
NaN,102
NaN,41
NaN,38
NaN,49
NaN,124
NaN,47
NaN,166
NaN,62
NaN,215
NaN,65
NaN,39
NaN,96
NaN,38
