APP,WT
515,21
462,242
37,106
886,259
261,106
30,129
465,667
57,18
226,774
215,44
267,18
67,16
429,100
32,146
202,436
80,20
92,147
262,342
125,63
50,362
35,127
211,19
35,17
138,54
62,673
282,620
1276,37
68,16
27,30
21,27
17,43
20,140
45,18
36,81
65,27
39,55
60,108
32,829
199,37
34,40
21,41
227,314
92,45
32,22
44,18
25,37
25,916
20,258
128,100
1242,399
26,23
29,95
57,79
63,27
26,281
60,81
334,147
702,1749
87,22
198,24
552,21
231,17
19,52
61,26
22,26
1651,74
512,85
21,26
40,26
33,70
29,34
17,833
104,225
632,193
25,122
29,57
181,53
1488,19
249,40
31,446
74,33
19,18
24,31
19,27
66,45
69,27
1040,22
33,75
46,54
44,25
24,18
63,113
716,68
256,39
476,73
22,48
61,29
48,99
19,28
19,60
18,18
1814,23
45,55
409,36
20,61
251,39
81,55
16,24
24,58
701,40
33,1545
20,18
323,16
18,41
55,315
35,331
74,58
205,80
49,37
109,45
18,3118
44,21
18,50
16,309
322,58
24,37
26,51
90,49
65,139
140,63
18,55
23,248
111,30
17,119
165,465
97,49
738,73
407,60
34,501
41,263
45,2009
105,21
292,31
51,77
122,17
32,38
20,26
311,154
44,16
27,46
24,16
183,25
17,40
66,16
44,41
60,55
158,25
27,161
660,46
52,23
290,123
18,34
54,28
25,43
104,17
160,24
37,187
413,41
23,56
22,24
48,59
19,45
37,117
19,25
72,28
23,219
29,1170
34,24
20,44
37,127
298,148
85,66
22,17
NaN,740
NaN,137
NaN,164
NaN,405
NaN,651
NaN,163
NaN,103
NaN,18
NaN,26
NaN,144
NaN,26
NaN,632
NaN,325
NaN,53
NaN,424
NaN,28
NaN,17
NaN,16
NaN,799
NaN,578
NaN,131
NaN,17
NaN,119
NaN,362
NaN,21
NaN,29
NaN,16
NaN,59
NaN,199
NaN,121
NaN,227
NaN,23
NaN,64
NaN,23
NaN,84
NaN,841
NaN,341
NaN,23
NaN,16
NaN,18
NaN,865
NaN,1810
NaN,1026
NaN,333
NaN,16
NaN,46
NaN,16
NaN,490
NaN,132
NaN,102
NaN,1008
NaN,44
NaN,367
NaN,648
NaN,1690
NaN,28
NaN,28
NaN,18
NaN,444
NaN,32
NaN,1359
NaN,55
NaN,380
NaN,32
NaN,561
