state_code,start_s,end_s,dur_s
0,0,2700,2701
1,2701,3540,840
0,3541,3999,459
1,4000,4595,596
2,4596,4628,33
0,4629,5177,549
1,5178,5583,406
15,5584,5586,3
2,5587,5636,50
1,5637,6115,479
0,6116,6412,297
1,6413,6618,206
0,6619,6685,67
1,6686,7293,608
0,7294,10592,3299
1,10593,11105,513
2,11106,11233,128
0,11234,11444,211
1,11445,11727,283
2,11728,11840,113
0,11841,11915,75
1,11916,12198,283
2,12199,12364,166
0,12365,12502,138
1,12503,12721,219
0,12722,12761,40
1,12762,12911,150
15,12912,12923,12
1,12924,13191,268
2,13192,13251,60
0,13252,13534,283
1,13535,13663,129
15,13664,13669,6
1,13670,13792,123
15,13793,13802,10
1,13803,13867,65
0,13868,15277,1410
1,15278,15700,423
2,15701,15787,87
0,15788,15814,27
1,15815,16078,264
0,16079,16099,21
1,16100,16162,63
15,16163,16169,7
1,16170,16278,109
0,16279,16295,17
1,16296,16463,168
2,16464,16710,247
0,16711,16730,20
1,16731,16887,157
0,16888,16933,46
1,16934,17334,401
0,17335,17575,241
1,17576,17646,71
15,17647,17658,12
1,17659,17762,104
15,17763,17771,9
1,17772,17841,70
2,17842,17993,152
15,17994,18004,11
1,18005,18079,75
15,18080,18088,9
1,18089,18189,101
15,18190,18202,13
1,18203,18407,205
0,18408,18446,39
1,18447,18580,134
2,18581,18677,97
15,18678,18687,10
1,18688,18922,235
2,18923,18982,60
15,18983,18997,15
1,18998,19166,169
15,19167,19175,9
1,19176,19246,71
15,19247,19255,9
1,19256,19415,160
15,19416,19425,10
1,19426,19589,164
2,19590,19640,51
0,19641,19700,60
1,19701,19864,164
0,19865,19896,32
1,19897,20056,160
15,20057,20064,8
1,20065,20092,28
2,20093,20111,19
1,20112,20261,150
2,20262,20327,66
15,20328,20337,10
1,20338,20542,205
15,20543,20554,12
1,20555,20616,62
2,20617,20690,74
0,20691,20889,199
1,20890,20977,88
0,20978,21011,34
1,21012,21089,78
15,21090,21099,10
1,21100,21254,155
15,21255,21268,14
1,21269,21310,42
0,21311,21799,489
1,21800,21996,197
0,21997,22088,92
1,22089,22488,400
0,22489,22529,41
1,22530,22630,101
0,22631,22655,25
1,22656,22779,124
15,22780,22789,10
1,22790,22880,91
15,22881,22890,10
1,22891,22973,83
0,22974,22998,25
1,22999,23047,49
0,23048,23067,20
1,23068,23095,28
0,23096,23223,128
1,23224,23323,100
15,23324,23335,12
1,23336,23441,106
15,23442,23452,11
1,23453,23526,74
2,23527,23580,54
0,23581,24822,1242
1,24823,24893,71
0,24894,24919,26
1,24920,25026,107
0,25027,25055,29
1,25056,25106,51
0,25107,25163,57
1,25164,25272,109
15,25273,25281,9
1,25282,25292,11
15,25293,25306,14
1,25307,25392,86
2,25393,25428,36
0,25429,25491,63
1,25492,25664,173
15,25665,25674,10
1,25675,25729,55
2,25730,25890,161
1,25891,25972,82
15,25973,25981,9
1,25982,26050,69
15,26051,26058,8
1,26059,26230,172
15,26231,26240,10
1,26241,26418,178
15,26419,26433,15
1,26434,26453,20
0,26454,26513,60
1,26514,26603,90
15,26604,26614,11
1,26615,27083,469
2,27084,27227,144
0,27228,28985,1758
1,28986,29795,810
2,29796,30002,207
1,30003,30940,938
2,30941,31065,125
0,31066,31610,545
