state_code,start_s,end_s,dur_s
0,0,514,515
1,515,670,156
15,671,675,5
1,676,714,39
0,715,1176,462
1,1177,1236,60
15,1237,1241,5
1,1242,1305,64
15,1306,1313,8
1,1314,1365,52
0,1366,1402,37
1,1403,1443,41
2,1444,1479,36
0,1480,2365,886
1,2366,2406,41
15,2407,2417,11
1,2418,2451,34
0,2452,2712,261
1,2713,2759,47
15,2760,2763,4
1,2764,2877,114
15,2878,2885,8
1,2886,3044,159
15,3045,3051,7
1,3052,3091,40
15,3092,3097,6
1,3098,3186,89
0,3187,3216,30
1,3217,3254,38
15,3255,3257,3
1,3258,3399,142
15,3400,3404,5
1,3405,3455,51
15,3456,3466,11
1,3467,3534,68
0,3535,3999,465
1,4000,4075,76
15,4076,4080,5
1,4081,4107,27
15,4108,4113,6
1,4114,4187,74
0,4188,4244,57
1,4245,4281,37
15,4282,4294,13
1,4295,4394,100
15,4395,4399,5
1,4400,4426,27
15,4427,4435,9
1,4436,4464,29
15,4465,4472,8
1,4473,4524,52
15,4525,4534,10
1,4535,4592,58
2,4593,4628,36
0,4629,4854,226
1,4855,4887,33
15,4888,4892,5
1,4893,4925,33
15,4926,4932,7
1,4933,4962,30
0,4963,5177,215
1,5178,5211,34
15,5212,5216,5
1,5217,5253,37
15,5254,5258,5
1,5259,5347,89
15,5348,5354,7
1,5355,5396,42
15,5397,5403,7
1,5404,5492,89
15,5493,5498,6
1,5499,5514,16
15,5515,5519,5
1,5520,5535,16
15,5536,5541,6
1,5542,5586,45
2,5587,5651,65
15,5652,5666,15
1,5667,5696,30
15,5697,5701,5
1,5702,5736,35
15,5737,5740,4
1,5741,5789,49
15,5790,5795,6
1,5796,5831,36
15,5832,5834,3
1,5835,5881,47
15,5882,5884,3
1,5885,5948,64
2,5949,5983,35
15,5984,5997,14
1,5998,6057,60
15,6058,6059,2
1,6060,6079,20
15,6080,6081,2
1,6082,6115,34
0,6116,6382,267
1,6383,6410,28
15,6411,6414,4
1,6415,6447,33
15,6448,6451,4
1,6452,6517,66
15,6518,6521,4
1,6522,6547,26
15,6548,6551,4
1,6552,6618,67
0,6619,6685,67
1,6686,6786,101
2,6787,6808,22
15,6809,6821,13
1,6822,6851,30
15,6852,6856,5
1,6857,6901,45
15,6902,6905,4
1,6906,6913,8
15,6914,6918,5
1,6919,6955,37
15,6956,6959,4
1,6960,6976,17
15,6977,6982,6
1,6983,7071,89
15,7072,7075,4
1,7076,7145,70
15,7146,7151,6
1,7152,7184,33
15,7185,7191,7
1,7192,7263,72
15,7264,7269,6
1,7270,7293,24
0,7294,7722,429
1,7723,7797,75
15,7798,7803,6
1,7804,7848,45
15,7849,7851,3
1,7852,7870,19
0,7871,7902,32
1,7903,7974,72
15,7975,7979,5
1,7980,8014,35
15,8015,8027,13
1,8028,8041,14
15,8042,8047,6
1,8048,8108,61
15,8109,8116,8
1,8117,8145,29
15,8146,8149,4
1,8150,8168,19
15,8169,8174,6
1,8175,8190,16
15,8191,8198,8
1,8199,8209,11
15,8210,8220,11
1,8221,8273,53
15,8274,8278,5
1,8279,8306,28
15,8307,8310,4
1,8311,8355,45
15,8356,8359,4
1,8360,8369,10
15,8370,8373,4
1,8374,8405,32
0,8406,8607,202
1,8608,8639,32
15,8640,8643,4
1,8644,8733,90
15,8734,8739,6
1,8740,8758,19
15,8759,8766,8
1,8767,8794,28
15,8795,8800,6
1,8801,8861,61
15,8862,8865,4
1,8866,8878,13
15,8879,8882,4
1,8883,8905,23
0,8906,8985,80
1,8986,9019,34
15,9020,9029,10
1,9030,9070,41
15,9071,9076,6
1,9077,9136,60
2,9137,9191,55
0,9192,9283,92
1,9284,9324,41
15,9325,9328,4
1,9329,9359,31
15,9360,9366,7
1,9367,9386,20
15,9387,9392,6
1,9393,9403,11
15,9404,9409,6
1,9410,9547,138
15,9548,9551,4
1,9552,9628,77
15,9629,9638,10
1,9639,9661,23
15,9662,9668,7
1,9669,9701,33
15,9702,9712,11
1,9713,9732,20
15,9733,9737,5
1,9738,9768,31
15,9769,9771,3
1,9772,9818,47
15,9819,9821,3
1,9822,9875,54
15,9876,9879,4
1,9880,9902,23
15,9903,9907,5
1,9908,9953,46
2,9954,10017,64
0,10018,10279,262
1,10280,10322,43
15,10323,10329,7
1,10330,10342,13
15,10343,10345,3
1,10346,10373,28
15,10374,10377,4
1,10378,10394,17
15,10395,10397,3
1,10398,10433,36
15,10434,10438,5
1,10439,10443,5
15,10444,10449,6
1,10450,10454,5
0,10455,10579,125
1,10580,10664,85
15,10665,10672,8
1,10673,10707,35
15,10708,10710,3
1,10711,10773,63
2,10774,10839,66
0,10840,10889,50
1,10890,10933,44
0,10934,10968,35
1,10969,11001,33
15,11002,11004,3
1,11005,11044,40
15,11045,11047,3
1,11048,11064,17
2,11065,11233,169
0,11234,11444,211
1,11445,11469,25
15,11470,11474,5
1,11475,11492,18
15,11493,11495,3
1,11496,11515,20
15,11516,11517,2
1,11518,11579,62
15,11580,11584,5
1,11585,11601,17
15,11602,11604,3
1,11605,11655,51
15,11656,11658,3
1,11659,11727,69
2,11728,11840,113
0,11841,11875,35
1,11876,11910,35
15,11911,11913,3
1,11914,11984,71
15,11985,11986,2
1,11987,12015,29
15,12016,12019,4
1,12020,12057,38
15,12058,12061,4
1,12062,12095,34
15,12096,12098,3
1,12099,12118,20
15,12119,12120,2
1,12121,12176,56
2,12177,12364,188
0,12365,12502,138
1,12503,12536,34
15,12537,12539,3
