state_code,start_s,end_s,dur_s
0,0,485,486
1,486,498,13
15,499,502,4
1,503,544,42
15,545,548,4
1,549,593,45
15,594,596,3
1,597,700,104
15,701,710,10
1,711,725,15
2,726,762,37
15,763,768,6
1,769,801,33
15,802,805,4
1,806,868,63
15,869,877,9
1,878,893,16
2,894,957,64
15,958,963,6
1,964,983,20
15,984,988,5
1,989,1128,140
15,1129,1133,5
1,1134,1176,43
15,1177,1181,5
1,1182,1226,45
15,1227,1231,5
1,1232,1292,61
15,1293,1296,4
1,1297,1393,97
15,1394,1399,6
1,1400,1457,58
15,1458,1469,12
1,1470,1525,56
15,1526,1538,13
1,1539,1549,11
15,1550,1556,7
1,1557,1594,38
15,1595,1598,4
1,1599,1723,125
15,1724,1726,3
1,1727,1771,45
15,1772,1774,3
1,1775,1801,27
15,1802,1804,3
1,1805,1823,19
0,1824,1996,173
1,1997,2027,31
15,2028,2041,14
1,2042,2099,58
15,2100,2105,6
1,2106,2125,20
2,2126,2156,31
0,2157,2363,207
1,2364,2402,39
15,2403,2407,5
1,2408,2460,53
15,2461,2464,4
1,2465,2491,27
0,2492,2557,66
1,2558,2633,76
15,2634,2638,5
1,2639,2682,44
2,2683,2701,19
15,2702,2710,9
1,2711,2796,86
15,2797,2799,3
1,2800,2819,20
15,2820,2832,13
1,2833,2912,80
0,2913,2928,16
1,2929,2960,32
0,2961,3018,58
1,3019,3174,156
0,3175,3194,20
1,3195,3329,135
15,3330,3341,12
1,3342,3480,139
15,3481,3494,14
1,3495,3560,66
0,3561,3593,33
1,3594,3733,140
0,3734,3766,33
1,3767,3805,39
15,3806,3819,14
1,3820,3984,165
0,3985,4006,22
1,4007,4079,73
0,4080,4095,16
1,4096,4213,118
15,4214,4224,11
1,4225,4275,51
0,4276,4313,38
1,4314,4377,64
0,4378,4395,18
1,4396,4533,138
0,4534,4552,19
1,4553,4616,64
2,4617,4706,90
0,4707,4737,31
1,4738,4797,60
0,4798,4846,49
1,4847,4884,38
15,4885,4891,7
1,4892,4925,34
15,4926,4933,8
1,4934,4994,61
0,4995,5016,22
1,5017,5068,52
0,5069,5099,31
1,5100,5162,63
0,5163,5227,65
1,5228,5344,117
15,5345,5354,10
1,5355,5454,100
0,5455,5527,73
1,5528,5603,76
15,5604,5618,15
1,5619,5654,36
15,5655,5662,8
1,5663,5743,81
15,5744,5744,1
2,5745,5964,220
0,5965,7031,1067
1,7032,7118,87
15,7119,7126,8
1,7127,7251,125
15,7252,7259,8
1,7260,7390,131
0,7391,7406,16
1,7407,7574,168
0,7575,7653,79
1,7654,7751,98
15,7752,7758,7
1,7759,7835,77
15,7836,7847,12
1,7848,7898,51
15,7899,7907,9
1,7908,7930,23
15,7931,7937,7
1,7938,7972,35
15,7973,7984,12
1,7985,8005,21
2,8006,8054,49
0,8055,8102,48
1,8103,8142,40
0,8143,8163,21
1,8164,8284,121
15,8285,8299,15
1,8300,8449,150
0,8450,8466,17
1,8467,8589,123
0,8590,8626,37
1,8627,8673,47
0,8674,8696,23
1,8697,8752,56
0,8753,8788,36
1,8789,8884,96
2,8885,9057,173
0,9058,9528,471
1,9529,9631,103
0,9632,9653,22
1,9654,9734,81
0,9735,9756,22
1,9757,9978,222
15,9979,9991,13
1,9992,10057,66
0,10058,10203,146
1,10204,10357,154
15,10358,10370,13
1,10371,10509,139
0,10510,10542,33
1,10543,10673,131
0,10674,10699,26
1,10700,10739,40
0,10740,11725,986
1,11726,11993,268
15,11994,12008,15
1,12009,12178,170
0,12179,12194,16
1,12195,12420,226
0,12421,12438,18
1,12439,12549,111
0,12550,13683,1134
1,13684,13755,72
15,13756,13768,13
1,13769,13923,155
0,13924,13956,33
1,13957,14106,150
0,14107,14137,31
1,14138,14485,348
0,14486,14501,16
1,14502,14560,59
15,14561,14570,10
1,14571,14759,189
2,14760,14904,145
15,14905,14914,10
1,14915,15023,109
0,15024,15046,23
1,15047,15097,51
0,15098,15125,28
1,15126,15222,97
15,15223,15230,8
1,15231,15387,157
0,15388,15425,38
1,15426,15532,107
0,15533,15586,54
1,15587,15647,61
2,15648,15789,142
0,15790,16276,487
1,16277,16325,49
0,16326,16364,39
1,16365,16383,19
15,16384,16387,4
1,16388,16471,84
2,16472,16606,135
0,16607,16872,266
1,16873,16983,111
0,16984,17719,736
1,17720,17757,38
15,17758,17767,10
1,17768,17810,43
15,17811,17818,8
1,17819,17890,72
15,17891,17898,8
1,17899,17954,56
15,17955,17967,13
1,17968,17974,7
15,17975,17978,4
1,17979,18026,48
15,18027,18034,8
1,18035,18045,11
15,18046,18048,3
1,18049,18073,25
15,18074,18082,9
1,18083,18188,106
15,18189,18193,5
1,18194,18243,50
15,18244,18246,3
1,18247,18305,59
0,18306,18332,27
1,18333,18366,34
15,18367,18371,5
1,18372,18426,55
15,18427,18430,4
1,18431,18495,65
15,18496,18500,5
1,18501,18556,56
15,18557,18560,4
1,18561,18575,15
15,18576,18583,8
1,18584,18637,54
15,18638,18644,7
1,18645,18654,10
15,18655,18658,4
1,18659,18691,33
15,18692,18700,9
1,18701,18722,22
15,18723,18726,4
1,18727,18751,25
2,18752,18877,126
0,18878,18899,22
1,18900,18931,32
15,18932,18936,5
1,18937,18959,23
15,18960,18964,5
1,18965,18976,12
15,18977,18980,4
1,18981,19013,33
15,19014,19017,4
1,19018,19026,9
15,19027,19038,12
1,19039,19055,17
15,19056,19062,7
1,19063,19139,77
15,19140,19142,3
1,19143,19196,54
0,19197,19230,34
1,19231,19288,58
15,19289,19292,4
1,19293,19358,66
15,19359,19363,5
1,19364,19441,78
15,19442,19447,6
1,19448,19500,53
2,19501,19599,99
0,19600,19635,36
1,19636,19657,22
15,19658,19662,5
1,19663,19738,76
15,19739,19745,7
1,19746,19771,26
15,19772,19774,3
1,19775,19827,53
15,19828,19839,12
1,19840,19891,52
2,19892,19926,35
15,19927,19937,11
1,19938,19948,11
15,19949,19951,3
1,19952,19994,43
15,19995,19997,3
1,19998,20046,49
15,20047,20048,2
1,20049,20059,11
15,20060,20065,6
1,20066,20085,20
15,20086,20089,4
1,20090,20175,86
2,20176,20392,217
0,20393,20460,68
1,20461,20484,24
15,20485,20489,5
1,20490,20509,20
15,20510,20515,6
1,20516,20562,47
0,20563,20582,20
1,20583,20599,17
15,20600,20604,5
1,20605,20667,63
0,20668,20683,16
1,20684,20772,89
15,20773,20779,7
1,20780,20793,14
15,20794,20801,8
1,20802,20839,38
15,20840,20846,7
1,20847,20884,38
15,20885,20890,6
1,20891,20948,58
2,20949,21054,106
0,21055,21079,25
1,21080,21095,16
15,21096,21100,5
1,21101,21148,48
15,21149,21151,3
1,21152,21164,13
15,21165,21170,6
1,21171,21180,10
15,21181,21193,13
1,21194,21219,26
15,21220,21222,3
1,21223,21260,38
15,21261,21270,10
1,21271,21305,35
15,21306,21310,5
1,21311,21320,10
15,21321,21327,7
1,21328,21368,41
2,21369,21560,192
0,21561,21612,52
1,21613,21637,25
0,21638,21668,31
1,21669,21679,11
15,21680,21682,3
1,21683,21728,46
