state_code,start_s,end_s,dur_s
0,0,1539,1540
1,1540,2149,610
0,2150,2186,37
1,2187,2618,432
0,2619,2855,237
1,2856,4308,1453
0,4309,4709,401
1,4710,4771,62
15,4772,4776,5
1,4777,4857,81
15,4858,4861,4
1,4862,4894,33
15,4895,4902,8
1,4903,5071,169
0,5072,5129,58
1,5130,5267,138
2,5268,5315,48
15,5316,5323,8
1,5324,5334,11
15,5335,5338,4
1,5339,5430,92
15,5431,5445,15
1,5446,5534,89
15,5535,5546,12
1,5547,5590,44
15,5591,5595,5
1,5596,5663,68
15,5664,5667,4
1,5668,5689,22
15,5690,5693,4
1,5694,5841,148
2,5842,5863,22
0,5864,5937,74
1,5938,5965,28
15,5966,5969,4
1,5970,6097,128
15,6098,6101,4
1,6102,6236,135
2,6237,6286,50
0,6287,6822,536
1,6823,7336,514
0,7337,7831,495
1,7832,7968,137
0,7969,7998,30
1,7999,8126,128
0,8127,8142,16
1,8143,8200,58
0,8201,8241,41
1,8242,8430,189
0,8431,8448,18
1,8449,8605,157
15,8606,8619,14
1,8620,8786,167
2,8787,8815,29
0,8816,8833,18
1,8834,9131,298
0,9132,9163,32
1,9164,9210,47
0,9211,9230,20
1,9231,9425,195
2,9426,9553,128
0,9554,9603,50
1,9604,9665,62
15,9666,9680,15
1,9681,10115,435
0,10116,10134,19
1,10135,10264,130
0,10265,10280,16
1,10281,10362,82
0,10363,10379,17
1,10380,10555,176
15,10556,10569,14
1,10570,10922,353
15,10923,10935,13
1,10936,11027,92
15,11028,11039,12
1,11040,11185,146
0,11186,11208,23
1,11209,11269,61
0,11270,13057,1788
1,13058,13133,76
15,13134,13146,13
1,13147,13178,32
15,13179,13191,13
1,13192,13265,74
15,13266,13279,14
1,13280,13312,33
15,13313,13323,11
1,13324,13373,50
15,13374,13386,13
1,13387,13435,49
0,13436,13460,25
1,13461,13520,60
15,13521,13529,9
1,13530,13551,22
15,13552,13564,13
1,13565,13669,105
2,13670,13701,32
0,13702,13725,24
1,13726,13831,106
15,13832,13843,12
1,13844,14026,183
0,14027,14055,29
1,14056,14115,60
15,14116,14127,12
1,14128,14175,48
0,14176,14267,92
1,14268,14376,109
0,14377,14395,19
1,14396,14482,87
0,14483,14503,21
1,14504,14559,56
0,14560,14579,20
1,14580,14772,193
0,14773,14797,25
1,14798,14968,171
2,14969,15041,73
0,15042,15095,54
1,15096,15339,244
0,15340,15363,24
1,15364,15541,178
2,15542,15603,62
0,15604,15628,25
1,15629,16212,584
0,16213,16246,34
1,16247,16455,209
0,16456,16486,31
1,16487,16880,394
0,16881,16923,43
1,16924,16969,46
15,16970,16980,11
1,16981,17157,177
0,17158,17186,29
1,17187,17363,177
2,17364,17506,143
0,17507,17647,141
1,17648,17763,116
15,17764,17773,10
1,17774,17867,94
15,17868,17881,14
1,17882,18121,240
15,18122,18131,10
1,18132,18230,99
15,18231,18242,12
1,18243,18380,138
2,18381,18445,65
0,18446,18514,69
1,18515,18537,23
15,18538,18547,10
1,18548,18583,36
0,18584,18603,20
1,18604,18735,132
2,18736,18792,57
0,18793,19765,973
1,19766,19854,89
15,19855,19864,10
1,19865,20049,185
2,20050,20080,31
0,20081,20099,19
1,20100,20327,228
15,20328,20339,12
1,20340,20399,60
15,20400,20409,10
1,20410,20491,82
0,20492,20509,18
1,20510,20694,185
2,20695,20806,112
15,20807,20821,15
1,20822,21209,388
15,21210,21219,10
1,21220,21317,98
2,21318,21366,49
0,21367,21388,22
1,21389,21506,118
0,21507,21524,18
1,21525,21613,89
15,21614,21627,14
1,21628,21702,75
15,21703,21712,10
1,21713,21896,184
2,21897,22052,156
0,22053,22567,515
1,22568,22722,155
15,22723,22737,15
1,22738,22828,91
15,22829,22841,13
1,22842,22973,132
0,22974,22993,20
1,22994,23082,89
15,23083,23093,11
1,23094,23196,103
2,23197,23271,75
15,23272,23282,11
1,23283,23472,190
15,23473,23483,11
1,23484,23622,139
0,23623,23873,251
1,23874,24501,628
2,24502,24595,94
0,24596,24612,17
1,24613,24708,96
0,24709,24749,41
1,24750,25162,413
0,25163,25180,18
1,25181,25312,132
0,25313,26600,1288
1,26601,26736,136
0,26737,26763,27
1,26764,26791,28
15,26792,26805,14
1,26806,26866,61
0,26867,26883,17
1,26884,27048,165
0,27049,27068,20
1,27069,27188,120
15,27189,27200,12
1,27201,27256,56
15,27257,27269,13
1,27270,27319,50
0,27320,27355,36
1,27356,27493,138
2,27494,27574,81
0,27575,27591,17
1,27592,27976,385
2,27977,28055,79
0,28056,28092,37
1,28093,28339,247
2,28340,28476,137
0,28477,28539,63
1,28540,28713,174
0,28714,28736,23
1,28737,28945,209
0,28946,28989,44
1,28990,29118,129
0,29119,30497,1379
1,30498,30609,112
0,30610,31958,1349
