state_code,start_s,end_s,dur_s
1,0,6,7
15,7,9,3
1,10,47,38
15,48,51,4
1,52,89,38
15,90,92,3
1,93,214,122
15,215,216,2
1,217,235,19
0,236,251,16
1,252,333,82
15,334,335,2
1,336,377,42
2,378,565,188
15,566,569,4
1,570,613,44
15,614,624,11
1,625,651,27
15,652,658,7
1,659,686,28
15,687,692,6
1,693,777,85
15,778,778,1
1,779,785,7
15,786,786,1
1,787,808,22
15,809,813,5
1,814,915,102
0,916,938,23
1,939,954,16
15,955,957,3
1,958,1014,57
15,1015,1016,2
1,1017,1043,27
15,1044,1045,2
1,1046,1060,15
15,1061,1064,4
1,1065,1084,20
2,1085,1100,16
15,1101,1107,7
1,1108,1157,50
15,1158,1160,3
1,1161,1198,38
15,1199,1207,9
1,1208,1248,41
15,1249,1249,1
1,1250,1251,2
15,1252,1253,2
1,1254,1290,37
15,1291,1295,5
1,1296,1316,21
15,1317,1319,3
1,1320,1342,23
15,1343,1344,2
1,1345,1368,24
15,1369,1372,4
1,1373,1421,49
15,1422,1422,1
1,1423,1425,3
2,1426,1641,216
0,1642,3059,1418
1,3060,3065,6
15,3066,3067,2
1,3068,3088,21
15,3089,3089,1
1,3090,3104,15
15,3105,3106,2
1,3107,3131,25
0,3132,3323,192
1,3324,3331,8
15,3332,3332,1
1,3333,3342,10
15,3343,3343,1
1,3344,3357,14
0,3358,3733,376
1,3734,3757,24
15,3758,3759,2
1,3760,3766,7
15,3767,3768,2
1,3769,3786,18
15,3787,3794,8
1,3795,3840,46
15,3841,3849,9
1,3850,3865,16
0,3866,3886,21
1,3887,3902,16
15,3903,3903,1
1,3904,3920,17
15,3921,3922,2
1,3923,3947,25
15,3948,3962,15
1,3963,3988,26
15,3989,3990,2
1,3991,4013,23
15,4014,4015,2
1,4016,4045,30
15,4046,4048,3
1,4049,4054,6
15,4055,4055,1
1,4056,4141,86
2,4142,4204,63
15,4205,4218,14
1,4219,4242,24
15,4243,4247,5
1,4248,4273,26
15,4274,4279,6
1,4280,4313,34
15,4314,4315,2
1,4316,4378,63
15,4379,4385,7
1,4386,4402,17
15,4403,4404,2
1,4405,4438,34
15,4439,4440,2
1,4441,4467,27
15,4468,4469,2
1,4470,4506,37
2,4507,4543,37
0,4544,4566,23
1,4567,4574,8
15,4575,4576,2
1,4577,4589,13
15,4590,4591,2
1,4592,4597,6
15,4598,4598,1
1,4599,4606,8
15,4607,4607,1
1,4608,4639,32
15,4640,4645,6
1,4646,4678,33
15,4679,4680,2
1,4681,4695,15
0,4696,4712,17
1,4713,4728,16
15,4729,4731,3
1,4732,4756,25
15,4757,4757,1
1,4758,4783,26
15,4784,4788,5
1,4789,4824,36
15,4825,4825,1
1,4826,4834,9
15,4835,4835,1
1,4836,4853,18
15,4854,4855,2
1,4856,4871,16
15,4872,4872,1
1,4873,4880,8
15,4881,4882,2
1,4883,4937,55
2,4938,5094,157
0,5095,5113,19
1,5114,5120,7
15,5121,5121,1
1,5122,5162,41
0,5163,5180,18
1,5181,5188,8
15,5189,5189,1
1,5190,5197,8
15,5198,5198,1
1,5199,5211,13
15,5212,5216,5
1,5217,5253,37
15,5254,5257,4
1,5258,5297,40
0,5298,5320,23
1,5321,5342,22
15,5343,5345,3
1,5346,5363,18
15,5364,5365,2
1,5366,5376,11
15,5377,5379,3
1,5380,5394,15
15,5395,5397,3
1,5398,5416,19
0,5417,5460,44
1,5461,5478,18
15,5479,5480,2
1,5481,5492,12
15,5493,5494,2
1,5495,5513,19
15,5514,5516,3
1,5517,5551,35
15,5552,5553,2
1,5554,5576,23
15,5577,5577,1
1,5578,5620,43
15,5621,5622,2
1,5623,5678,56
15,5679,5680,2
1,5681,5720,40
2,5721,5893,173
0,5894,5911,18
1,5912,5930,19
15,5931,5941,11
1,5942,5958,17
15,5959,5967,9
1,5968,5979,12
15,5980,5981,2
1,5982,5991,10
15,5992,5994,3
1,5995,6023,29
15,6024,6027,4
1,6028,6032,5
15,6033,6035,3
1,6036,6061,26
15,6062,6066,5
1,6067,6100,34
15,6101,6108,8
1,6109,6164,56
15,6165,6169,5
1,6170,6202,33
15,6203,6210,8
1,6211,6250,40
0,6251,6317,67
1,6318,6325,8
15,6326,6326,1
1,6327,6343,17
15,6344,6344,1
1,6345,6354,10
0,6355,6376,22
1,6377,6413,37
15,6414,6416,3
1,6417,6469,53
15,6470,6473,4
1,6474,6542,69
15,6543,6555,13
1,6556,6666,111
0,6667,6683,17
1,6684,6693,10
15,6694,6697,4
1,6698,6727,30
15,6728,6733,6
1,6734,6769,36
15,6770,6777,8
1,6778,6813,36
2,6814,6926,113
0,6927,6949,23
1,6950,6965,16
15,6966,6968,3
1,6969,7000,32
15,7001,7003,3
1,7004,7034,31
15,7035,7036,2
1,7037,7054,18
15,7055,7058,4
1,7059,7111,53
15,7112,7115,4
1,7116,7128,13
15,7129,7131,3
1,7132,7157,26
15,7158,7160,3
1,7161,7188,28
15,7189,7194,6
1,7195,7257,63
15,7258,7268,11
1,7269,7294,26
15,7295,7297,3
1,7298,7335,38
15,7336,7341,6
1,7342,7374,33
15,7375,7379,5
1,7380,7401,22
15,7402,7405,4
1,7406,7436,31
15,7437,7439,3
1,7440,7460,21
15,7461,7464,4
1,7465,7493,29
15,7494,7496,3
1,7497,7526,30
15,7527,7530,4
1,7531,7541,11
15,7542,7544,3
1,7545,7593,49
15,7594,7596,3
1,7597,7602,6
2,7603,7671,69
0,7672,7701,30
1,7702,7749,48
15,7750,7753,4
1,7754,7777,24
15,7778,7779,2
1,7780,7826,47
15,7827,7839,13
1,7840,7852,13
15,7853,7855,3
1,7856,7882,27
15,7883,7885,3
1,7886,7899,14
15,7900,7903,4
1,7904,7928,25
15,7929,7930,2
1,7931,7938,8
15,7939,7941,3
1,7942,7949,8
15,7950,7952,3
1,7953,7965,13
15,7966,7968,3
1,7969,7981,13
15,7982,7984,3
1,7985,8003,19
15,8004,8006,3
1,8007,8039,33
15,8040,8041,2
1,8042,8062,21
2,8063,8153,91
0,8154,8175,22
1,8176,8198,23
0,8199,8221,23
1,8222,8250,29
15,8251,8252,2
1,8253,8264,12
15,8265,8267,3
1,8268,8273,6
0,8274,8291,18
1,8292,8320,29
15,8321,8325,5
1,8326,8329,4
15,8330,8330,1
1,8331,8360,30
15,8361,8365,5
1,8366,8391,26
15,8392,8404,13
1,8405,8493,89
2,8494,8543,50
0,8544,8572,29
1,8573,8633,61
15,8634,8637,4
1,8638,8647,10
15,8648,8649,2
1,8650,8668,19
15,8669,8670,2
1,8671,8681,11
15,8682,8686,5
1,8687,8738,52
2,8739,8772,34
0,8773,9294,522
1,9295,9308,14
15,9309,9321,13
1,9322,9335,14
0,9336,10116,781
1,10117,10149,33
15,10150,10154,5
1,10155,10166,12
15,10167,10169,3
1,10170,10208,39
15,10209,10210,2
1,10211,10240,30
15,10241,10248,8
1,10249,10268,20
15,10269,10276,8
1,10277,10287,11
15,10288,10288,1
1,10289,10322,34
15,10323,10325,3
1,10326,10400,75
15,10401,10402,2
1,10403,10429,27
0,10430,10482,53
1,10483,10508,26
15,10509,10509,1
1,10510,10514,5
0,10515,10535,21
1,10536,10549,14
15,10550,10551,2
1,10552,10572,21
0,10573,10622,50
1,10623,10650,28
15,10651,10654,4
1,10655,10676,22
15,10677,10679,3
1,10680,10700,21
15,10701,10714,14
1,10715,10757,43
15,10758,10760,3
1,10761,10776,16
0,10777,10795,19
1,10796,10819,24
15,10820,10822,3
1,10823,10846,24
15,10847,10849,3
1,10850,10902,53
15,10903,10906,4
1,10907,10932,26
15,10933,10935,3
1,10936,10947,12
15,10948,10949,2
1,10950,10960,11
15,10961,10963,3
1,10964,10970,7
15,10971,10972,2
1,10973,10985,13
15,10986,10988,3
1,10989,11008,20
15,11009,11012,4
1,11013,11017,5
15,11018,11019,2
1,11020,11034,15
2,11035,11071,37
15,11072,11079,8
1,11080,11084,5
15,11085,11086,2
1,11087,11102,16
15,11103,11104,2
1,11105,11110,6
15,11111,11111,1
1,11112,11121,10
0,11122,11187,66
1,11188,11203,16
15,11204,11206,3
1,11207,11239,33
15,11240,11243,4
1,11244,11295,52
15,11296,11300,5
1,11301,11317,17
15,11318,11319,2
1,11320,11334,15
15,11335,11342,8
1,11343,11361,19
