state_code,start_s,end_s,dur_s
0,0,136,137
1,137,234,98
0,235,398,164
1,399,440,42
15,441,447,7
1,448,483,36
15,484,487,4
1,488,599,112
15,600,606,7
1,607,653,47
15,654,660,7
1,661,733,73
2,734,828,95
0,829,1233,405
1,1234,1289,56
15,1290,1295,6
1,1296,1426,131
15,1427,1432,6
1,1433,1501,69
0,1502,2152,651
1,2153,2209,57
15,2210,2214,5
1,2215,2597,383
0,2598,2760,163
1,2761,2885,125
0,2886,2988,103
1,2989,3038,50
15,3039,3040,2
1,3041,3220,180
15,3221,3223,3
1,3224,3231,8
2,3232,3252,21
0,3253,3270,18
1,3271,3286,16
15,3287,3290,4
1,3291,3351,61
15,3352,3353,2
1,3354,3419,66
2,3420,3509,90
1,3510,3539,30
15,3540,3550,11
1,3551,3572,22
15,3573,3576,4
1,3577,3669,93
15,3670,3673,4
1,3674,3724,51
15,3725,3726,2
1,3727,3778,52
15,3779,3788,10
1,3789,3883,95
15,3884,3887,4
1,3888,3933,46
0,3934,3959,26
1,3960,3984,25
15,3985,3988,4
1,3989,4000,12
15,4001,4002,2
1,4003,4063,61
0,4064,4207,144
1,4208,4231,24
15,4232,4234,3
1,4235,4272,38
15,4273,4275,3
1,4276,4329,54
15,4330,4331,2
1,4332,4352,21
15,4353,4355,3
1,4356,4405,50
2,4406,4502,97
0,4503,4528,26
1,4529,4556,28
15,4557,4562,6
1,4563,4571,9
15,4572,4573,2
1,4574,4610,37
15,4611,4625,15
1,4626,4633,8
15,4634,4636,3
1,4637,4642,6
15,4643,4644,2
1,4645,4648,4
15,4649,4650,2
1,4651,4693,43
15,4694,4696,3
1,4697,4726,30
15,4727,4729,3
1,4730,4738,9
15,4739,4740,2
1,4741,4776,36
0,4777,5408,632
1,5409,5471,63
15,5472,5474,3
1,5475,5501,27
15,5502,5504,3
1,5505,5539,35
15,5540,5541,2
1,5542,5585,44
15,5586,5588,3
1,5589,5597,9
15,5598,5599,2
1,5600,5631,32
15,5632,5633,2
1,5634,5645,12
15,5646,5647,2
1,5648,5691,44
15,5692,5693,2
1,5694,5736,43
15,5737,5738,2
1,5739,5748,10
15,5749,5750,2
1,5751,5763,13
2,5764,5800,37
0,5801,6125,325
1,6126,6187,62
15,6188,6191,4
1,6192,6232,41
15,6233,6235,3
1,6236,6303,68
15,6304,6309,6
1,6310,6394,85
0,6395,6447,53
1,6448,6474,27
15,6475,6476,2
1,6477,6503,27
15,6504,6507,4
1,6508,6652,145
0,6653,7076,424
