state_code,start_s,end_s,dur_s
0,0,1155,1156
1,1156,1300,145
0,1301,1899,599
1,1900,2256,357
0,2257,4894,2638
1,4895,4948,54
15,4949,4951,3
1,4952,5007,56
15,5008,5011,4
1,5012,5125,114
0,5126,5162,37
1,5163,5248,86
15,5249,5259,11
1,5260,5605,346
2,5606,5639,34
0,5640,5696,57
1,5697,5814,118
15,5815,5817,3
1,5818,5989,172
0,5990,6110,121
1,6111,6246,136
15,6247,6249,3
1,6250,6298,49
15,6299,6305,7
1,6306,6486,181
15,6487,6496,10
1,6497,6518,22
15,6519,6523,5
1,6524,6648,125
0,6649,6738,90
1,6739,6797,59
0,6798,6821,24
1,6822,7006,185
0,7007,7320,314
1,7321,7487,167
15,7488,7490,3
1,7491,7545,55
2,7546,7593,48
0,7594,7656,63
1,7657,7736,80
15,7737,7747,11
1,7748,7757,10
15,7758,7761,4
1,7762,7913,152
0,7914,7951,38
1,7952,8061,110
15,8062,8072,11
1,8073,8202,130
15,8203,8205,3
1,8206,8216,11
2,8217,8272,56
0,8273,8378,106
1,8379,8540,162
15,8541,8545,5
1,8546,8593,48
15,8594,8596,3
1,8597,8711,115
2,8712,8804,93
0,8805,8826,22
1,8827,9034,208
15,9035,9037,3
1,9038,9083,46
15,9084,9086,3
1,9087,9283,197
2,9284,9339,56
1,9340,9458,119
2,9459,9683,225
15,9684,9690,7
1,9691,9859,169
15,9860,9870,11
1,9871,9957,87
15,9958,9960,3
1,9961,10357,397
2,10358,10443,86
0,10444,10463,20
1,10464,10546,83
15,10547,10549,3
1,10550,10577,28
15,10578,10580,3
1,10581,10589,9
15,10590,10592,3
1,10593,10605,13
15,10606,10609,4
1,10610,10654,45
15,10655,10658,4
1,10659,10859,201
2,10860,10914,55
0,10915,13779,2865
1,13780,14097,318
0,14098,14371,274
1,14372,14416,45
15,14417,14422,6
1,14423,14499,77
15,14500,14504,5
1,14505,14610,106
15,14611,14614,4
1,14615,14677,63
2,14678,14724,47
1,14725,14911,187
15,14912,14923,12
1,14924,15163,240
2,15164,15197,34
15,15198,15203,6
1,15204,15397,194
15,15398,15401,4
1,15402,15482,81
2,15483,15630,148
0,15631,17268,1638
1,17269,17415,147
15,17416,17423,8
1,17424,17497,74
15,17498,17501,4
1,17502,17540,39
15,17541,17545,5
1,17546,17580,35
2,17581,17680,100
15,17681,17690,10
1,17691,17838,148
15,17839,17843,5
1,17844,18029,186
2,18030,18046,17
15,18047,18052,6
1,18053,18262,210
0,18263,18288,26
1,18289,18380,92
15,18381,18387,7
1,18388,18483,96
2,18484,18518,35
15,18519,18523,5
1,18524,18581,58
15,18582,18587,6
1,18588,18665,78
15,18666,18671,6
1,18672,18718,47
15,18719,18731,13
1,18732,18807,76
2,18808,18896,89
0,18897,19001,105
1,19002,19046,45
15,19047,19050,4
1,19051,19130,80
15,19131,19134,4
1,19135,19241,107
15,19242,19245,4
1,19246,19265,20
15,19266,19269,4
1,19270,19342,73
15,19343,19346,4
1,19347,19358,12
15,19359,19363,5
1,19364,19424,61
15,19425,19428,4
1,19429,19482,54
15,19483,19491,9
1,19492,19504,13
15,19505,19508,4
1,19509,19536,28
15,19537,19539,3
1,19540,19573,34
0,19574,19640,67
1,19641,19796,156
15,19797,19800,4
1,19801,19838,38
15,19839,19843,5
1,19844,19878,35
2,19879,19998,120
15,19999,20009,11
1,20010,20066,57
15,20067,20070,4
1,20071,20185,115
15,20186,20190,5
1,20191,20267,77
15,20268,20271,4
1,20272,20355,84
15,20356,20359,4
1,20360,20394,35
15,20395,20400,6
1,20401,20427,27
15,20428,20438,11
1,20439,20514,76
15,20515,20523,9
1,20524,20653,130
2,20654,20701,48
0,20702,21194,493
1,21195,21294,100
0,21295,21313,19
1,21314,21362,49
15,21363,21365,3
1,21366,21447,82
2,21448,21483,36
15,21484,21490,7
1,21491,21548,58
15,21549,21558,10
1,21559,21679,121
15,21680,21686,7
1,21687,21782,96
2,21783,21823,41
0,21824,21934,111
1,21935,22017,83
15,22018,22026,9
1,22027,22067,41
0,22068,22103,36
1,22104,22127,24
15,22128,22130,3
1,22131,22137,7
15,22138,22151,14
1,22152,22211,60
15,22212,22214,3
1,22215,22228,14
15,22229,22230,2
1,22231,22249,19
15,22250,22253,4
1,22254,22298,45
0,22299,22318,20
1,22319,22331,13
15,22332,22333,2
1,22334,22376,43
15,22377,22382,6
1,22383,22404,22
15,22405,22408,4
1,22409,22452,44
15,22453,22454,2
1,22455,22481,27
2,22482,22710,229
15,22711,22719,9
1,22720,22739,20
15,22740,22743,4
1,22744,22748,5
15,22749,22755,7
1,22756,22765,10
15,22766,22769,4
1,22770,22942,173
15,22943,22945,3
1,22946,22994,49
15,22995,22997,3
1,22998,23032,35
15,23033,23038,6
1,23039,23084,46
15,23085,23087,3
1,23088,23243,156
2,23244,23259,16
15,23260,23265,6
1,23266,23378,113
15,23379,23383,5
1,23384,23386,3
15,23387,23390,4
1,23391,23534,144
2,23535,23573,39
0,23574,23721,148
1,23722,23726,5
15,23727,23729,3
1,23730,23738,9
15,23739,23741,3
1,23742,23787,46
15,23788,23789,2
1,23790,23849,60
15,23850,23852,3
1,23853,23930,78
15,23931,23933,3
1,23934,23952,19
15,23953,23954,2
1,23955,23987,33
15,23988,23990,3
1,23991,24053,63
15,24054,24056,3
1,24057,24078,22
15,24079,24082,4
1,24083,24104,22
2,24105,24376,272
0,24377,24404,28
1,24405,24452,48
15,24453,24465,13
1,24466,24474,9
15,24475,24477,3
1,24478,24577,100
15,24578,24588,11
1,24589,24614,26
15,24615,24617,3
1,24618,24674,57
15,24675,24678,4
1,24679,24697,19
15,24698,24700,3
1,24701,24726,26
15,24727,24730,4
1,24731,24768,38
15,24769,24771,3
1,24772,24832,61
0,24833,24869,37
1,24870,25017,148
15,25018,25027,10
1,25028,25063,36
15,25064,25065,2
1,25066,25099,34
15,25100,25102,3
1,25103,25150,48
15,25151,25154,4
1,25155,25163,9
15,25164,25166,3
1,25167,25251,85
0,25252,25275,24
1,25276,25296,21
15,25297,25301,5
1,25302,25427,126
15,25428,25430,3
1,25431,25482,52
2,25483,25667,185
0,25668,25693,26
1,25694,25704,11
15,25705,25707,3
1,25708,25741,34
15,25742,25746,5
1,25747,25794,48
15,25795,25798,4
1,25799,25815,17
15,25816,25818,3
1,25819,25864,46
15,25865,25872,8
1,25873,25911,39
15,25912,25916,5
1,25917,25940,24
0,25941,26286,346
1,26287,26364,78
15,26365,26367,3
1,26368,26398,31
15,26399,26402,4
1,26403,26440,38
15,26441,26444,4
1,26445,26457,13
2,26458,26535,78
15,26536,26538,3
1,26539,26607,69
0,26608,26663,56
1,26664,26670,7
15,26671,26673,3
1,26674,26802,129
15,26803,26804,2
1,26805,26838,34
15,26839,26840,2
1,26841,26887,47
15,26888,26889,2
1,26890,26933,44
15,26934,26935,2
1,26936,26999,64
2,27000,27049,50
0,27050,27398,349
1,27399,27431,33
15,27432,27435,4
1,27436,27485,50
15,27486,27488,3
1,27489,27626,138
2,27627,27754,128
0,27755,27778,24
1,27779,27787,9
15,27788,27790,3
1,27791,27914,124
15,27915,27921,7
1,27922,27950,29
15,27951,27954,4
1,27955,27989,35
