state_code,start_s,end_s,dur_s
0,0,494,495
1,495,570,76
15,571,573,3
1,574,630,57
15,631,633,3
1,634,683,50
15,684,686,3
1,687,740,54
15,741,742,2
1,743,791,49
15,792,794,3
1,795,825,31
15,826,828,3
1,829,859,31
15,860,862,3
1,863,956,94
15,957,961,5
1,962,972,11
2,973,1004,32
0,1005,1056,52
1,1057,1067,11
15,1068,1071,4
1,1072,1191,120
15,1192,1194,3
1,1195,1260,66
15,1261,1264,4
1,1265,1384,120
15,1385,1387,3
1,1388,1457,70
2,1458,1540,83
15,1541,1543,3
1,1544,1639,96
15,1640,1646,7
1,1647,1761,115
15,1762,1766,5
1,1767,1814,48
15,1815,1818,4
1,1819,1851,33
2,1852,1888,37
0,1889,1940,52
1,1941,1981,41
15,1982,1984,3
1,1985,2035,51
15,2036,2038,3
1,2039,2113,75
15,2114,2117,4
1,2118,2162,45
15,2163,2165,3
1,2166,2229,64
15,2230,2234,5
1,2235,2274,40
15,2275,2279,5
1,2280,2348,69
15,2349,2354,6
1,2355,2408,54
15,2409,2412,4
1,2413,2427,15
15,2428,2435,8
1,2436,2484,49
2,2485,2566,82
0,2567,3755,1189
1,3756,3785,30
15,3786,3788,3
1,3789,3808,20
15,3809,3812,4
1,3813,3909,97
15,3910,3913,4
1,3914,4020,107
15,4021,4025,5
1,4026,4147,122
15,4148,4155,8
1,4156,4235,80
15,4236,4239,4
1,4240,4295,56
15,4296,4300,5
1,4301,4345,45
15,4346,4351,6
1,4352,4500,149
15,4501,4505,5
1,4506,4549,44
15,4550,4561,12
1,4562,4570,9
2,4571,4600,30
0,4601,4666,66
1,4667,4685,19
0,4686,5592,907
1,5593,5613,21
15,5614,5620,7
1,5621,5656,36
15,5657,5661,5
1,5662,5712,51
15,5713,5716,4
1,5717,5735,19
15,5736,5742,7
1,5743,5807,65
15,5808,5810,3
1,5811,5825,15
15,5826,5829,4
1,5830,5904,75
0,5905,5922,18
1,5923,5976,54
15,5977,5979,3
1,5980,5991,12
0,5992,6096,105
1,6097,6133,37
15,6134,6137,4
1,6138,6163,26
15,6164,6167,4
1,6168,6224,57
15,6225,6227,3
1,6228,6260,33
15,6261,6263,3
1,6264,6288,25
15,6289,6292,4
1,6293,6346,54
2,6347,6425,79
0,6426,6463,38
1,6464,6498,35
15,6499,6502,4
1,6503,6513,11
15,6514,6516,3
1,6517,6524,8
15,6525,6528,4
1,6529,6545,17
15,6546,6549,4
1,6550,6576,27
15,6577,6582,6
1,6583,6616,34
15,6617,6622,6
1,6623,6724,102
2,6725,6850,126
15,6851,6863,13
1,6864,6947,84
15,6948,6957,10
1,6958,7032,75
15,7033,7038,6
1,7039,7079,41
15,7080,7088,9
1,7089,7223,135
15,7224,7229,6
1,7230,7247,18
15,7248,7251,4
1,7252,7313,62
0,7314,7456,143
1,7457,7496,40
15,7497,7501,5
1,7502,7519,18
15,7520,7523,4
1,7524,7574,51
15,7575,7577,3
1,7578,7690,113
15,7691,7694,4
1,7695,7746,52
15,7747,7758,12
1,7759,7822,64
15,7823,7826,4
1,7827,7852,26
15,7853,7857,5
1,7858,7931,74
15,7932,7934,3
1,7935,7998,64
2,7999,8135,137
0,8136,8422,287
1,8423,8523,101
15,8524,8526,3
1,8527,8561,35
15,8562,8564,3
1,8565,8590,26
15,8591,8595,5
1,8596,8663,68
0,8664,8683,20
1,8684,8710,27
0,8711,8729,19
1,8730,8819,90
2,8820,8878,59
0,8879,9011,133
1,9012,9040,29
15,9041,9044,4
1,9045,9156,112
15,9157,9159,3
1,9160,9169,10
15,9170,9173,4
1,9174,9269,96
15,9270,9272,3
1,9273,9356,84
15,9357,9360,4
1,9361,9410,50
15,9411,9414,4
1,9415,9480,66
15,9481,9484,4
1,9485,9525,41
15,9526,9529,4
1,9530,9604,75
2,9605,9687,83
0,9688,9734,47
1,9735,9806,72
15,9807,9809,3
1,9810,9913,104
15,9914,9917,4
1,9918,9985,68
15,9986,9988,3
1,9989,10124,136
15,10125,10127,3
1,10128,10174,47
15,10175,10178,4
1,10179,10257,79
2,10258,10328,71
15,10329,10333,5
1,10334,10431,98
15,10432,10435,4
1,10436,10561,126
2,10562,10631,70
0,10632,12386,1755
1,12387,12408,22
2,12409,12491,83
15,12492,12504,13
1,12505,12595,91
0,12596,12613,18
1,12614,12670,57
15,12671,12675,5
1,12676,12763,88
15,12764,12766,3
1,12767,12845,79
15,12846,12854,9
1,12855,12884,30
2,12885,13096,212
0,13097,13299,203
1,13300,13450,151
0,13451,13876,426
1,13877,13993,117
15,13994,13996,3
1,13997,14093,97
15,14094,14096,3
1,14097,14141,45
15,14142,14146,5
1,14147,14178,32
0,14179,14216,38
1,14217,14236,20
15,14237,14240,4
1,14241,14300,60
15,14301,14303,3
1,14304,14383,80
15,14384,14388,5
1,14389,14492,104
15,14493,14497,5
1,14498,14584,87
0,14585,15673,1089
1,15674,15742,69
15,15743,15747,5
1,15748,15825,78
15,15826,15828,3
1,15829,15898,70
