state_code,start_s,end_s,dur_s
0,0,852,853
1,853,997,145
15,998,1004,7
1,1005,1094,90
15,1095,1101,7
1,1102,1157,56
15,1158,1164,7
1,1165,1264,100
15,1265,1272,8
1,1273,1482,210
0,1483,2276,794
1,2277,2333,57
15,2334,2338,5
1,2339,2358,20
15,2359,2363,5
1,2364,2406,43
0,2407,2594,188
1,2595,2681,87
15,2682,2685,4
1,2686,2736,51
0,2737,2752,16
1,2753,2848,96
15,2849,2852,4
1,2853,2877,25
15,2878,2881,4
1,2882,2916,35
15,2917,2922,6
1,2923,3026,104
0,3027,3048,22
1,3049,3081,33
0,3082,3116,35
1,3117,3194,78
15,3195,3206,12
1,3207,3290,84
15,3291,3297,7
1,3298,3321,24
2,3322,3466,145
0,3467,3521,55
1,3522,3560,39
15,3561,3564,4
1,3565,3648,84
15,3649,3652,4
1,3653,3707,55
15,3708,3712,5
1,3713,3797,85
0,3798,4109,312
1,4110,4193,84
0,4194,5328,1135
1,5329,5379,51
15,5380,5384,5
1,5385,5554,170
0,5555,5572,18
1,5573,5627,55
0,5628,5679,52
1,5680,5726,47
0,5727,5928,202
1,5929,5951,23
15,5952,5957,6
1,5958,6026,69
0,6027,6123,97
1,6124,6155,32
15,6156,6160,5
1,6161,6179,19
15,6180,6184,5
1,6185,6222,38
0,6223,6353,131
1,6354,6390,37
15,6391,6395,5
1,6396,6447,52
15,6448,6453,6
1,6454,6530,77
2,6531,6688,158
0,6689,6767,79
1,6768,6843,76
15,6844,6847,4
1,6848,6907,60
0,6908,6930,23
1,6931,7088,158
15,7089,7093,5
1,7094,7159,66
15,7160,7164,5
1,7165,7253,89
0,7254,8186,933
1,8187,8232,46
15,8233,8241,9
1,8242,8311,70
0,8312,8336,25
1,8337,8460,124
15,8461,8475,15
1,8476,8510,35
15,8511,8515,5
1,8516,8580,65
0,8581,8652,72
1,8653,8716,64
0,8717,9355,639
1,9356,9394,39
15,9395,9404,10
1,9405,9459,55
15,9460,9465,6
1,9466,9531,66
15,9532,9538,7
1,9539,9599,61
15,9600,9607,8
1,9608,9633,26
15,9634,9640,7
1,9641,9681,41
15,9682,9687,6
1,9688,9712,25
0,9713,10563,851
1,10564,10639,76
15,10640,10644,5
1,10645,10680,36
15,10681,10684,4
1,10685,10725,41
15,10726,10739,14
1,10740,10766,27
15,10767,10771,5
1,10772,10791,20
15,10792,10805,14
1,10806,10855,50
15,10856,10860,5
1,10861,10935,75
15,10936,10944,9
1,10945,10972,28
15,10973,10979,7
1,10980,11021,42
15,11022,11032,11
1,11033,11060,28
15,11061,11068,8
1,11069,11133,65
2,11134,11194,61
0,11195,11239,45
1,11240,11351,112
0,11352,11373,22
1,11374,11482,109
15,11483,11489,7
1,11490,11559,70
15,11560,11565,6
1,11566,11608,43
15,11609,11615,7
1,11616,11674,59
