WT_Time,WT_Censored,APP_Time,APP_Censored
34,0,17,0
67,0,17,0
53,0,18,0
44,0,34,0
116,0,131,0
43,0,59,0
72,0,89,0
102,0,45,0
101,0,55,0
157,0,226,0
61,0,31,0
68,0,9,0
23,0,23,0
162,0,80,0
102,0,41,0
41,0,58,0
38,0,79,0
49,0,131,0
124,0,75,0
47,0,67,0
166,0,69,0
62,0,54,0
215,0,97,0
65,0,62,0
39,0,41,0
96,0,132,0
38,0,95,0
184,0,26,0
77,0,111,0
167,0,23,0
76,0,40,0
74,0,54,0
76,0,94,0
140,0,96,0
80,0,62,0
30,0,191,0
65,0,108,0
50,0,57,0
117,0,20,0
96,0,44,0
39,0,31,0
132,0,47,0
180,0,82,0
104,0,87,0
87,0,132,0
85,0,188,0
40,0,16,0
186,0,216,0
132,0,63,0
54,0,37,0
180,0,157,0
105,0,173,0
85,0,113,0
71,0,69,0
105,0,91,0
150,0,50,0
46,0,34,0
105,0,37,0
178,0,140,0
41,0,61,0
93,0,58,0
12,0,136,0
42,0,43,0
59,0,123,0
122,0,30,0
41,0,135,0
92,0,49,0
251,0,50,0
39,0,28,0
47,0,82,0
103,0,60,0
143,0,180,0
143,0,24,0
113,0,152,0
82,0,41,0
163,0,27,0
154,0,83,0
39,0,122,0
35,0,155,0
218,0,179,0
28,0,41,0
68,0,23,0
158,0,125,0
13,0,52,0
158,0,140,0
84,0,119,0
127,0,52,0
121,0,65,0
115,0,70,0
88,0,26,0
23,0,45,0
41,0,39,0
157,0,47,0
82,0,64,0
112,0,16,0
83,0,84,0
179,0,175,0
61,0,52,0
46,0,32,0
60,0,60,0
43,0,136,0
172,0,57,0
55,0,40,0
24,0,52,0
57,0,40,0
60,0,64,0
70,0,58,0
49,0,67,0
184,0,234,0
92,0,66,0
194,0,102,0
64,0,29,0
153,0,138,0
93,0,20,0
96,0,91,0
73,0,123,0
85,0,54,0
141,0,66,0
49,0,89,0
237,0,102,0
106,0,52,0
206,0,40,0
46,0,141,0
48,0,46,0
101,0,NaN,NaN
92,0,NaN,NaN
171,0,NaN,NaN
86,0,NaN,NaN
28,0,NaN,NaN
37,0,NaN,NaN
64,0,NaN,NaN
31,0,NaN,NaN
19,0,NaN,NaN
90,0,NaN,NaN
220,0,NaN,NaN
49,0,NaN,NaN
173,0,NaN,NaN
145,0,NaN,NaN
142,0,NaN,NaN
135,0,NaN,NaN
126,0,NaN,NaN
99,0,NaN,NaN
35,0,NaN,NaN
217,0,NaN,NaN
106,0,NaN,NaN
192,0,NaN,NaN
21,0,NaN,NaN
116,0,NaN,NaN
163,0,NaN,NaN
90,0,NaN,NaN
82,0,NaN,NaN
69,0,NaN,NaN
214,0,NaN,NaN
169,0,NaN,NaN
67,0,NaN,NaN
179,0,NaN,NaN
103,0,NaN,NaN
145,0,NaN,NaN
60,0,NaN,NaN
238,0,NaN,NaN
110,0,NaN,NaN
101,0,NaN,NaN
147,0,NaN,NaN
