mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,11
mouse1,APP,1,38
mouse1,APP,2,44
mouse1,APP,3,29
mouse1,APP,4,34
mouse1,APP,5,34
mouse1,APP,6,7
mouse1,APP,7,27
mouse1,APP,8,29
mouse10,APP,0,9
mouse10,APP,1,48
mouse10,APP,2,34
mouse10,APP,3,69
mouse10,APP,4,77
mouse10,APP,5,49
mouse10,APP,6,60
mouse10,APP,7,27
mouse10,APP,8,33
mouse10,APP,9,14
mouse11,WT,0,13
mouse11,WT,1,36
mouse11,WT,2,36
mouse11,WT,3,33
mouse11,WT,4,26
mouse11,WT,5,22
mouse11,WT,6,0
mouse12,WT,0,0
mouse12,WT,1,4
mouse12,WT,2,13
mouse12,WT,3,8
mouse12,WT,4,9
mouse12,WT,5,7
mouse12,WT,6,5
mouse12,WT,7,5
mouse12,WT,8,2
mouse2,WT,0,3
mouse2,WT,1,15
mouse2,WT,2,10
mouse2,WT,3,21
mouse2,WT,4,46
mouse2,WT,5,33
mouse2,WT,6,17
mouse2,WT,7,14
mouse2,WT,8,5
mouse3,APP,0,47
mouse3,APP,1,51
mouse3,APP,2,32
mouse3,APP,3,35
mouse3,APP,4,28
mouse3,APP,5,14
mouse3,APP,6,34
mouse3,APP,7,34
mouse3,APP,8,0
mouse4,WT,0,25
mouse4,WT,1,25
mouse4,WT,2,23
mouse4,WT,3,16
mouse4,WT,4,32
mouse4,WT,5,23
mouse4,WT,6,40
mouse4,WT,7,28
mouse4,WT,8,19
mouse8,WT,0,23
mouse8,WT,1,41
mouse8,WT,2,22
mouse8,WT,3,41
mouse8,WT,4,35
mouse8,WT,5,28
mouse8,WT,6,40
mouse8,WT,7,17
mouse8,WT,8,23
