mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,17
mouse1,APP,1,44
mouse1,APP,2,51
mouse1,APP,3,36
mouse1,APP,4,42
mouse1,APP,5,41
mouse1,APP,6,19
mouse1,APP,7,33
mouse1,APP,8,30
mouse10,APP,0,16
mouse10,APP,1,58
mouse10,APP,2,37
mouse10,APP,3,75
mouse10,APP,4,83
mouse10,APP,5,54
mouse10,APP,6,64
mouse10,APP,7,30
mouse10,APP,8,39
mouse10,APP,9,16
mouse11,WT,0,21
mouse11,WT,1,43
mouse11,WT,2,40
mouse11,WT,3,39
mouse11,WT,4,36
mouse11,WT,5,27
mouse11,WT,6,0
mouse12,WT,0,2
mouse12,WT,1,8
mouse12,WT,2,16
mouse12,WT,3,9
mouse12,WT,4,12
mouse12,WT,5,7
mouse12,WT,6,9
mouse12,WT,7,8
mouse12,WT,8,5
mouse2,WT,0,4
mouse2,WT,1,28
mouse2,WT,2,16
mouse2,WT,3,28
mouse2,WT,4,54
mouse2,WT,5,40
mouse2,WT,6,26
mouse2,WT,7,22
mouse2,WT,8,9
mouse3,APP,0,59
mouse3,APP,1,59
mouse3,APP,2,40
mouse3,APP,3,42
mouse3,APP,4,38
mouse3,APP,5,22
mouse3,APP,6,43
mouse3,APP,7,42
mouse3,APP,8,0
mouse4,WT,0,32
mouse4,WT,1,32
mouse4,WT,2,28
mouse4,WT,3,22
mouse4,WT,4,41
mouse4,WT,5,32
mouse4,WT,6,44
mouse4,WT,7,33
mouse4,WT,8,23
mouse8,WT,0,27
mouse8,WT,1,50
mouse8,WT,2,31
mouse8,WT,3,47
mouse8,WT,4,44
mouse8,WT,5,39
mouse8,WT,6,43
mouse8,WT,7,23
mouse8,WT,8,28
