mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,1
mouse1,APP,1,4
mouse1,APP,2,3
mouse1,APP,3,7
mouse1,APP,4,5
mouse1,APP,5,9
mouse1,APP,6,6
mouse1,APP,7,4
mouse1,APP,8,4
mouse10,APP,0,0
mouse10,APP,1,3
mouse10,APP,2,4
mouse10,APP,3,5
mouse10,APP,4,5
mouse10,APP,5,3
mouse10,APP,6,9
mouse10,APP,7,2
mouse10,APP,8,7
mouse10,APP,9,4
mouse11,WT,0,3
mouse11,WT,1,2
mouse11,WT,2,6
mouse11,WT,3,3
mouse11,WT,4,5
mouse11,WT,5,4
mouse11,WT,6,0
mouse12,WT,0,1
mouse12,WT,1,4
mouse12,WT,2,4
mouse12,WT,3,2
mouse12,WT,4,4
mouse12,WT,5,4
mouse12,WT,6,2
mouse12,WT,7,2
mouse12,WT,8,2
mouse2,WT,0,0
mouse2,WT,1,6
mouse2,WT,2,4
mouse2,WT,3,5
mouse2,WT,4,4
mouse2,WT,5,6
mouse2,WT,6,7
mouse2,WT,7,4
mouse2,WT,8,3
mouse3,APP,0,4
mouse3,APP,1,5
mouse3,APP,2,3
mouse3,APP,3,7
mouse3,APP,4,4
mouse3,APP,5,4
mouse3,APP,6,6
mouse3,APP,7,5
mouse3,APP,8,0
mouse4,WT,0,9
mouse4,WT,1,3
mouse4,WT,2,4
mouse4,WT,3,2
mouse4,WT,4,6
mouse4,WT,5,4
mouse4,WT,6,6
mouse4,WT,7,6
mouse4,WT,8,2
mouse8,WT,0,3
mouse8,WT,1,4
mouse8,WT,2,3
mouse8,WT,3,6
mouse8,WT,4,6
mouse8,WT,5,6
mouse8,WT,6,5
mouse8,WT,7,3
mouse8,WT,8,3
