mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,7
mouse1,APP,1,5
mouse1,APP,2,7
mouse1,APP,3,8
mouse1,APP,4,8
mouse1,APP,5,7
mouse1,APP,6,11
mouse1,APP,7,7
mouse1,APP,8,1
mouse10,APP,0,6
mouse10,APP,1,10
mouse10,APP,2,3
mouse10,APP,3,7
mouse10,APP,4,5
mouse10,APP,5,5
mouse10,APP,6,5
mouse10,APP,7,2
mouse10,APP,8,6
mouse10,APP,9,3
mouse11,WT,0,7
mouse11,WT,1,7
mouse11,WT,2,5
mouse11,WT,3,5
mouse11,WT,4,10
mouse11,WT,5,6
mouse11,WT,6,0
mouse12,WT,0,2
mouse12,WT,1,5
mouse12,WT,2,2
mouse12,WT,3,1
mouse12,WT,4,2
mouse12,WT,5,2
mouse12,WT,6,4
mouse12,WT,7,2
mouse12,WT,8,4
mouse2,WT,0,1
mouse2,WT,1,14
mouse2,WT,2,6
mouse2,WT,3,6
mouse2,WT,4,8
mouse2,WT,5,7
mouse2,WT,6,10
mouse2,WT,7,8
mouse2,WT,8,4
mouse3,APP,0,11
mouse3,APP,1,9
mouse3,APP,2,7
mouse3,APP,3,8
mouse3,APP,4,9
mouse3,APP,5,8
mouse3,APP,6,9
mouse3,APP,7,9
mouse3,APP,8,0
mouse4,WT,0,7
mouse4,WT,1,7
mouse4,WT,2,5
mouse4,WT,3,7
mouse4,WT,4,8
mouse4,WT,5,9
mouse4,WT,6,4
mouse4,WT,7,5
mouse4,WT,8,5
mouse8,WT,0,5
mouse8,WT,1,10
mouse8,WT,2,8
mouse8,WT,3,6
mouse8,WT,4,9
mouse8,WT,5,11
mouse8,WT,6,4
mouse8,WT,7,6
mouse8,WT,8,4
