MouseID,Genotype,Sex,State,PctTime
mouse1,APP,boy,MA,4.70722216949796
mouse3,APP,boy,MA,4.42100149217476
mouse1,APP,boy,NREM,46.9330296415805
mouse3,APP,boy,NREM,54.5129610993511
mouse1,APP,boy,REM,12.1318528360381
mouse3,APP,boy,REM,16.1224277336295
mouse1,APP,boy,SLEEP,59.0648824776186
mouse3,APP,boy,SLEEP,70.6353888329805
mouse1,APP,boy,WK,36.2278953528835
mouse3,APP,boy,WK,24.9436096748447
mouse10,APP,girl,MA,5.23153575615475
mouse10,APP,girl,NREM,46.8581477139508
mouse10,APP,girl,REM,11.9548651817116
mouse10,APP,girl,SLEEP,58.8130128956624
mouse10,APP,girl,WK,35.9554513481829
mouse11,WT,boy,MA,3.15264741545785
mouse11,WT,boy,NREM,50.7881618538645
mouse11,WT,boy,REM,8.74837203035883
mouse11,WT,boy,SLEEP,59.5365338842233
mouse11,WT,boy,WK,37.3108187003189
mouse12,WT,girl,MA,1.14639568116863
mouse2,WT,girl,MA,2.98618766616951
mouse4,WT,girl,MA,4.2461200916336
mouse8,WT,girl,MA,4.89614713810052
mouse12,WT,girl,NREM,54.86503651953
mouse2,WT,girl,NREM,48.304260424097
mouse4,WT,girl,NREM,48.1818475139548
mouse8,WT,girl,NREM,55.2877754875535
mouse12,WT,girl,REM,10.1206732295967
mouse2,WT,girl,REM,9.64917969003307
mouse4,WT,girl,REM,15.6390152615107
mouse8,WT,girl,REM,14.2349770096718
mouse12,WT,girl,SLEEP,64.9857097491267
mouse2,WT,girl,SLEEP,57.9534401141301
mouse4,WT,girl,SLEEP,63.8208627754654
mouse8,WT,girl,SLEEP,69.5227524972253
mouse12,WT,girl,WK,33.8678945697047
mouse2,WT,girl,WK,39.0603722197004
mouse4,WT,girl,WK,31.933017132901
mouse8,WT,girl,WK,25.5811003646742
