mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,43
mouse1,APP,1,30
mouse1,APP,2,41
mouse1,APP,3,31
mouse1,APP,4,34
mouse1,APP,5,37
mouse1,APP,6,17
mouse1,APP,7,27
mouse1,APP,8,7
mouse1,APP,9,2
mouse10,APP,0,31
mouse10,APP,1,75
mouse10,APP,2,49
mouse10,APP,3,65
mouse10,APP,4,83
mouse10,APP,5,23
mouse10,APP,6,51
mouse10,APP,7,53
mouse10,APP,8,17
mouse11,WT,0,0
mouse11,WT,1,8
mouse11,WT,2,25
mouse11,WT,3,3
mouse11,WT,4,12
mouse11,WT,5,18
mouse11,WT,6,15
mouse11,WT,7,15
mouse11,WT,8,0
mouse12,WT,0,25
mouse12,WT,1,19
mouse12,WT,2,6
mouse12,WT,3,21
mouse12,WT,4,12
mouse12,WT,5,24
mouse12,WT,6,28
mouse12,WT,7,9
mouse12,WT,8,12
mouse2,WT,0,23
mouse2,WT,1,44
mouse2,WT,2,31
mouse2,WT,3,21
mouse2,WT,4,25
mouse2,WT,5,34
mouse2,WT,6,18
mouse2,WT,7,5
mouse2,WT,8,0
mouse3,APP,0,52
mouse3,APP,1,46
mouse3,APP,2,61
mouse3,APP,3,66
mouse3,APP,4,44
mouse3,APP,5,37
mouse3,APP,6,5
mouse4,WT,0,32
mouse4,WT,1,36
mouse4,WT,2,32
mouse4,WT,3,26
mouse4,WT,4,30
mouse4,WT,5,26
mouse4,WT,6,43
mouse4,WT,7,23
mouse4,WT,8,15
mouse8,WT,0,31
mouse8,WT,1,9
mouse8,WT,2,9
mouse8,WT,3,2
mouse8,WT,4,9
mouse8,WT,5,49
mouse8,WT,6,32
mouse8,WT,7,42
mouse8,WT,8,20
mouse8,WT,9,16
