mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,55
mouse1,APP,1,43
mouse1,APP,2,53
mouse1,APP,3,44
mouse1,APP,4,39
mouse1,APP,5,44
mouse1,APP,6,23
mouse1,APP,7,35
mouse1,APP,8,19
mouse1,APP,9,4
mouse10,APP,0,36
mouse10,APP,1,88
mouse10,APP,2,60
mouse10,APP,3,74
mouse10,APP,4,90
mouse10,APP,5,30
mouse10,APP,6,58
mouse10,APP,7,65
mouse10,APP,8,24
mouse11,WT,0,3
mouse11,WT,1,15
mouse11,WT,2,35
mouse11,WT,3,10
mouse11,WT,4,19
mouse11,WT,5,27
mouse11,WT,6,26
mouse11,WT,7,26
mouse11,WT,8,0
mouse12,WT,0,32
mouse12,WT,1,33
mouse12,WT,2,10
mouse12,WT,3,28
mouse12,WT,4,14
mouse12,WT,5,31
mouse12,WT,6,36
mouse12,WT,7,17
mouse12,WT,8,19
mouse2,WT,0,30
mouse2,WT,1,54
mouse2,WT,2,38
mouse2,WT,3,31
mouse2,WT,4,36
mouse2,WT,5,41
mouse2,WT,6,28
mouse2,WT,7,12
mouse2,WT,8,0
mouse3,APP,0,66
mouse3,APP,1,50
mouse3,APP,2,73
mouse3,APP,3,70
mouse3,APP,4,48
mouse3,APP,5,45
mouse3,APP,6,8
mouse4,WT,0,40
mouse4,WT,1,40
mouse4,WT,2,41
mouse4,WT,3,32
mouse4,WT,4,37
mouse4,WT,5,31
mouse4,WT,6,46
mouse4,WT,7,32
mouse4,WT,8,19
mouse8,WT,0,39
mouse8,WT,1,21
mouse8,WT,2,23
mouse8,WT,3,8
mouse8,WT,4,18
mouse8,WT,5,57
mouse8,WT,6,38
mouse8,WT,7,45
mouse8,WT,8,28
mouse8,WT,9,24
