mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,4
mouse1,APP,1,6
mouse1,APP,2,7
mouse1,APP,3,7
mouse1,APP,4,1
mouse1,APP,5,4
mouse1,APP,6,4
mouse1,APP,7,7
mouse1,APP,8,4
mouse1,APP,9,1
mouse10,APP,0,3
mouse10,APP,1,5
mouse10,APP,2,4
mouse10,APP,3,10
mouse10,APP,4,6
mouse10,APP,5,4
mouse10,APP,6,3
mouse10,APP,7,6
mouse10,APP,8,3
mouse11,WT,0,0
mouse11,WT,1,1
mouse11,WT,2,5
mouse11,WT,3,1
mouse11,WT,4,5
mouse11,WT,5,5
mouse11,WT,6,4
mouse11,WT,7,6
mouse11,WT,8,0
mouse12,WT,0,5
mouse12,WT,1,6
mouse12,WT,2,0
mouse12,WT,3,5
mouse12,WT,4,1
mouse12,WT,5,5
mouse12,WT,6,6
mouse12,WT,7,3
mouse12,WT,8,3
mouse2,WT,0,0
mouse2,WT,1,5
mouse2,WT,2,2
mouse2,WT,3,4
mouse2,WT,4,4
mouse2,WT,5,9
mouse2,WT,6,3
mouse2,WT,7,2
mouse2,WT,8,0
mouse3,APP,0,8
mouse3,APP,1,4
mouse3,APP,2,7
mouse3,APP,3,6
mouse3,APP,4,5
mouse3,APP,5,4
mouse3,APP,6,1
mouse4,WT,0,3
mouse4,WT,1,4
mouse4,WT,2,6
mouse4,WT,3,4
mouse4,WT,4,6
mouse4,WT,5,6
mouse4,WT,6,3
mouse4,WT,7,5
mouse4,WT,8,2
mouse8,WT,0,4
mouse8,WT,1,2
mouse8,WT,2,2
mouse8,WT,3,0
mouse8,WT,4,3
mouse8,WT,5,6
mouse8,WT,6,4
mouse8,WT,7,5
mouse8,WT,8,5
mouse8,WT,9,3
