mouse,genotype,hour_idx,bouts_per_h
mouse1,APP,0,12
mouse1,APP,1,14
mouse1,APP,2,10
mouse1,APP,3,13
mouse1,APP,4,5
mouse1,APP,5,7
mouse1,APP,6,6
mouse1,APP,7,9
mouse1,APP,8,11
mouse1,APP,9,3
mouse10,APP,0,5
mouse10,APP,1,12
mouse10,APP,2,11
mouse10,APP,3,9
mouse10,APP,4,7
mouse10,APP,5,8
mouse10,APP,6,6
mouse10,APP,7,13
mouse10,APP,8,6
mouse11,WT,0,4
mouse11,WT,1,6
mouse11,WT,2,11
mouse11,WT,3,6
mouse11,WT,4,8
mouse11,WT,5,9
mouse11,WT,6,11
mouse11,WT,7,11
mouse11,WT,8,0
mouse12,WT,0,7
mouse12,WT,1,14
mouse12,WT,2,3
mouse12,WT,3,8
mouse12,WT,4,1
mouse12,WT,5,7
mouse12,WT,6,9
mouse12,WT,7,7
mouse12,WT,8,8
mouse2,WT,0,6
mouse2,WT,1,11
mouse2,WT,2,6
mouse2,WT,3,11
mouse2,WT,4,11
mouse2,WT,5,6
mouse2,WT,6,10
mouse2,WT,7,8
mouse2,WT,8,0
mouse3,APP,0,15
mouse3,APP,1,3
mouse3,APP,2,12
mouse3,APP,3,4
mouse3,APP,4,4
mouse3,APP,5,8
mouse3,APP,6,4
mouse4,WT,0,8
mouse4,WT,1,4
mouse4,WT,2,9
mouse4,WT,3,6
mouse4,WT,4,7
mouse4,WT,5,5
mouse4,WT,6,3
mouse4,WT,7,9
mouse4,WT,8,5
mouse8,WT,0,8
mouse8,WT,1,13
mouse8,WT,2,15
mouse8,WT,3,5
mouse8,WT,4,9
mouse8,WT,5,9
mouse8,WT,6,5
mouse8,WT,7,4
mouse8,WT,8,7
mouse8,WT,9,9
