MouseID,Genotype,Sex,State,PctTime
mouse1,APP,boy,MA,5.53990610328638
mouse3,APP,boy,MA,4.84334147700484
mouse1,APP,boy,NREM,51.393779342723
mouse3,APP,boy,NREM,53.2467532467532
mouse1,APP,boy,REM,9.21361502347418
mouse3,APP,boy,REM,10.9168059663109
mouse1,APP,boy,SLEEP,60.6073943661972
mouse3,APP,boy,SLEEP,64.1635592130642
mouse1,APP,boy,WK,33.8526995305164
mouse3,APP,boy,WK,30.993099309931
mouse10,APP,girl,MA,6.15945536088794
mouse10,APP,girl,NREM,47.8140225212145
mouse10,APP,girl,REM,12.5479947084826
mouse10,APP,girl,SLEEP,60.362017229697
mouse10,APP,girl,WK,33.478527409415
mouse11,WT,boy,MA,2.53226120225666
mouse11,WT,boy,NREM,46.2486220089488
mouse11,WT,boy,REM,7.08449516892549
mouse11,WT,boy,SLEEP,53.3331171778743
mouse11,WT,boy,WK,44.134621619869
mouse12,WT,girl,MA,3.75138734739179
mouse2,WT,girl,MA,4.13242865423301
mouse4,WT,girl,MA,4.27109734347132
mouse8,WT,girl,MA,4.10021506577661
mouse12,WT,girl,NREM,48.1116220072935
mouse2,WT,girl,NREM,49.3538818234512
mouse4,WT,girl,NREM,52.4828686754905
mouse8,WT,girl,NREM,49.9818450967796
mouse12,WT,girl,REM,10.8768035516093
mouse2,WT,girl,REM,9.74462136451976
mouse4,WT,girl,REM,11.6367846303076
mouse8,WT,girl,REM,11.0437672820713
mouse12,WT,girl,SLEEP,58.9884255589028
mouse2,WT,girl,SLEEP,59.098503187971
mouse4,WT,girl,SLEEP,64.1196533057981
mouse8,WT,girl,SLEEP,61.0256123788509
mouse12,WT,girl,WK,37.2601870937054
mouse2,WT,girl,WK,36.769068157796
mouse4,WT,girl,WK,31.6092493507306
mouse8,WT,girl,WK,34.8741725553725
