state,condition,window,n_WT,n_APP,mean_WT,mean_APP,diff_APP_minus_WT,p_unpaired
WK,baseline,0–3 h,5,3,168.448395445135,104.806613756614,-63.6417816885208,0.183560234430786
WK,baseline,3–6 h (manip),5,3,173.346583850932,147.888888888889,-25.4576949620428,0.53387616257428
WK,baseline,>6 h,5,3,203.160683897802,206.971954022988,3.81127012518692,0.937232464911138
WK,ambtemp,0–3 h,5,3,271.526540990157,213.460688758934,-58.0658522312222,0.471526258965465
WK,ambtemp,3–6 h (manip),5,3,190.186227106227,138.169514066496,-52.0167130397309,0.633610279622092
WK,ambtemp,>6 h,4,3,235.488311688312,175.067616959064,-60.4206947292473,0.517031413396343
WK,drugs,0–3 h,4,3,427.983944235589,280.440648723257,-147.543295512332,0.523391692523632
WK,drugs,3–6 h (manip),4,3,152.989963183731,149.329594017094,-3.66036916663668,0.94972041163956
WK,drugs,>6 h,4,3,165.494047619048,103.140497076023,-62.3535505430242,0.414738159676867
NREM,baseline,0–3 h,5,3,65.7667472110157,33.9846631814791,-31.7820840295366,0.0130396369842158
NREM,baseline,3–6 h (manip),5,3,69.4326647577481,37.4256605795062,-32.0070041782419,0.0494665268791932
NREM,baseline,>6 h,5,3,61.1251994301994,51.2340954900479,-9.89110394015156,0.378078901360319
NREM,ambtemp,0–3 h,5,3,88.3741096866097,42.5780855448577,-45.796024141752,0.337479585841275
NREM,ambtemp,3–6 h (manip),5,3,94.8027814640823,41.1526170216514,-53.6501644424308,0.333083709701249
NREM,ambtemp,>6 h,4,3,98.1626292884048,46.5144508744732,-51.6481784139315,0.311157049172072
NREM,drugs,0–3 h,4,3,68.3633423406189,73.6440098534006,5.28066751278175,0.827792988716365
NREM,drugs,3–6 h (manip),4,3,62.2916595662693,65.1290282572561,2.83736869098676,0.782058276705991
NREM,drugs,>6 h,4,3,64.3295497185741,56.5199489819744,-7.80960073659969,0.525900326559615
REM,baseline,0–3 h,5,3,82.3264485514486,73.6165290677675,-8.70991948368109,0.514183053981183
REM,baseline,3–6 h (manip),5,3,103.31577540107,82.25,-21.0657754010695,0.118801145785302
REM,baseline,>6 h,5,3,108.216666666667,71.4166666666667,-36.8,0.0286749740744172
REM,ambtemp,0–3 h,5,3,92.5645707070707,60.0297619047619,-32.5348088023088,0.0571839132711215
REM,ambtemp,3–6 h (manip),5,3,102.171111111111,123.737484737485,21.5663736263736,0.232294170279534
REM,ambtemp,>6 h,4,3,124.996212121212,107.997835497836,-16.9983766233766,0.418590928490196
REM,drugs,0–3 h,4,3,105.020833333333,72.6798941798942,-32.3409391534392,0.180904694819312
REM,drugs,3–6 h (manip),4,3,105.616098484848,112.616783216783,7.00068473193474,0.646380235269546
REM,drugs,>6 h,4,3,103.294444444444,116.131054131054,12.8366096866097,0.587955688092314
