state,condition,genotype,n,mean_rest,mean_manip,diff_manip_minus_rest,p_paired
WK,baseline,WT,5,185.804539671468,173.346583850932,-12.4579558205363,0.752990230236233
WK,baseline,APP,3,155.889283889801,147.888888888889,-8.00039500091225,0.676799676411661
WK,ambtemp,WT,5,252.042805696719,190.186227106227,-61.8565785904917,0.158865877849203
WK,ambtemp,APP,3,194.264152858999,138.169514066496,-56.0946387925032,0.282263979756689
WK,drugs,WT,4,296.738995927318,152.989963183731,-143.749032743588,0.210892391287003
WK,drugs,APP,3,191.79057289964,149.329594017094,-42.4609788825464,0.223807584728313
NREM,baseline,WT,5,63.4459733206076,69.4326647577481,5.98669143714053,0.288993470123675
NREM,baseline,APP,3,42.6093793357635,37.4256605795062,-5.18371875625731,0.249354090290287
NREM,ambtemp,WT,5,88.545375789436,94.8027814640823,6.25740567464629,0.454859299024814
NREM,ambtemp,APP,3,44.5462682096654,41.1526170216514,-3.39365118801403,0.67084402730122
NREM,drugs,WT,4,66.3464460295965,62.2916595662693,-4.05478646332716,0.357838330821319
NREM,drugs,APP,3,65.0819794176875,65.1290282572561,0.0470488395685891,0.996833809214914
REM,baseline,WT,5,95.2715576090576,103.31577540107,8.04421779201188,0.279450253262876
REM,baseline,APP,3,72.5165978672171,82.25,9.73340213278294,0.618763710591817
REM,ambtemp,WT,5,104.789861111111,102.171111111111,-2.61874999999999,0.466978941213911
REM,ambtemp,APP,3,84.0137987012987,123.737484737485,39.723686036186,0.0100344332714355
REM,drugs,WT,4,104.157638888889,105.616098484848,1.45845959595961,0.893491604093659
REM,drugs,APP,3,94.4054741554742,112.616783216783,18.2113090613091,0.437326902252857
