Hour;APP_mouse1;APP_mouse10;WT_mouse11;WT_mouse12;WT_mouse2;APP_mouse3;WT_mouse4;;;;;;;;;;
0;3;7;7;1;4;7;1;;ZT3;12;5;4;7;6;6;15;8
1;6;9;9;8;5;12;3;;ZT4;14;12;6;14;11;11;3;4
2;5;5;5;10;9;4;4;;ZT5;10;11;11;3;6;6;12;9
3;4;8;14;12;7;8;8;;ZT6;13;9;6;8;11;11;4;6
4;7;10;10;5;6;7;7;;ZT7;5;7;8;1;11;11;4;7
5;5;6;7;6;3;11;8;;ZT8;7;8;9;7;6;6;8;5
6;6;6;15;5;4;14;8;;ZT9;6;6;11;9;10;10;4;2
7;7;8;6;7;4;5;NaN;;ZT10;9;13;0;7;8;8;;9
8;2;2;NaN;2;4;NaN;NaN;;ZT11;11;6;;8;0;0;;5
;;;;;;;;;ZT12;3;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ZT3;-9;2;3;-6;-2;1;-14;;;;;;;;;;
ZT4;-8;-3;3;-6;-6;1;0;;;;;;;;;;
ZT5;-5;-6;-6;7;3;-2;-8;;;;;;;;;;
ZT6;-9;-1;8;4;-4;-3;4;;;;;;;;;;
ZT7;2;3;2;4;-5;-4;3;;;;;;;;;;
ZT8;-2;-2;-2;-1;-3;5;0;;;;;;;;;;
ZT9;0;0;4;-4;-6;4;4;;;;;;;;;;
ZT10;-2;-5;6;0;-4;-3;;;;;;;;;;;
ZT11;-9;-4;;-6;4;;;;;;;;;;;;
