file,date,condition,mouse,genotype,ok
20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP,1
20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT,1
20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP,1
20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT,1
20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT,1
20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT,1
20251007_baseline_mouse10_APP_scored_scores_1Hz.csv,20251007,baseline,mouse10,APP,1
20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv,20251008,ambtemp,mouse10,APP,1
20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv,20251009,ambtemp,mouse3,APP,1
20251011_baseline_mouse3_APP_scored_scores_1Hz.csv,20251011,baseline,mouse3,APP,1
20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv,20251012,ambtemp,mouse8,WT,1
20251012_baseline_mouse12_WT_scored_scores_1Hz.csv,20251012,baseline,mouse12,WT,1
20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv,20251013,ambtemp,mouse2,WT,1
20251013_baseline_mouse11_WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT,1
20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT,1
20251022_drugs_mouse1_APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP,1
20251022_drugs_mouse2_WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT,1
20251022_drugs_mouse4_WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT,1
20251023_drugs_mouse3_APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP,1
20251024_drugs_mouse10_APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP,1
20251024_drugs_mouse11_WT_scored_scores_1Hz.csv,20251024,drugs,mouse11,WT,1
20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT,1
20251026_drugs_mouse12_WT_scored_scores_1Hz.csv,20251026,drugs,mouse12,WT,1
