state,n_bouts,total_dur_s,mean_bout_dur_s,file,date,condition,mouse,genotype
WK,90,11537,128.188888888889,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
NREM,359,17515,48.7883008356546,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
REM,45,3140,69.7777777777778,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
MA,269,1888,7.0185873605948,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
WK,69,10784,156.289855072464,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
NREM,270,14475,53.6111111111111,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
REM,29,2858,98.551724137931,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
MA,201,1212,6.02985074626866,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
WK,61,11452,187.737704918033,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
NREM,313,14836,47.3993610223642,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
REM,43,3835,89.1860465116279,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
MA,253,1488,5.88142292490119,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
WK,84,12486,148.642857142857,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
NREM,301,17895,59.4518272425249,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
REM,34,3954,116.294117647059,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
MA,219,1468,6.70319634703196,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
WK,56,10102,180.392857142857,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
NREM,318,16773,52.7452830188679,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
REM,39,3719,95.3589743589744,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
MA,263,1365,5.19011406844106,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
WK,57,9897,173.631578947368,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
