hour_idx,hour_start_s,dur_s,bouts_per_h,mean_bout_dur_s,state,file,date,condition,mouse,genotype
0,0,967,12,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,690,14,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,937,10,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,606,13,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,1783,5,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,311,7,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,2190,6,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,1074,9,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,1883,11,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,1096,3,NaN,WK,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,2265,55,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,2103,43,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,2069,53,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,2229,44,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,1547,39,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,2610,44,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,1077,23,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,1767,35,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,1504,19,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,344,4,NaN,NREM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,86,4,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,605,6,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,321,7,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,555,7,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,41,1,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,364,4,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,211,4,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,578,7,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,165,4,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,214,1,NaN,REM,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,282,43,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
1,3600,202,30,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
2,7200,273,41,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
3,10800,210,31,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
4,14400,229,34,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
5,18000,315,37,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
6,21600,122,17,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
7,25200,181,27,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
8,28800,48,7,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
9,32400,26,2,NaN,MA,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv,20251001,baseline,mouse1,APP
0,0,1734,6,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
1,3600,508,11,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
2,7200,1335,6,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
3,10800,1330,11,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
4,14400,890,11,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
5,18000,515,6,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
6,21600,1826,10,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
7,25200,2117,8,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
8,28800,529,0,NaN,WK,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
0,0,1720,30,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
1,3600,2582,54,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
2,7200,1760,38,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
3,10800,1820,31,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
4,14400,2040,36,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
5,18000,2030,41,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
6,21600,1283,28,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
7,25200,1240,12,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
8,28800,0,0,NaN,NREM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
0,0,0,0,NaN,REM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
1,3600,276,5,NaN,REM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
2,7200,343,2,NaN,REM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
3,10800,332,4,NaN,REM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
4,14400,501,4,NaN,REM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
5,18000,827,9,NaN,REM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
6,21600,376,3,NaN,REM,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv,20251002,baseline,mouse2,WT
