t_s,z_peak,prominence_z,width_s,resid_peak_df
1.08134397837312,6.951982,11.24245,0.7913767,7.744147
28.0166394396672,2.757865,4.373416,6.443991,3.15847
114.819069703619,3.921363,5.997931,5.3952,4.430592
148.439037031219,2.696182,3.473922,6.527448,3.091028
315.752441684951,2.955011,4.360361,9.793272,3.374021
386.531320269374,3.16931,5.44729,12.15504,3.608328
677.019634459607,2.836167,5.756749,6.812448,3.244082
740.622321187554,2.579095,4.99632,10.3524,2.963011
825.950191480996,3.451708,1.132658,3.901248,3.91709
839.221231215575,3.867435,6.435891,28.19337,4.371628
926.121965477561,2.523946,3.906429,13.26374,2.902713
1187.02077625958,2.800588,4.839295,9.977376,3.205182
1297.90768604185,5.405235,9.291208,17.60266,6.052997
1346.37155707257,3.292451,4.9091,6.71424,3.742965
1434.35363531293,4.906497,6.62067,9.981408,5.507697
1517.12560165749,2.731475,4.45769,18.38429,3.129616
2026.6352234673,4.299137,5.491161,5.706816,4.843635
2330.49288139014,4.311267,6.361327,8.480448,4.856897
2516.97556566049,3.162233,5.954062,8.774208,3.60059
2539.78209320436,2.530695,3.444659,10.20461,2.910092
2575.95796448084,3.155375,5.845304,10.6944,3.593091
2670.13319459734,2.639771,1.121005,2.690112,3.029352
2675.63821848724,2.855026,4.947736,11.91648,3.264703
2696.57697006846,2.608612,3.218762,5.304576,2.995284
2835.67712728646,3.426843,5.017824,5.71776,3.889903
2910.48646979027,4.764462,7.661475,7.577856,5.352402
2961.60454876791,2.646039,3.939966,4.662528,3.036205
2993.4550441309,2.969469,4.577121,6.375744,3.389829
3078.88121842238,2.601268,4.811532,8.067456,2.987254
3246.39123107218,2.70625,4.136232,3.720192,3.102037
3324.73951750521,2.908162,5.934914,10.73203,3.322799
3442.60601114788,2.65376,4.168665,3.554688,3.044647
3756.39237287215,2.890316,4.558642,23.22009,3.303287
3893.3298421334,4.33426,8.014427,16.48857,4.882036
4073.02955053941,3.800503,4.956711,4.596864,4.298448
4130.43908539122,3.781372,5.254034,4.687104,4.277531
4209.67210780656,2.755136,4.786785,14.21722,3.155487
4231.98711536026,2.743491,4.357531,4.930944,3.142755
4319.67428160651,2.866473,4.614268,4.441344,3.277218
4374.62621650747,3.796048,2.748411,3.06432,4.293577
4378.65668042687,3.424641,1.863125,2.030592,3.887496
4389.07690421846,4.136391,6.195439,20.6135,4.665694
4491.11645417767,2.519757,4.54623,4.90368,2.898133
4630.11830739763,2.900153,3.307472,4.14336,3.314042
4643.09443513811,3.557103,5.655471,5.289984,4.032324
4739.82556920349,3.229575,1.878204,2.408064,3.674219
4743.95433712091,3.302696,5.134162,9.512447,3.754166
