bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
1,1,NREM,1,1,0,1,1,-9.857931,8.447739,77.42405,48.35015,10,3.346035,3.346032,0.01453996,0.008804137,10,-1.774848,,0
2,0,WAKE,149,2,148,2,-146,1.556572,1.556572,0,0,1,1.797821,1.797821,0,0,1,NaN,,0
3,1,NREM,3497,3,3496,3,-3493,1.511589,1.511589,0,0,1,1.96094,1.96094,0,0,1,NaN,,0
4,0,WAKE,3534,4,3533,4,-3529,0.6152311,0.6152311,0,0,1,0.9845866,0.9845866,0,0,1,NaN,,0
5,1,NREM,3536,5,3535,5,-3530,1.152424,1.152424,0,0,1,0.9470105,0.9470105,0,0,1,NaN,,0
6,0,WAKE,3585,6,3584,6,-3578,0.9504545,0.9504545,0,0,1,0.5612758,0.5612758,0,0,1,NaN,,0
7,1,NREM,3587,7,3586,7,-3579,0.7480545,0.7480545,0,0,1,0.5588277,0.5588277,0,0,1,NaN,,0
8,0,WAKE,3613,8,3612,8,-3604,0.745898,0.745898,0,0,1,0.553379,0.553379,0,0,1,NaN,,0
9,1,NREM,3615,9,3614,9,-3605,1.285057,1.285057,0,0,1,0.5568756,0.5568756,0,0,1,NaN,,0
10,0,WAKE,3655,10,3654,10,-3644,0.557307,0.557307,0,0,1,0.6587193,0.6587193,0,0,1,NaN,,0
11,1,NREM,3657,11,3656,11,-3645,1.116165,1.116165,0,0,1,0.6623349,0.6623349,0,0,1,NaN,,0
12,0,WAKE,3700,12,3699,12,-3687,0.8945122,0.8945122,0,0,1,0.6390219,0.6390219,0,0,1,NaN,,0
13,1,NREM,3702,13,3701,13,-3688,0.8210362,0.8210362,0,0,1,0.6317268,0.6317268,0,0,1,NaN,,0
14,0,WAKE,3763,14,3762,14,-3748,0.4793021,0.4793021,0,0,1,0.6629282,0.6629282,0,0,1,NaN,,0
15,1,NREM,3768,15,3767,15,-3752,1.679942,1.679942,0,0,1,0.6876177,0.6876177,0,0,1,NaN,,0
16,0,WAKE,3799,16,3798,16,-3782,0.6337873,0.6337873,0,0,1,0.871973,0.871973,0,0,1,NaN,,0
17,1,NREM,3801,17,3800,17,-3783,0.8519534,0.8519534,0,0,1,0.8795428,0.8795428,0,0,1,NaN,,0
18,0,WAKE,3817,18,3816,18,-3798,1.253885,1.253885,0,0,1,0.9061556,0.9061556,0,0,1,NaN,,0
19,1,NREM,3820,19,3819,19,-3800,1.661901,1.661901,0,0,1,0.9074596,0.9074596,0,0,1,NaN,,0
20,0,WAKE,3858,20,3857,20,-3837,0.5210958,0.5210958,0,0,1,0.7823136,0.7823136,0,0,1,NaN,,0
21,1,NREM,3864,21,3863,21,-3842,0.7555156,0.7555156,0,0,1,0.7445401,0.7445401,0,0,1,NaN,,0
22,0,WAKE,3928,22,3927,22,-3905,0.8190128,0.8190128,0,0,1,0.7786597,0.7786597,0,0,1,NaN,,0
23,1,NREM,3932,23,3931,23,-3908,1.415195,1.415195,0,0,1,0.7970422,0.7970422,0,0,1,NaN,,0
24,0,WAKE,3943,24,3942,24,-3918,0.6499353,0.6499353,0,0,1,0.8386483,0.8386483,0,0,1,NaN,,0
25,1,NREM,3945,25,3944,25,-3919,1.283193,1.283193,0,0,1,0.8453005,0.8453005,0,0,1,NaN,,0
26,0,WAKE,3986,26,3985,26,-3959,1.374183,1.374183,0,0,1,0.8826504,0.8826504,0,0,1,NaN,,0
27,1,NREM,3990,27,3989,27,-3962,0.9503397,0.9503397,0,0,1,0.875711,0.875711,0,0,1,NaN,,0
28,0,WAKE,4018,28,4017,28,-3989,0.3926265,0.3926265,0,0,1,0.9500676,0.9500676,0,0,1,NaN,,0
29,1,NREM,4021,29,4020,29,-3991,0.977506,0.977506,0,0,1,0.9744214,0.9744214,0,0,1,NaN,,0
30,0,WAKE,4033,30,4032,30,-4002,0.8124006,0.8124006,0,0,1,1.063457,1.063457,0,0,1,NaN,,0
31,1,NREM,4035,31,4034,31,-4003,0.8940976,0.8940976,0,0,1,1.073528,1.073528,0,0,1,NaN,,0
32,0,WAKE,4044,32,4043,32,-4011,0.9326341,0.9326341,0,0,1,1.101006,1.101006,0,0,1,NaN,,0
33,1,NREM,4065,33,4064,33,-4031,2.056636,2.056636,0,0,1,1.104614,1.104614,0,0,1,NaN,,0
34,0,WAKE,4150,34,4149,34,-4115,0.50696,0.50696,0,0,1,0.5949991,0.5949991,0,0,1,NaN,,0
35,1,NREM,4159,35,4158,35,-4123,1.055913,1.055913,0,0,1,0.598629,0.598629,0,0,1,NaN,,0
36,0,WAKE,4193,36,4192,36,-4156,0.2438236,0.2438236,0,0,1,0.5769382,0.5769382,0,0,1,NaN,,0
37,1,NREM,4204,37,4203,37,-4166,0.8481189,0.8481189,0,0,1,0.5365903,0.5365903,0,0,1,NaN,,0
38,0,WAKE,4271,38,4270,38,-4232,0.3505097,0.3505097,0,0,1,0.6309599,0.6309599,0,0,1,NaN,,0
39,1,NREM,4311,39,4310,39,-4271,0.6055083,0.6055083,0,0,1,0.8584918,0.8584918,0,0,1,NaN,,0
40,0,WAKE,4321,40,4320,40,-4280,0.8322969,0.8322969,0,0,1,0.8800747,0.8800747,0,0,1,NaN,,0
41,1,NREM,4324,41,4323,41,-4282,0.7896518,0.7896518,0,0,1,0.8789174,0.8789174,0,0,1,NaN,,0
42,0,WAKE,4370,42,4369,42,-4327,0.848941,0.848941,0,0,1,0.7785028,0.7785028,0,0,1,NaN,,0
43,1,NREM,4373,43,4372,43,-4329,0.7769875,0.7769875,0,0,1,0.7795544,0.7795544,0,0,1,NaN,,0
44,0,WAKE,4417,44,4416,44,-4372,0.7725825,0.7725825,0,0,1,0.8255379,0.8255379,0,0,1,NaN,,0
45,1,NREM,4422,45,4421,45,-4376,1.139263,1.139263,0,0,1,0.8233246,0.8233246,0,0,1,NaN,,0
46,0,WAKE,4431,46,4430,46,-4384,0.9236971,0.9236971,0,0,1,0.8102008,0.8102008,0,0,1,NaN,,0
47,1,NREM,4435,47,4434,47,-4387,0.8924528,0.8924528,0,0,1,0.8022476,0.8022476,0,0,1,NaN,,0
48,0,WAKE,4479,48,4478,48,-4430,0.2185978,0.2185978,0,0,1,0.6822709,0.6822709,0,0,1,NaN,,0
49,1,NREM,4486,49,4485,49,-4436,1.03414,1.03414,0,0,1,0.6652683,0.6652683,0,0,1,NaN,,0
50,0,WAKE,4578,50,4577,50,-4527,0.03720672,0.03720672,0,0,1,0.533547,0.533547,0,0,1,NaN,,0
51,1,NREM,4611,51,4610,51,-4559,0.9466677,0.9466677,0,0,1,0.7514299,0.7514299,0,0,1,NaN,,0
52,0,WAKE,4637,52,4636,52,-4584,0.9362569,0.9362569,0,0,1,0.9064628,0.9064628,0,0,1,NaN,,0
53,1,NREM,4642,53,4641,53,-4588,0.9824796,0.9824796,0,0,1,0.9159471,0.9159471,0,0,1,NaN,,0
54,0,WAKE,4677,54,4676,54,-4622,0.8672776,0.8672776,0,0,1,1.036299,1.036299,0,0,1,NaN,,0
55,1,NREM,4684,55,4683,55,-4628,0.9742784,0.9742784,0,0,1,1.032985,1.032985,0,0,1,NaN,,0
56,0,WAKE,4706,56,4705,56,-4649,0.9745655,0.9745655,0,0,1,1.040789,1.040789,0,0,1,NaN,,0
57,1,NREM,4708,57,4707,57,-4650,1.208718,1.208718,0,0,1,1.046813,1.046813,0,0,1,NaN,,0
58,0,WAKE,4741,58,4740,58,-4682,1.331442,1.331442,0,0,1,1.141548,1.141548,0,0,1,NaN,,0
59,1,NREM,4770,59,4769,59,-4710,1.351321,1.351321,0,0,1,1.142482,1.142482,0,0,1,NaN,,0
60,0,WAKE,4803,60,4802,60,-4742,0.8350959,0.8350959,0,0,1,0.9064218,0.9064218,0,0,1,NaN,,0
61,1,NREM,4805,61,4804,61,-4743,1.289703,1.289703,0,0,1,0.894145,0.894145,0,0,1,NaN,,0
62,0,WAKE,4823,62,4822,62,-4760,0.6278357,0.6278357,0,0,1,0.824017,0.824017,0,0,1,NaN,,0
63,1,NREM,4826,63,4825,63,-4762,1.084184,1.084184,0,0,1,0.81647,0.81647,0,0,1,NaN,,0
64,0,WAKE,4846,64,4845,64,-4781,1.154729,1.154729,0,0,1,0.7895894,0.7895894,0,0,1,NaN,,0
65,1,NREM,4848,65,4847,65,-4782,1.057199,1.057199,0,0,1,0.7884365,0.7884365,0,0,1,NaN,,0
66,2,REM,4855,66,4854,66,-4788,0.9086964,0.9086964,0,0,1,0.7830381,0.7830381,0,0,1,NaN,,0
67,0,WAKE,4904,67,4903,67,-4836,-0.255661,-0.255661,0,0,1,1.169737,1.169737,0,0,1,NaN,,0
68,1,NREM,4921,68,4920,68,-4852,3.172215,3.172215,0,0,1,1.326228,1.326228,0,0,1,NaN,,0
69,0,WAKE,4994,69,4993,69,-4924,1.130617,1.130617,0,0,1,1.22006,1.22006,0,0,1,NaN,,0
70,1,NREM,4998,70,4997,70,-4927,1.218703,1.218703,0,0,1,1.196814,1.196814,0,0,1,NaN,,0
71,0,WAKE,5014,71,5013,71,-4942,1.074991,1.074991,0,0,1,1.109779,1.109779,0,0,1,NaN,,0
72,1,NREM,5016,72,5015,72,-4943,1.473482,1.473482,0,0,1,1.098023,1.098023,0,0,1,NaN,,0
73,0,WAKE,5042,73,5041,73,-4968,1.247581,1.247581,0,0,1,0.9315524,0.9315524,0,0,1,NaN,,0
74,1,NREM,5044,74,5043,74,-4969,0.5447259,0.5447259,0,0,1,0.9166549,0.9166549,0,0,1,NaN,,0
75,0,WAKE,5093,75,5092,75,-5017,0.6050301,0.6050301,0,0,1,0.5758547,0.5758547,0,0,1,NaN,,0
76,1,NREM,5097,76,5096,76,-5020,0.8925062,0.8925062,0,0,1,0.5487682,0.5487682,0,0,1,NaN,,0
77,0,WAKE,5144,77,5143,77,-5066,1.125365,1.125365,0,0,1,0.4348975,0.4348975,0,0,1,NaN,,0
78,1,NREM,5147,78,5146,78,-5068,0.5043704,0.5043704,0,0,1,0.4373622,0.4373622,0,0,1,NaN,,0
79,0,WAKE,5180,79,5179,79,-5100,0.6633109,0.6633109,0,0,1,0.4736955,0.4736955,0,0,1,NaN,,0
80,1,NREM,5182,80,5181,80,-5101,0.8505219,0.8505219,0,0,1,0.4705191,0.4705191,0,0,1,NaN,,0
81,0,WAKE,5234,81,5233,81,-5152,0.2486846,0.2486846,0,0,1,0.0344214,0.0344214,0,0,1,NaN,,0
82,1,NREM,5239,82,5238,82,-5156,0.5254058,0.5254058,0,0,1,-0.04216231,-0.04216231,0,0,1,NaN,,0
83,2,REM,5253,83,5252,83,-5169,-0.5655593,-0.5655593,0,0,1,-0.164916,-0.164916,0,0,1,NaN,,0
84,0,WAKE,5295,84,5294,84,-5210,-1.117872,-1.117872,0,0,1,0.344292,0.344292,0,0,1,NaN,,0
85,1,NREM,5399,85,5398,85,-5313,1.395292,1.395292,0,0,1,1.301026,1.301026,0,0,1,NaN,,0
86,0,WAKE,5451,86,5450,86,-5364,0.9190546,0.9190546,0,0,1,0.9179745,0.9179745,0,0,1,NaN,,0
87,1,NREM,6507,87,6506,87,-6419,-0.1006944,-0.1006944,0,0,1,0.007081585,0.007081585,0,0,1,NaN,,0
88,0,WAKE,6601,88,6600,88,-6512,0.01769861,0.01769861,0,0,1,0.1452723,0.1452723,0,0,1,NaN,,0
89,1,NREM,6611,89,6610,89,-6521,0.1994006,0.1994006,0,0,1,0.06638246,0.06638246,0,0,1,NaN,,0
90,0,WAKE,6675,90,6674,90,-6584,0.6415328,0.6415328,0,0,1,0.2587607,0.2587607,0,0,1,NaN,,0
91,1,NREM,6704,91,6703,91,-6612,0.6000873,0.6000873,0,0,1,0.3865009,0.3865009,0,0,1,NaN,,0
92,0,WAKE,6737,92,6736,92,-6644,-0.05961195,-0.05961195,0,0,1,0.2840576,0.2840576,0,0,1,NaN,,0
93,1,NREM,6771,93,6770,93,-6677,0.6103514,0.6103514,0,0,1,0.2446263,0.2446263,0,0,1,NaN,,0
94,2,REM,6929,94,6928,94,-6834,0.3777826,0.3777826,0,0,1,0.5666161,0.5666161,0,0,1,NaN,,0
95,0,WAKE,6958,95,6957,95,-6862,0.7977876,0.7977876,0,0,1,0.9372296,0.9372296,0,0,1,NaN,,0
96,1,NREM,7139,96,7138,96,-7042,1.570721,1.570721,0,0,1,1.350635,1.350635,0,0,1,NaN,,0
97,0,WAKE,7218,97,7217,97,-7120,1.761465,1.761465,0,0,1,1.275323,1.275323,0,0,1,NaN,,0
98,1,NREM,7246,98,7245,98,-7147,1.301139,1.301139,0,0,1,1.219898,1.219898,0,0,1,NaN,,0
99,0,WAKE,7328,99,7327,99,-7228,1.164723,1.164723,0,0,1,1.262404,1.262404,0,0,1,NaN,,0
100,1,NREM,7332,100,7331,100,-7231,1.956932,1.956932,0,0,1,1.266763,1.266763,0,0,1,NaN,,0
101,0,WAKE,7373,101,7372,101,-7271,1.36051,1.36051,0,0,1,1.047659,1.047659,0,0,1,NaN,,0
102,1,NREM,7378,102,7377,102,-7275,0.7749097,0.7749097,0,0,1,0.9685324,0.9685324,0,0,1,NaN,,0
103,2,REM,7400,103,7399,103,-7296,0.7828584,0.7828584,0,0,1,0.4857967,0.4857967,0,0,1,NaN,,0
104,0,WAKE,7478,104,7477,104,-7373,-0.5402732,-0.5402732,0,0,1,0.4962017,0.4962017,0,0,1,NaN,,0
105,1,NREM,9357,105,9356,105,-9251,0.7691497,0.7691497,0,0,1,0.296684,0.296684,0,0,1,NaN,,0
106,0,WAKE,9430,106,9429,106,-9323,0.1140433,0.1140433,0,0,1,0.02799034,0.02799034,0,0,1,NaN,,0
107,1,NREM,9443,107,9442,107,-9335,0.1522295,0.1522295,0,0,1,-0.01075859,-0.01075859,0,0,1,NaN,,0
108,0,WAKE,9493,108,9492,108,-9384,-0.5000327,-0.5000327,0,0,1,-0.2597141,-0.2597141,0,0,1,NaN,,0
109,1,NREM,9497,109,9496,109,-9387,-0.09040633,-0.09040633,0,0,1,-0.2814748,-0.2814748,0,0,1,NaN,,0
110,0,WAKE,9564,110,9563,110,-9453,-0.5437586,-0.5437586,0,0,1,-0.4445237,-0.4445237,0,0,1,NaN,,0
111,1,NREM,9574,111,9573,111,-9462,-0.2488288,-0.2488288,0,0,1,-0.4353739,-0.4353739,0,0,1,NaN,,0
112,0,WAKE,9660,112,9659,112,-9547,-0.2308969,-0.2308969,0,0,1,-0.6580435,-0.6580435,0,0,1,NaN,,0
113,1,NREM,9667,113,9666,113,-9553,-0.08713946,-0.08713946,0,0,1,-0.6928361,-0.6928361,0,0,1,NaN,,0
114,0,WAKE,9701,114,9700,114,-9586,-0.5416754,-0.5416754,0,0,1,-0.740811,-0.740811,0,0,1,NaN,,0
115,1,NREM,9709,115,9708,115,-9593,-0.1523108,-0.1523108,0,0,1,-0.7418036,-0.7418036,0,0,1,NaN,,0
116,2,REM,9771,116,9770,116,-9654,-0.784679,-0.784679,0,0,1,-0.88557,-0.88557,0,0,1,NaN,,0
117,0,WAKE,9842,117,9841,117,-9724,-2.183485,-2.183485,0,0,1,-1.270157,-1.270157,0,0,1,NaN,,0
118,1,NREM,9856,118,9855,118,-9737,-1.270825,-1.270825,0,0,1,-1.21694,-1.21694,0,0,1,NaN,,0
119,0,WAKE,9920,119,9919,119,-9800,-1.31312,-1.31312,0,0,1,-1.172894,-1.172894,0,0,1,NaN,,0
120,1,NREM,9923,120,9922,120,-9802,-1.674503,-1.674503,0,0,1,-1.18115,-1.18115,0,0,1,NaN,,0
121,0,WAKE,9954,121,9953,121,-9832,-1.406141,-1.406141,0,0,1,-1.220427,-1.220427,0,0,1,NaN,,0
122,1,NREM,9960,122,9959,122,-9837,-0.9424207,-0.9424207,0,0,1,-1.223268,-1.223268,0,0,1,NaN,,0
123,0,WAKE,10003,123,10002,123,-9879,-1.474814,-1.474814,0,0,1,-1.292172,-1.292172,0,0,1,NaN,,0
124,1,NREM,10006,124,10005,124,-9881,-0.9791767,-0.9791767,0,0,1,-1.292155,-1.292155,0,0,1,NaN,,0
125,0,WAKE,10103,125,10102,125,-9977,-1.430896,-1.430896,0,0,1,-1.273006,-1.273006,0,0,1,NaN,,0
126,1,NREM,10110,126,10109,126,-9983,-0.8941417,-0.8941417,0,0,1,-1.269406,-1.269406,0,0,1,NaN,,0
127,0,WAKE,10162,127,10161,127,-10034,-1.558841,-1.558841,0,0,1,-1.20153,-1.20153,0,0,1,NaN,,0
128,1,NREM,10165,128,10164,128,-10036,-1.291454,-1.291454,0,0,1,-1.19702,-1.19702,0,0,1,NaN,,0
129,0,WAKE,10224,129,10223,129,-10094,-1.422333,-1.422333,0,0,1,-0.7735491,-0.7735491,0,0,1,NaN,,0
130,1,NREM,10267,130,10266,130,-10136,-0.7033553,-0.7033553,0,0,1,-0.4387832,-0.4387832,0,0,1,NaN,,0
131,0,WAKE,10370,131,10369,131,-10238,-1.29214,-1.29214,0,0,1,-0.7252057,-0.7252057,0,0,1,NaN,,0
132,1,NREM,10381,132,10380,132,-10248,-0.6543168,-0.6543168,0,0,1,-0.7036573,-0.7036573,0,0,1,NaN,,0
133,0,WAKE,10460,133,10459,133,-10326,-0.2110629,-0.2110629,0,0,1,-0.5074061,-0.5074061,0,0,1,NaN,,0
134,1,NREM,10466,134,10465,134,-10331,0.1002541,0.1002541,0,0,1,-0.5237632,-0.5237632,0,0,1,NaN,,0
135,2,REM,10545,135,10544,135,-10409,-0.9040483,-0.9040483,0,0,1,-1.115045,-1.115045,0,0,1,NaN,,0
136,0,WAKE,10610,136,10609,136,-10473,-2.434004,-2.434004,0,0,1,-1.585228,-1.585228,0,0,1,NaN,,0
137,1,NREM,10620,137,10619,137,-10482,-1.433907,-1.433907,0,0,1,-1.458924,-1.458924,0,0,1,NaN,,0
138,0,WAKE,10644,138,10643,138,-10505,-0.06640568,-0.06640568,0,0,1,-1.150321,-1.150321,0,0,1,NaN,,0
