bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
1,0,WAKE,1,1,0,1,1,-33.44629,-24.04922,63.92633,38.34129,10,0.8971715,0.8971646,0.02717012,0.0164522,10,-3.316639,,0
2,1,NREM,1157,2,1156,2,-1154,-2.490645,-2.490645,0,0,1,-3.722972,-3.722972,0,0,1,NaN,,0
3,0,WAKE,1302,3,1301,3,-1298,0.4006971,0.4006971,0,0,1,-0.8292861,-0.8292861,0,0,1,NaN,,0
4,1,NREM,1901,4,1900,4,-1896,0.4846633,0.4846633,0,0,1,-1.541056,-1.541056,0,0,1,NaN,,0
5,0,WAKE,2258,5,2257,5,-2252,-1.779876,-1.779876,0,0,1,-1.887319,-1.887319,0,0,1,NaN,,0
6,1,NREM,4896,6,4895,6,-4889,0.1792572,0.1792572,0,0,1,1.385446,1.385446,0,0,1,NaN,,0
7,0,WAKE,4950,7,4949,7,-4942,1.211354,1.211354,0,0,1,-0.5861748,-0.5861748,0,0,1,NaN,,0
8,1,NREM,4953,8,4952,8,-4944,0.9432331,0.9432331,0,0,1,-0.6104056,-0.6104056,0,0,1,NaN,,0
9,0,WAKE,5009,9,5008,9,-4999,1.219465,1.219465,0,0,1,-0.4195133,-0.4195133,0,0,1,NaN,,0
10,1,NREM,5013,10,5012,10,-5002,0.6731552,0.6731552,0,0,1,-0.4393677,-0.4393677,0,0,1,NaN,,0
11,0,WAKE,5127,11,5126,11,-5115,1.459024,1.459024,0,0,1,1.044217,1.044217,0,0,1,NaN,,0
12,1,NREM,5164,12,5163,12,-5151,1.448568,1.448568,0,0,1,0.8916015,0.8916015,0,0,1,NaN,,0
13,0,WAKE,5250,13,5249,13,-5236,3.15368,3.15368,0,0,1,-0.09666331,-0.09666331,0,0,1,NaN,,0
14,1,NREM,5261,14,5260,14,-5246,4.128294,4.128294,0,0,1,-0.1578363,-0.1578363,0,0,1,NaN,,0
15,2,REM,5607,15,5606,15,-5591,-3.463915,-3.463915,0,0,1,-1.711873,-1.711873,0,0,1,NaN,,0
16,0,WAKE,5641,16,5640,16,-5624,2.685862,2.685862,0,0,1,-0.2945374,-0.2945374,0,0,1,NaN,,0
17,1,NREM,5698,17,5697,17,-5680,-0.5026709,-0.5026709,0,0,1,-0.6951766,-0.6951766,0,0,1,NaN,,0
18,0,WAKE,5816,18,5815,18,-5797,1.532177,1.532177,0,0,1,-1.229233,-1.229233,0,0,1,NaN,,0
19,1,NREM,5819,19,5818,19,-5799,2.378162,2.378162,0,0,1,-1.235535,-1.235535,0,0,1,NaN,,0
20,0,WAKE,5991,20,5990,20,-5970,3.262778,3.262778,0,0,1,0.9919286,0.9919286,0,0,1,NaN,,0
21,1,NREM,6112,21,6111,21,-6090,0.09538361,0.09538361,0,0,1,-0.1200098,-0.1200098,0,0,1,NaN,,0
22,0,WAKE,6248,22,6247,22,-6225,0.3728419,0.3728419,0,0,1,-0.09468246,-0.09468246,0,0,1,NaN,,0
23,1,NREM,6251,23,6250,23,-6227,0.8038822,0.8038822,0,0,1,-0.1196474,-0.1196474,0,0,1,NaN,,0
24,0,WAKE,6300,24,6299,24,-6275,-0.9237092,-0.9237092,0,0,1,-0.1691633,-0.1691633,0,0,1,NaN,,0
25,1,NREM,6307,25,6306,25,-6281,1.406338,1.406338,0,0,1,-0.1685585,-0.1685585,0,0,1,NaN,,0
