t_s,z_peak,prominence_z,width_s,resid_peak_df
1.08134397837312,16.11084,21.35584,0.9087473,12.47993
32.4403193511936,3.003577,1.875863,1.591482,2.370893
41.1893751762125,3.172653,5.516761,13.99465,2.501295
637.992947240141,2.562357,4.222493,8.995536,2.030601
796.655600066888,6.338012,9.081672,51.02741,4.942591
802.750447944991,6.12367,1.458002,3.64416,4.777278
811.106287777874,5.733814,1.41089,3.205056,4.476601
825.851887482962,4.752898,1.094175,1.520928,3.720065
831.750127364997,4.254128,1.256689,2.887776,3.335386
835.289071294219,3.550198,1.281475,1.742496,2.792478
877.46148645077,2.669849,4.220189,5.673216,2.113504
1155.85840888283,4.199558,6.087882,12.51206,3.293299
1165.98372068033,4.194255,3.610573,4.244736,3.289209
1172.17687255646,2.540823,2.945191,3.590016,2.013992
1184.85808830284,3.499514,4.34398,4.404,2.753387
1268.80970262381,3.127132,2.147915,1.808064,2.466186
1274.70794250584,3.951257,2.428559,3.050016,3.101796
1280.50787838984,4.443689,7.239827,17.06064,3.481586
1295.05687009886,3.335189,4.874331,4.563264,2.626651
1303.51101392978,2.667075,2.621312,4.426368,2.111365
1327.69379744612,3.34917,5.974341,6.907968,2.637434
1363.86966872261,5.228186,8.214912,9.103296,4.086633
1399.84893200302,2.758226,4.045065,6.69408,2.181666
1496.48176207036,2.520752,3.099482,3.120192,1.998513
1511.42396977152,3.762854,6.832593,34.2,2.956489
1517.12560165749,3.249192,1.816699,3.05232,2.560325
1521.64758556705,2.937459,1.466168,2.581632,2.3199
1526.26787347464,3.191602,1.390498,1.2864,2.515909
1530.4949453901,3.583407,2.562335,1.910208,2.81809
1599.50435200991,4.916241,8.025934,46.20912,3.846044
1611.10422377792,3.436191,1.566217,2.14752,2.704549
1622.99900754002,2.600633,1.029495,2.302464,2.060122
1784.31586831368,5.064157,8.431389,12.91411,3.960125
1837.00681125986,4.896527,7.794147,15.67373,3.830839
1966.6697846666,3.110269,5.474335,7.415808,2.45318
2039.80795920384,2.682453,4.77054,6.9504,2.123226
2133.39336533213,3.615789,5.83798,21.91545,2.843065
2166.9150286617,2.720217,3.870464,10.40774,2.152351
2224.02965151941,3.737533,6.125582,5.240064,2.93696
2315.15745769685,2.80766,4.538457,6.098112,2.219792
2358.31291283374,2.841824,4.751586,14.62963,2.246141
2441.18318317634,2.612713,2.046165,3.203136,2.069438
2446.49159907017,3.455345,5.772103,9.535104,2.719322
2653.5198189296,5.211493,6.084942,5.79648,4.073758
2664.92308270154,3.523305,1.341405,1.44096,2.771736
2670.0348905993,6.40459,10.13815,22.80864,4.993939
2867.82253464355,2.95491,5.141769,6.86112,2.333359
3303.21094193578,3.633089,6.708557,17.7984,2.856407
4488.26563823469,2.530836,4.816236,8.939904,2.00629
4969.26710061466,2.867951,4.593392,3.850368,2.266292
5704.38439791231,2.92182,4.980367,12.25613,2.307838
6570.54092458918,2.751758,4.783169,7.00032,2.176677
6633.16057133679,4.190127,7.404597,8.39808,3.286025
6801.65362396693,3.93388,6.341681,19.8144,3.088394
7331.02065337959,2.681961,1.512703,1.795584,2.122846
7335.34602929308,4.029421,6.681144,11.42093,3.16208
7801.89680396206,2.537406,4.542527,20.12006,2.011357
8078.42595043148,3.240001,5.446973,19.10861,2.553236
8496.90607006188,3.503909,6.10884,20.22682,2.756777
9145.02432909951,2.599198,4.274485,12.00845,2.059015
