bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
1,-1,,1,1,0,1,1,-29.00794,-15.98792,68.18806,41.59627,10,0.6337894,0.6337907,0.006256878,0.003788712,10,0.7637758,,0
2,0,WAKE,23,2,22,2,-20,-0.5847595,-0.5847595,0,0,1,0.8940064,0.8940064,0,0,1,NaN,,0
3,1,NREM,3321,3,3320,3,-3317,1.199916,1.199916,0,0,1,1.997588,1.997588,0,0,1,NaN,,0
4,0,WAKE,3409,4,3408,4,-3404,1.450578,1.450578,0,0,1,1.623232,1.623232,0,0,1,NaN,,0
5,1,NREM,3416,5,3415,5,-3410,1.364058,1.364058,0,0,1,1.609679,1.609679,0,0,1,NaN,,0
6,0,WAKE,3471,6,3470,6,-3464,1.37588,1.37588,0,0,1,1.739181,1.739181,0,0,1,NaN,,0
7,1,NREM,3481,7,3480,7,-3473,2.371171,2.371171,0,0,1,1.752894,1.752894,0,0,1,NaN,,0
8,0,WAKE,3536,8,3535,8,-3527,1.857157,1.857157,0,0,1,1.70491,1.70491,0,0,1,NaN,,0
9,1,NREM,3547,9,3546,9,-3537,2.568506,2.568506,0,0,1,1.736512,1.736512,0,0,1,NaN,,0
10,0,WAKE,3632,10,3631,10,-3621,2.437809,2.437809,0,0,1,1.75318,1.75318,0,0,1,NaN,,0
11,1,NREM,3639,11,3638,11,-3627,2.76668,2.76668,0,0,1,1.732097,1.732097,0,0,1,NaN,,0
12,0,WAKE,3675,12,3674,12,-3662,1.847976,1.847976,0,0,1,1.631916,1.631916,0,0,1,NaN,,0
13,1,NREM,3680,13,3679,13,-3666,1.534809,1.534809,0,0,1,1.609191,1.609191,0,0,1,NaN,,0
14,0,WAKE,3765,14,3764,14,-3750,2.552469,2.552469,0,0,1,1.44393,1.44393,0,0,1,NaN,,0
15,1,NREM,3778,15,3777,15,-3762,2.877279,2.877279,0,0,1,1.497112,1.497112,0,0,1,NaN,,0
16,2,REM,3895,16,3894,16,-3878,0.04751715,0.04751715,0,0,1,1.024372,1.024372,0,0,1,NaN,,0
17,0,WAKE,4019,17,4018,17,-4001,-1.169292,-1.169292,0,0,1,-0.3665697,-0.3665697,0,0,1,NaN,,0
18,1,NREM,4026,18,4025,18,-4007,0.7816623,0.7816623,0,0,1,-0.2772041,-0.2772041,0,0,1,NaN,,0
19,0,WAKE,4051,19,4050,19,-4031,0.3091287,0.3091287,0,0,1,0.1420672,0.1420672,0,0,1,NaN,,0
20,1,NREM,4058,20,4057,20,-4037,0.5219777,0.5219777,0,0,1,0.2305408,0.2305408,0,0,1,NaN,,0
21,0,WAKE,4156,21,4155,21,-4134,-0.104885,-0.104885,0,0,1,0.8859089,0.8859089,0,0,1,NaN,,0
22,1,NREM,4165,23,4164,23,-4141,1.25411,1.25411,0,0,1,0.9784186,0.9784186,0,0,1,NaN,,0
23,0,WAKE,4249,24,4248,24,-4224,0.9010797,0.9010797,0,0,1,0.7580512,0.7580512,0,0,1,NaN,,0
24,1,NREM,4254,25,4253,25,-4228,1.29175,1.29175,0,0,1,0.7185872,0.7185872,0,0,1,NaN,,0
25,0,WAKE,4374,26,4373,26,-4347,-0.104343,-0.104343,0,0,1,0.4773935,0.4773935,0,0,1,NaN,,0
26,1,NREM,4385,27,4384,27,-4357,0.8513406,0.8513406,0,0,1,0.5758464,0.5758464,0,0,1,NaN,,0
27,0,WAKE,4420,28,4419,28,-4391,0.677305,0.677305,0,0,1,0.7571746,0.7571746,0,0,1,NaN,,0
28,1,NREM,4426,29,4425,29,-4396,1.624217,1.624217,0,0,1,0.7337121,0.7337121,0,0,1,NaN,,0
29,0,WAKE,4471,30,4470,30,-4440,-0.3057144,-0.3057144,0,0,1,0.677775,0.677775,0,0,1,NaN,,0
30,1,NREM,4492,31,4491,31,-4460,0.8997459,0.8997459,0,0,1,0.6270946,0.6270946,0,0,1,NaN,,0
31,0,WAKE,4560,32,4559,32,-4527,-0.2782855,-0.2782855,0,0,1,0.5127308,0.5127308,0,0,1,NaN,,0
32,1,NREM,4571,33,4570,33,-4537,-0.1842022,-0.1842022,0,0,1,0.5075194,0.5075194,0,0,1,NaN,,0
33,0,WAKE,4648,34,4647,34,-4613,1.414234,1.414234,0,0,1,0.7668123,0.7668123,0,0,1,NaN,,0
34,1,NREM,4660,35,4659,35,-4624,1.833168,1.833168,0,0,1,0.8571175,0.8571175,0,0,1,NaN,,0
35,0,WAKE,4673,36,4672,36,-4636,0.5667059,0.5667059,0,0,1,0.9264,0.9264,0,0,1,NaN,,0
36,1,NREM,4682,37,4681,37,-4644,1.326921,1.326921,0,0,1,0.9203337,0.9203337,0,0,1,NaN,,0
37,2,REM,4774,38,4773,38,-4735,1.385418,1.385418,0,0,1,0.6664754,0.6664754,0,0,1,NaN,,0
38,0,WAKE,4916,39,4915,39,-4876,0.05483872,0.05483872,0,0,1,0.01529647,0.01529647,0,0,1,NaN,,0
39,1,NREM,4975,40,4974,40,-4934,0.432832,0.432832,0,0,1,0.7950572,0.7950572,0,0,1,NaN,,0
40,0,WAKE,5122,41,5121,41,-5080,1.019683,1.019683,0,0,1,0.317216,0.317216,0,0,1,NaN,,0
41,1,NREM,5128,42,5127,42,-5085,1.054532,1.054532,0,0,1,0.3291774,0.3291774,0,0,1,NaN,,0
42,0,WAKE,5232,43,5231,43,-5188,0.2795029,0.2795029,0,0,1,1.03335,1.03335,0,0,1,NaN,,0
43,1,NREM,5254,44,5253,44,-5209,1.172137,1.172137,0,0,1,1.156117,1.156117,0,0,1,NaN,,0
44,0,WAKE,5337,45,5336,45,-5291,0.9854333,0.9854333,0,0,1,1.165793,1.165793,0,0,1,NaN,,0
45,1,NREM,5342,46,5341,46,-5295,1.317402,1.317402,0,0,1,1.183309,1.183309,0,0,1,NaN,,0
46,2,REM,5386,47,5385,47,-5338,1.955307,1.955307,0,0,1,1.362723,1.362723,0,0,1,NaN,,0
47,0,WAKE,5418,48,5417,48,-5369,1.088439,1.088439,0,0,1,1.238041,1.238041,0,0,1,NaN,,0
48,1,NREM,5422,49,5421,49,-5372,1.427357,1.427357,0,0,1,1.222387,1.222387,0,0,1,NaN,,0
49,0,WAKE,5482,50,5481,50,-5431,2.08901,2.08901,0,0,1,1.179336,1.179336,0,0,1,NaN,,0
50,1,NREM,5490,51,5489,51,-5438,0.838879,0.838879,0,0,1,1.14155,1.14155,0,0,1,NaN,,0
51,0,WAKE,5556,52,5555,52,-5503,1.080418,1.080418,0,0,1,1.213795,1.213795,0,0,1,NaN,,0
52,1,NREM,5566,53,5565,53,-5512,1.311478,1.311478,0,0,1,1.302132,1.302132,0,0,1,NaN,,0
53,0,WAKE,5646,54,5645,54,-5591,1.910312,1.910312,0,0,1,1.377424,1.377424,0,0,1,NaN,,0
54,1,NREM,5654,55,5653,55,-5598,1.310705,1.310705,0,0,1,1.328487,1.328487,0,0,1,NaN,,0
55,0,WAKE,5702,56,5701,56,-5645,1.600203,1.600203,0,0,1,1.167554,1.167554,0,0,1,NaN,,0
56,1,NREM,5713,57,5712,57,-5655,1.924528,1.924528,0,0,1,1.143475,1.143475,0,0,1,NaN,,0
57,2,REM,5759,58,5758,58,-5700,1.248171,1.248171,0,0,1,1.041173,1.041173,0,0,1,NaN,,0
58,0,WAKE,5852,59,5851,59,-5792,-0.08820193,-0.08820193,0,0,1,0.1459229,0.1459229,0,0,1,NaN,,0
59,1,NREM,5871,60,5870,60,-5810,0.7400473,0.7400473,0,0,1,0.2651885,0.2651885,0,0,1,NaN,,0
60,0,WAKE,5916,61,5915,61,-5854,1.333145,1.333145,0,0,1,0.7236232,0.7236232,0,0,1,NaN,,0
61,1,NREM,5925,62,5924,62,-5862,1.637268,1.637268,0,0,1,0.7470949,0.7470949,0,0,1,NaN,,0
62,0,WAKE,5970,63,5969,63,-5906,1.570774,1.570774,0,0,1,1.086504,1.086504,0,0,1,NaN,,0
63,1,NREM,5976,64,5975,64,-5911,1.146215,1.146215,0,0,1,1.119057,1.119057,0,0,1,NaN,,0
64,0,WAKE,6078,65,6077,65,-6012,1.41237,1.41237,0,0,1,1.188673,1.188673,0,0,1,NaN,,0
65,1,NREM,6096,66,6095,66,-6029,2.219918,2.219918,0,0,1,1.112211,1.112211,0,0,1,NaN,,0
